name,code,unit,shortUnit,description,display,note,timespan,id,dataset_id,source_id
Carbon Dioxide Emissions,co2_mtco2,Million tonnes of carbon dioxide,,"Figure only reflect carbon emissions through consumption of oil, gas and coal for combustion-related activities, and are based on ""Default CO2 Emissions Factors for Combustion"" listed by the IPCC in its Guidelines for National Greenhouse Gas Inventories (2006). This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. Our data is therefore not comparable to official national emissions data.",,,1990-2021,14,0,0
Coal - Prices,,US dollars per tonne,,,,,2001-2021,15,0,0
Coal - Reserves - Anthracite and bituminous,,Million tonnes,MT,,"{""name"": ""Anthracite and bituminous""}",,2021-2021,16,0,0
Coal - Reserves - Sub-bituminous and lignite,,Million tonnes,MT,,"{""name"": ""Sub-bituminous and lignite""}",,2021-2021,17,0,0
Coal - Reserves - Total,,Million tonnes,MT,"Total proved reserves of coal are generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent BP’s view of proved reserves by country. Reserves-to-production (R/P) ratio: If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate.",,,2021-2021,18,0,0
Coal Consumption - EJ,coalcons_ej,Exajoules,EJ,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Excludes coal converted to liquid or gaseous fuels, but includes coal consumed in transformation processes. Differences between the consumption figures and the world production statistics are accounted for by stock changes, and unadvoidable disparities in the definition, measurement or conversion of coal supply and demand data.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1965-2021,19,0,0
Coal Consumption - TWh,,Terawatt-hours,TWh,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Excludes coal converted to liquid or gaseous fuels, but includes coal consumed in transformation processes. Differences between the consumption figures and the world production statistics are accounted for by stock changes, and unadvoidable disparities in the definition, measurement or conversion of coal supply and demand data.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1965-2021,20,0,0
Coal Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Excludes coal converted to liquid or gaseous fuels, but includes coal consumed in transformation processes. Differences between the consumption figures and the world production statistics are accounted for by stock changes, and unadvoidable disparities in the definition, measurement or conversion of coal supply and demand data.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1965-2021,21,0,0
Coal Production - EJ,coalprod_ej,Exajoules,EJ,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Includes coal produced for Coal-to-Liquids and Coal-to-Gas transformations.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1981-2021,22,0,0
Coal Production - TWh,,Terawatt-hours,TWh,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Includes coal produced for Coal-to-Liquids and Coal-to-Gas transformations.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1981-2021,23,0,0
Coal Production - Tonnes,coalprod_mt,Million tonnes,MT,"Includes commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Includes coal produced for Coal-to-Liquids and Coal-to-Gas transformations.","{""name"": ""Coal"", ""numDecimalPlaces"": 0}",,1981-2021,24,0,0
Cobalt Production-Reserves,cobalt_kt,Thousand tonnes,KT,,,,1995-2021,25,0,0
Elec Gen from Coal,electbyfuel_coal,Terawatt-hours,TWh,Figures are based on gross output.,,,1985-2021,26,0,0
Elec Gen from Gas,electbyfuel_gas,Terawatt-hours,TWh,Figures are based on gross output.,,,1985-2021,27,0,0
Elec Gen from Oil,electbyfuel_oil,Terawatt-hours,TWh,Figures are based on gross output.,,,1985-2021,28,0,0
Electricity Generation,elect_twh,Terawatt-hours,TWh,Figures are based on gross output.,,,1985-2021,29,0,0
Gas - Prices,,US dollars per million BTU,,,,,1984-2021,30,0,0
Gas - Proved reserves,gasreserves_tcm,Trillion cubic metres,TCM,"Total proved reserves of natural gas is generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved natural gas does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent BP's view of proved reserves by country. Reserves-to-production (R/P) ratio: If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. As far as possible, the data represents standard cubic metres (measured at 15C and 1013 mbar) and has been standardized using a gross calorific value (GCV) of 40 MJ/m3.",,,1980-2020,31,0,0
Gas Consumption - Bcf,gascons_bcfd,Billion cubic feet per day,BCFD,"Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation. The difference between the world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1965-2021,32,0,0
Gas Consumption - Bcm,gascons_bcm,Billion cubic metres,BCM,"Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation. As far as possible, the data represent standard cubic metres (measured at 15C and 1013 mbar); as they are derived directly from measures of energy content using an average conversion factor and have been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3, they do not necessarily equate with gas volumes expressed in specific national terms. The difference between the world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1965-2021,33,0,0
Gas Consumption - EJ,gascons_ej,Exajoules,EJ,"Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation. The difference between the world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1965-2021,34,0,0
Gas Consumption - TWh,,Terawatt-hours,TWh,"Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation. The difference between the world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1965-2021,35,0,0
Gas Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation. The difference between the world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1965-2021,36,0,0
Gas Production - Bcf,gasprod_bcfd,Billion cubic feet per day,BCFD,"Excludes gas flared or recycled. Includes natural gas produced for Gas-to-Liquids transformation. As the data are derived directly from measures of energy content, they do not necessarily equate with gas volumes expressed in specific national terms.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1970-2021,37,0,0
Gas Production - Bcm,gasprod_bcm,Billion cubic metres,BCM,"Excludes gas flared or recycled. Includes natural gas produced for Gas-to-Liquids transformation. As far as possible, the data represents standard cubic metres (measured at 15C and 1013 mbar); as they are derived directly from measures of energy content using an average conversion factor and have been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3, they do not necessarily equate with gas volumes expressed in specific national terms.","{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1970-2021,38,0,0
Gas Production - EJ,gasprod_ej,Exajoules,EJ,Excludes gas flared or recycled. Includes natural gas produced for Gas-to-Liquids transformation.,"{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1970-2021,39,0,0
Gas Production - TWh,,Terawatt-hours,TWh,Excludes gas flared or recycled. Includes natural gas produced for Gas-to-Liquids transformation.,"{""name"": ""Gas"", ""numDecimalPlaces"": 0}",,1970-2021,40,0,0
Geo Biomass Other - EJ,biogeo_ej,Exajoules,EJ,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Other renewables"", ""numDecimalPlaces"": 0}",,1965-2021,41,0,0
Geo Biomass Other - TWh,biogeo_twh,Terawatt-hours,TWh,Figures are based on gross generation and do not account for cross-border electricity supply.,"{""name"": ""Other renewables"", ""numDecimalPlaces"": 0}",,1965-2021,42,0,0
Geo Biomass Other - TWh (zero filled),biogeo_twh_zero_filled,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Other renewables"", ""numDecimalPlaces"": 0}",,1965-2021,43,0,0
Graphite Production-Reserves,graphite_kt,Thousand tonnes,KT,,,,1995-2021,44,0,0
Hydro Consumption - EJ,hydro_ej,Exajoules,EJ,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Hydropower"", ""numDecimalPlaces"": 0}",,1965-2021,45,0,0
Hydro Consumption - TWh,,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Hydropower"", ""numDecimalPlaces"": 0}",,1965-2021,46,0,0
Hydro Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Hydropower"", ""numDecimalPlaces"": 0}",,1965-2021,47,0,0
Hydro Generation - TWh,hydro_twh,Terawatt-hours,TWh,Figures are based on gross primary hydroelectric generation and do not account for cross-border electricity supply. ,"{""name"": ""Hydropower"", ""numDecimalPlaces"": 0}",,1965-2021,48,0,0
Lithium Production-Reserves,lithium_kt,Thousand tonnes,KT,,,,1995-2021,49,0,0
Nuclear Consumption - EJ,nuclear_ej,Exajoules,EJ,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Nuclear"", ""numDecimalPlaces"": 0}",,1965-2021,50,0,0
Nuclear Consumption - TWh,,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Nuclear"", ""numDecimalPlaces"": 0}",,1965-2021,51,0,0
Nuclear Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Nuclear"", ""numDecimalPlaces"": 0}",,1965-2021,52,0,0
Nuclear Generation - TWh,nuclear_twh,Terawatt-hours,TWh,Figures are based on gross generation and do not account for cross-border electricity supply.,"{""name"": ""Nuclear"", ""numDecimalPlaces"": 0}",,1965-2021,53,0,0
Oil - Crude prices since 1861 (2021 $),,US dollars per barrel (2021 $),,,,,1861-2021,54,0,0
Oil - Crude prices since 1861 (current $),,US dollars per barrel (current $),,,,,1861-2021,55,0,0
Oil - Proved reserves,oilreserves_bbl,Barrels,BBL,"Estimates have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil & Gas Journal and Chinese reserves based on official data and information in the public domain. Canadian oil sands ""under active development"" are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements. Reserves and R/P ratio for Canada includes Canadian oil sands. Reserves and R/P ratio for Venezuela includes the Orinoco Belt. Saudi Arabia's oil reserves include NGLs from 2017. Total proved reserves of oil are generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent BP’s view of proved reserves by country. Reserves-to-production (R/P) ratio: If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil. ",,,1980-2020,56,0,0
Oil - Refinery throughput,refthru_kbd,Thousand barrels per day,KBD,Atmospheric distillation capacity is measured at year end on a calendar-day basis.,,,1980-2021,57,0,0
Oil - Refining capacity,refcap_kbd,Thousand barrels per day,KBD,Atmospheric distillation capacity is measured at year end on a calendar-day basis.,,,1965-2021,58,0,0
Oil - Spot crude prices,,US dollars per barrel,,,,,1972-2021,59,0,0
Oil Consumption - Barrels,oilcons_kbd,Thousand barrels per day,KBD,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol) and biodiesel are excluded while derivatives of coal and natural gas are included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,60,0,0
Oil Consumption - EJ,oilcons_ej,Exajoules,EJ,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol) and biodiesel are excluded while derivatives of coal and natural gas are included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,61,0,0
Oil Consumption - TWh,,Terawatt-hours,TWh,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol) and biodiesel are excluded while derivatives of coal and natural gas are included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,62,0,0
Oil Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol) and biodiesel are excluded while derivatives of coal and natural gas are included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,63,0,0
Oil Consumption - Tonnes,oilcons_mt,Million tonnes,MT,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol) and biodiesel are excluded while derivatives of coal and natural gas are included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,64,0,0
Oil Production - Barrels,oilprod_kbd,Thousand barrels per day,KBD,"Includes crude oil, shale oil, oil sands, condensates (lease condensate or gas condensates that require further refining) and NGLs (natural gas liquids - ethane, LPG and naphtha separated from the production of natural gas). Excludes liquid fuels from other sources such as biofuels and synthetic derivatives of coal and natural gas. This also excludes liquid fuel adjustment factors such as refinery processing gain. Excludes oil shales/kerogen extracted in solid form.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,65,0,0
Oil Production - Crude Conds,oilprod_crudecond_kbd,Thousand barrels per day,KBD,"Includes crude oil, shale/tight oil, oil sands, lease condensate or gas condensates that require further refining. Excludes liquid fuels from other sources such as biomass and synthetic derivatives of coal and natural gas.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,66,0,0
Oil Production - NGLs,oilprod_ngl_kbd,Thousand barrels per day,KBD,"Includes ethane, LPG and naphtha separated from the production of natural gas. Excludes condensates.",,,1965-2021,67,0,0
Oil Production - TWh,,Terawatt-hours,TWh,"Includes crude oil, shale oil, oil sands, condensates (lease condensate or gas condensates that require further refining) and NGLs (natural gas liquids - ethane, LPG and naphtha separated from the production of natural gas). Excludes liquid fuels from other sources such as biofuels and synthetic derivatives of coal and natural gas. This also excludes liquid fuel adjustment factors such as refinery processing gain. Excludes oil shales/kerogen extracted in solid form.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,68,0,0
Oil Production - Tonnes,oilprod_mt,Million tonnes,MT,"Includes crude oil, shale oil, oil sands, condensates (lease condensate or gas condensates that require further refining) and NGLs (natural gas liquids - ethane, LPG and naphtha separated from the production of natural gas). Excludes liquid fuels from other sources such as biofuels and synthetic derivatives of coal and natural gas. This also excludes liquid fuel adjustment factors such as refinery processing gain. Excludes oil shales/kerogen extracted in solid form.","{""name"": ""Oil"", ""numDecimalPlaces"": 0}",,1965-2021,69,0,0
Primary Energy - Cons capita,primary_ej_pc,Gigajoules per capita,,"Primary energy comprises commercially-traded fuels, including modern renewables used to generate electricity. Energy from all sources of non-fossil power generation is accounted for on an input-equivalent basis.",,"The code used to be primary_gj_pc and now it is primary_ej_pc, however the numbers have not changed; therefore it seems that the units are still GJ per capita (and it is the code that is misleading).",1965-2021,70,0,0
Primary Energy Consumption - EJ,primary_ej,Exajoules,EJ,"Primary energy comprises commercially-traded fuels, including modern renewables used to generate electricity. Energy from all sources of non-fossil power generation is accounted for on an input-equivalent basis.","{""name"": ""Primary energy consumption"", ""numDecimalPlaces"": 0}",,1965-2021,71,0,0
Primary Energy Consumption - TWh,,Terawatt-hours,TWh,"Primary energy comprises commercially-traded fuels, including modern renewables used to generate electricity. Energy from all sources of non-fossil power generation is accounted for on an input-equivalent basis.","{""name"": ""Primary energy consumption"", ""numDecimalPlaces"": 0}",,1965-2021,72,0,0
Rare Earth Production-Reserves,rareearths_kt,Thousand tonnes,KT,Figures are measured in terms of thousand tonnes of rare earth oxide equivalent.,,,1995-2021,73,0,0
Renewables Consumption - EJ,renewables_ej,Exajoules,EJ,"Includes renewable power (apart from hydro, which is reported seperately) and biofuels. Renewable power is based on gross generation and does not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.",,,1965-2021,74,0,0
Renewables Consumption - TWh,,Terawatt-hours,TWh,"Includes renewable power (apart from hydro, which is reported seperately) and biofuels. Renewable power is based on gross generation and does not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.",,,1965-2021,75,0,0
Renewables Power - EJ,ren_power_ej,Exajoules,EJ,"Renewable power is based on gross generation from renewable sources including wind, geothermal, solar, biomass and waste, and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.",,,1965-2021,76,0,0
Renewables power - TWh,ren_power_twh,Terawatt-hours,TWh,"Renewable power is based on gross generation from renewable sources including wind, geothermal, solar, biomass and waste, and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.",,,1965-2021,77,0,0
Solar Capacity,,Megawatts,MW,,,,1996-2021,78,0,0
Solar Consumption - EJ,solar_ej,Exajoules,EJ,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Solar"", ""numDecimalPlaces"": 0}",,1965-2021,79,0,0
Solar Consumption - TWh,,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Solar"", ""numDecimalPlaces"": 0}",,1965-2021,80,0,0
Solar Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Solar"", ""numDecimalPlaces"": 0}",,1965-2021,81,0,0
Solar Generation - TWh,solar_twh,Terawatt-hours,TWh,Figures are based on gross generation and do not account for cross-border electricity supply.,"{""name"": ""Solar"", ""numDecimalPlaces"": 0}",,1965-2021,82,0,0
Total Liquids - Consumption,liqcons_kbd,Thousand barrels per day,KBD,"Includes inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of biogasoline (such as ethanol), biodiesel and derivatives of coal and natural gas are also included. Differences between the world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data.",,,1965-2021,83,0,0
Wind Capacity,,Megawatts,MW,,,,1995-2021,84,0,0
Wind Consumption - EJ,wind_ej,Exajoules,EJ,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Wind"", ""numDecimalPlaces"": 0}",,1965-2021,85,0,0
Wind Consumption - TWh,,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.","{""name"": ""Wind"", ""numDecimalPlaces"": 0}",,1965-2021,86,0,0
Wind Consumption - TWh (zero filled),,Terawatt-hours,TWh,"Figures are based on gross generation and do not account for cross-border electricity supply. ""Input-equivalent"" energy is the amount of fuel that would be required by thermal power stations to generate the reported electricity output.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Wind"", ""numDecimalPlaces"": 0}",,1965-2021,87,0,0
Wind Generation - TWh,wind_twh,Terawatt-hours,TWh,Figures are based on gross generation and do not account for cross-border electricity supply.,"{""name"": ""Wind"", ""numDecimalPlaces"": 0}",,1965-2021,88,0,0
