Year,Country,unhcr_resettlement_arrivals_by_destination_per_100000
2005,Brazil,0.041906845723944736
2005,Iceland,10.509329572575396
2005,United Kingdom,0.29027358085951266
2006,Canada,32.738119569373865
2006,United States,13.860539291146209
2006,Argentina,0.04835851352648708
2006,Brazil,0.02657209085573947
2006,Chile,0.26903898723452807
2006,United Kingdom,0.6231364582196295
2006,Australia,65.45748624934839
2006,Finland,10.364775679347568
2006,New Zealand,16.627320120347395
2006,Sweden,26.05492201662898
2006,Netherlands,3.0230976215399292
2006,Denmark,9.606389663451251
2006,Norway,20.971601455685935
2006,Ireland,4.63289178250275
2007,Australia,46.00231426732948
2007,Finland,12.326008387348493
2007,Netherlands,3.4349788194480624
2007,Norway,23.37160017909045
2007,Sweden,20.135456508996402
2007,Canada,33.87406833026655
2007,United Kingdom,0.8315006419152411
2007,New Zealand,17.481501500338055
2007,United States,16.05943013739552
2007,Denmark,8.555883815485418
2007,Ireland,2.6360520819146247
2007,Argentina,0.08063641687243442
2007,Brazil,0.08152297755364744
2007,Iceland,9.830231895170407
2008,Norway,15.384570240204704
2008,Sweden,23.82954545331515
2008,Australia,51.58845324316518
2008,Canada,32.407814854789656
2008,Argentina,0.10479000345283061
2008,Brazil,0.010935770667348948
2008,Denmark,10.00412715718539
2008,Finland,14.06159882634527
2008,New Zealand,17.2270482890292
2008,United States,19.832214875451495
2008,Netherlands,4.200842522424864
2008,Chile,0.9635955400489159
2008,Ireland,2.2419133167612912
2008,France,0.056261768454949124
2008,Iceland,9.329108426758456
2008,United Kingdom,1.1617971863203111
2009,Norway,28.61080949945171
2009,Sweden,20.594679421480638
2009,Argentina,0.06422482879513282
2009,Uruguay,0.4776581376825699
2009,Denmark,7.835134298363724
2009,Germany,2.5574796012571626
2009,Netherlands,2.2494374752313777
2009,United States,26.09697217239803
2009,Australia,50.940533271984016
2009,Canada,36.91390289240298
2009,Finland,13.664613480496852
2009,New Zealand,16.7694499019045
2009,Portugal,0.30177103763782687
2009,Ireland,4.3608156683217
2009,Brazil,0.015472969611783967
2009,Belgium,0.43278347732131706
2009,Luxembourg,5.639067459358435
2009,Czechia,0.15255304674654407
2009,Nicaragua,0.08702405240379578
2009,United Kingdom,1.520007919957497
2010,Brazil,0.009708061375406354
2010,Australia,38.43881883774752
2010,Canada,35.390516559804
2010,Denmark,8.857126449341827
2010,Finland,10.101040220776685
2010,Netherlands,2.553508745797425
2010,Norway,22.3296611172035
2010,New Zealand,14.370512075349081
2010,Portugal,0.2925617128261414
2010,Sweden,18.97731848359937
2010,United States,23.09137593854162
2010,Czechia,0.4650494461450913
2010,Chile,0.03516477127572691
2010,Argentina,0.05135007790907178
2010,Iceland,1.8729982331383335
2010,Paraguay,0.20806601518529796
2010,Uruguay,0.5358302227892762
2010,Germany,0.5802516414038422
2010,Ireland,0.46109965681011256
2010,Japan,0.021004750737828825
2010,France,0.6472694176253053
2010,United Kingdom,1.126697513596048
2011,Brazil,0.012657295950681423
2011,Australia,40.935305622920794
2011,Canada,37.38655339464578
2011,Finland,10.834807040249824
2011,Netherlands,3.214206361965878
2011,Sweden,19.89076452683378
2011,United States,16.509830921994144
2011,Norway,25.56415440749262
2011,New Zealand,11.20245575935224
2011,Denmark,9.152818029081244
2011,France,0.17873460298275784
2011,Belgium,0.28146353776060345
2011,Chile,0.14506558821426815
2011,Argentina,0.07018308613277328
2011,Paraguay,0.3473329016932637
2011,Uruguay,0.14841525162618593
2011,Ireland,0.9583728571381899
2011,Portugal,0.26491600081291367
2011,Germany,0.07791665314977637
2011,Philippines,0.013602587982349992
2011,Japan,0.01400789481839099
2011,United Kingdom,0.7091321000953392
2012,Sweden,19.428225439092042
2012,Australia,25.903827684577216
2012,Canada,27.518445304627328
2012,Denmark,8.430006617466082
2012,Finland,13.537050241663124
2012,United Kingdom,1.6071215476719987
2012,Germany,0.3754355067315401
2012,Netherlands,2.51907919615766
2012,Norway,24.413030175622232
2012,United States,21.105330549582266
2012,Iceland,2.7637712580072593
2012,New Zealand,17.47804949443455
2012,Ireland,0.8680180695321534
2012,France,0.07708738802506265
2012,Chile,0.028735039317292245
2012,Argentina,0.014369471884547616
2012,Brazil,0.019067949400406323
2012,Uruguay,0.20716341494092141
2012,Spain,0.16998470073949082
2012,Philippines,0.015430092377185645
2012,Portugal,0.16150011951008844
2013,Brazil,0.03034283866030219
2013,Australia,56.628896295113904
2013,Canada,34.450973728724364
2013,United Kingdom,1.483441735632986
2013,Germany,0.35848752413523416
2013,Netherlands,1.8345342705250545
2013,Sweden,19.713005260128494
2013,United States,20.937069263336497
2013,Finland,12.263319767074146
2013,France,0.11581768987187294
2013,Ireland,1.668318374078579
2013,Norway,18.6043398313994
2013,New Zealand,18.501637372776344
2013,Philippines,0.018205437806492336
2013,Belgium,0.8606771664499433
2013,Denmark,9.11646227345414
2013,Uruguay,0.41304807053444875
2013,Japan,0.014028066685594684
2013,Portugal,0.04774169831543418
2014,Canada,34.38168402284657
2014,Finland,19.83004388976473
2014,United Kingdom,1.2029399791950994
2014,Germany,0.34131213891354945
2014,Norway,24.911182203809254
2014,New Zealand,16.15755764285317
2014,Romania,0.19964136425325543
2014,Australia,49.04980101647597
2014,France,0.16668341289740168
2014,Sweden,20.31543714250015
2014,United States,22.908719384825257
2014,Netherlands,4.641108249291683
2014,Denmark,6.090887696565746
2014,Philippines,0.05073963615323239
2014,Czechia,0.047209431613550394
2014,Belgium,0.30299722178282673
2014,Ireland,2.0748448405092708
2014,Switzerland,1.8279301140884303
2014,Argentina,0.04690705657563289
2014,Brazil,0.017261468598646513
2014,Uruguay,1.558622283769831
2014,Portugal,0.07678851980913445
2014,Japan,0.01794510872122141
2014,Austria,4.503665321951132
2014,Liechtenstein,13.433998764072113
2014,Luxembourg,5.049484952534841
2015,Canada,55.50610453345283
2015,Finland,18.28090860129521
2015,United Kingdom,2.8317579421206593
2015,Germany,0.5868873878401653
2015,Norway,45.866910572217115
2015,New Zealand,17.48824960824804
2015,Australia,39.21863738508878
2015,Denmark,10.424183402344473
2015,Sweden,19.436865466476064
2015,United States,20.724990600174934
2015,Belgium,2.4450893613718936
2015,Cambodia,0.03221351634046723
2015,Ireland,3.7829774611922393
2015,Japan,0.014845473582679
2015,South Korea,0.04328741384796244
2015,Austria,8.711015182400708
2015,Belarus,0.14831413442176133
2015,Iceland,3.93656676871459
2015,Italy,0.15847209394740763
2015,Liechtenstein,48.04484185239557
2015,Luxembourg,8.116582354197067
2015,Switzerland,7.725893494761519
2016,Australia,43.63074034186618
2016,Canada,128.33211783697973
2016,Finland,17.061636891260623
2016,France,2.18811308725128
2016,Norway,62.78863824641255
2016,New Zealand,20.625570771355566
2016,Sweden,19.265955896922765
2016,United States,29.98551229624569
2016,Denmark,5.392774312745192
2016,United Kingdom,7.808688607296782
2016,Netherlands,4.057407905232143
2016,Belgium,3.9896403220353123
2016,Brazil,0.015036641676479612
2016,Germany,1.5086301553025248
2016,Italy,0.8835688956582282
2016,Ireland,7.581258957491711
2016,Czechia,0.30135038876083586
2016,Switzerland,7.350909883930804
2016,Japan,0.014088556454962913
2016,South Korea,0.08041825968374126
2016,Austria,2.2864182412276417
2016,Estonia,0.8355443609490872
2016,Hungary,0.15379930421194773
2016,Iceland,16.85685818265008
2016,Lithuania,0.8651851236609098
2016,Luxembourg,8.976877634799902
2016,Latvia,0.30391056924982207
2016,Monaco,13.133701076963488
2016,Spain,0.6197177770933482
2017,Australia,61.481530382878816
2017,Canada,72.38629567807615
2017,France,3.8817126041984213
2017,United Kingdom,9.306512972027724
2017,Germany,3.6463319781536083
2017,Netherlands,13.306823086756431
2017,Norway,53.22559571506577
2017,New Zealand,21.458821287576065
2017,Sweden,34.47790208780608
2017,United States,10.262554358208329
2017,Finland,19.704712365632368
2017,Belgium,11.462595685090184
2017,Italy,1.6217901616473196
2017,Portugal,0.38878257305443237
2017,Ireland,5.74340124221564
2017,Switzerland,7.8407747962729
2017,Japan,0.022744611393726417
2017,South Korea,0.058712541985338776
2017,Uruguay,0.46557034549684356
2017,Austria,4.319775888666337
2017,Chile,0.35732780521953056
2017,Denmark,0.0872253730934496
2017,Estonia,1.4400605128586035
2017,Croatia,0.9562864718695185
2017,Iceland,14.354281613062398
2017,Lithuania,2.00321991242766
2017,Luxembourg,29.90299266447491
2017,Latvia,2.050128722457161
2017,Romania,0.21878535863957432
2017,Spain,2.2959466680100777
2017,Malta,3.881854613127519
2018,Australia,51.03189782792322
2018,Canada,75.6799312347837
2018,Finland,10.936907263536913
2018,France,8.555094934472896
2018,United Kingdom,8.64142835393539
2018,Norway,46.57209870437396
2018,New Zealand,20.914455029810476
2018,Sweden,49.35000596692818
2018,United States,7.004665779382505
2018,Netherlands,7.192448105343866
2018,Belgium,7.664049858127986
2018,Germany,3.86889950128129
2018,Italy,0.6630677263808472
2018,Switzerland,12.620791886660596
2018,Iceland,15.740454750647439
2018,Japan,0.017295299711427924
2018,South Korea,0.05080933406550887
2018,Portugal,0.3412572619545344
2018,Bulgaria,0.28362317258044617
2018,Estonia,1.3606336924650373
2018,Croatia,2.6465165706823224
2018,Ireland,7.014348701121092
2018,Lithuania,0.7139618815751427
2018,Spain,1.7775735876380079
2018,Slovenia,1.6363177844642214
2019,Australia,72.37176231589639
2019,Canada,80.40942355034362
2019,Finland,13.539017949411793
2019,France,8.598223751300308
2019,United Kingdom,8.310360758654197
2019,New Zealand,21.3043443718689
2019,Sweden,52.18011135676161
2019,United States,8.357317531968928
2019,Netherlands,10.937512703160643
2019,Norway,52.111423630922474
2019,Iceland,22.121479366558813
2019,Germany,5.85150006383128
2019,Italy,0.7762168222634575
2019,Luxembourg,6.009127377259514
2019,Portugal,3.676838013185376
2019,Spain,1.7673446152112056
2019,Uruguay,0.3177601032547012
2019,Brazil,0.01421467347670193
2019,South Korea,0.07027774408675741
2019,Ireland,16.03687292857058
2019,Japan,0.015765373531083985
2019,Belgium,2.071178160665536
2019,Bulgaria,0.7857011532807237
2019,Croatia,2.3727095786527803
2019,Romania,0.3821414359160689
2019,Switzerland,11.627959760973843
2020,Germany,2.0075445241925527
2020,Australia,14.45889100423645
2020,Canada,24.450112906901428
2020,Finland,11.929861797694812
2020,United Kingdom,1.2123264760141133
2020,New Zealand,6.67740443068595
2020,Sweden,31.88349256926491
2020,United States,2.8960493479074807
2020,France,1.8613982345549296
2020,Norway,28.166977235105904
2020,Italy,0.5706079544932052
2020,Luxembourg,2.396258003501732
2020,Netherlands,2.445305547347798
2020,Spain,0.778529974141897
2020,Switzerland,7.059814771720716
2020,Portugal,2.177173473749908
2020,South Korea,0.03315832046709229
2020,Belgium,1.5186007888440824
2020,Denmark,0.5352022365238235
2020,Ireland,3.949130340743117
2020,Romania,0.1923308639783109
2021,Australia,1.523951811015085
2021,Canada,7.5838147470810915
2021,Finland,5.0645587048139085
2021,United Kingdom,0.96031038639166
2021,Germany,2.6710219540960622
2021,Norway,19.72325600585038
2021,New Zealand,4.793605453765161
2021,Sweden,24.35985499833221
2021,Switzerland,4.1879439077119445
2021,United States,1.135424705941672
2021,Italy,0.2650434039219566
2021,Lithuania,0.5576494258813277
2021,Netherlands,1.8633800059558283
2021,Portugal,1.6620896912771663
2021,Spain,0.5048645517933377
2021,Belgium,7.4705557801211695
2021,Ireland,1.103774024143351
