Year,Country,share_idmc_total_internal_displacement_disaster
2019,Syria,0.01698873798984097
2019,Chad,0.16931209499135944
2020,Chad,0.004139813936062644
2019,Thailand,0.0005745014896177312
2020,Thailand,0.0004584528665610754
2019,Tajikistan,0.022529715890627026
2020,Tonga,0.08798736009536694
2019,Trinidad and Tobago,0.00021505854251958287
2020,Trinidad and Tobago,0.00042872730156892755
2019,Turkey,0.0001198615258969157
2020,Turkey,0.05217036607720596
2019,Tanzania,0.0022411682927578145
2020,Tanzania,0.06361513459631585
2019,Uganda,0.0024847758349315525
2020,Uganda,0.0721453400668984
2020,Ukraine,0.0005487751464492225
2019,United States,0.011243981989122225
2020,United States,0.03806616084251435
2019,Venezuela,0.0010520472682032144
2020,Venezuela,0.008088354938677433
2019,Vietnam,0.007464070762376456
2020,Vietnam,0.16642937980718295
2019,Vanuatu,0.033346449603510714
2020,Vanuatu,20.836724727331923
2019,Yemen,0.0013716517038897505
2020,Yemen,0.747670620447256
2019,South Africa,0.000170770081020328
2020,South Africa,2.360530977838155e-05
2019,Zambia,0.000559878000344213
2020,Zambia,0.005439525638551355
2019,Zimbabwe,0.3550585221795158
2020,Zimbabwe,0.14129114675729754
