Year,Country,unhcr_resettlement_arrivals_by_origin_per_capita
1966,Albania,7.70085366529831e-06
1966,Bulgaria,2.2934536744688755e-06
1966,Czechia,1.893888675798129e-05
1966,France,1.0155885530658018e-07
1966,Germany,6.508758119838473e-08
1966,Greece,7.067247688656644e-07
1966,Hungary,3.6539163272753096e-05
1966,Poland,1.8014580242739832e-06
1966,Romania,1.7873254319250638e-06
1966,Russia,1.648129241460603e-07
1966,Spain,2.154400132981887e-07
1966,Turkey,1.5764166057959668e-07
1967,Bulgaria,5.992693228999745e-07
1967,Czechia,1.802974602505218e-05
1967,France,2.416865856694356e-07
1967,Germany,6.463518203354977e-08
1967,Hungary,7.220424434111431e-06
1967,Italy,9.535892316737028e-08
1967,Poland,2.570396982454251e-06
1967,Romania,6.562139524008648e-07
1967,Russia,1.7162373480737943e-07
1968,Bulgaria,5.595230102052235e-06
1968,Czechia,0.0009343447448664822
1968,Hungary,2.915517345433119e-05
1968,Poland,3.1415694459789403e-06
1968,Romania,2.7921852319727547e-06
1968,Russia,2.3281117279443135e-07
1969,Bulgaria,4.139766072464358e-06
1969,Czechia,0.0002854572823732423
1969,Hungary,2.420287352004269e-05
1969,Poland,6.9150443581573135e-06
1969,Romania,4.333833628460837e-06
1969,Russia,2.393868607502075e-07
1970,Bulgaria,6.935023880578418e-06
1970,Czechia,4.7465451822719186e-05
1970,Hungary,2.5467632520198773e-05
1970,Poland,8.333521756711288e-06
1970,Romania,7.104999038391911e-06
1970,Russia,3.9185961590842473e-07
1971,Bulgaria,5.724944459276075e-06
1971,Czechia,1.167842887557548e-05
1971,Hungary,1.9522679150153735e-05
1971,Poland,2.7363618433556284e-06
1971,Romania,4.041656973506217e-06
1971,Russia,3.821732271389097e-08
1972,Bulgaria,4.0656734032938926e-06
1972,Czechia,3.033029080076214e-06
1972,Hungary,7.0016693706218584e-06
1972,India,9.413388355936322e-07
1972,Kenya,3.408509913082997e-05
1972,Poland,1.930788531924638e-06
1972,Romania,2.5700643567911835e-06
1972,Russia,4.561362851290889e-08
1972,Tanzania,1.7534934718754896e-05
1972,Uganda,0.00036355784759252197
1973,Bulgaria,2.6572063957340516e-06
1973,Chile,1.6559795913178744e-06
1973,Czechia,5.027050053633597e-07
1973,Hungary,1.8175452425274976e-06
1973,India,4.169678082155759e-07
1973,Kenya,1.6903689996166117e-05
1973,Poland,4.78875714751934e-07
1973,Romania,1.6955042104550254e-06
1973,Russia,6.803969254223734e-07
1973,Tanzania,6.173555694967566e-06
1973,Uganda,0.000150984857141623
1974,Argentina,1.9636871053111648e-07
1974,Bulgaria,1.2644878697678653e-06
1974,Chile,9.608005827706209e-05
1974,Czechia,1.0992003317586455e-06
1974,Hungary,3.33772291578515e-06
1974,India,2.9566234026975524e-08
1974,Kenya,5.352770108235306e-07
1974,Poland,4.156055736863487e-07
1974,Romania,2.843769150279447e-06
1974,Russia,2.0446168778101925e-06
1974,Vietnam,1.2589819443943767e-07
1974,Tanzania,3.249088159653434e-07
1974,Uganda,1.281925076453916e-05
1975,Argentina,7.732225305447063e-07
1975,Bulgaria,1.602126525424718e-06
1975,Cambodia,3.747778743369787e-05
1975,Chile,0.00017191717387425405
1975,Czechia,2.5819367703545993e-06
1975,Hungary,3.2298584837505343e-06
1975,India,8.024356811691937e-09
1975,Laos,5.570879114217113e-06
1975,Poland,4.1211949228056036e-07
1975,Romania,5.86181622144557e-06
1975,Russia,3.848888626682832e-06
1975,Vietnam,6.695651049433486e-05
1975,Uganda,2.8871040790775945e-06
1976,Angola,6.758585257767222e-05
1976,Argentina,1.1041443830975902e-06
1976,Bulgaria,2.8497965701216384e-06
1976,Cambodia,3.214180423831554e-05
1976,Chile,0.00017774677331968872
1976,Czechia,2.6641611710942067e-06
1976,Hungary,5.577644498334364e-06
1976,India,7.841537150807431e-09
1976,Iraq,8.037336327310165e-06
1976,Laos,9.03528342716045e-06
1976,Mozambique,1.7139102680842907e-05
1976,Poland,1.1381509844247248e-06
1976,Romania,4.890517090826089e-06
1976,Russia,3.4844959433297627e-06
1976,Vietnam,4.637917257386812e-05
1976,Uganda,4.5277653893085877e-07
1976,Uruguay,3.413844936124146e-05
1977,Angola,7.287145660883054e-05
1977,Argentina,2.5505040114739673e-06
1977,Bulgaria,3.181131708055273e-06
1977,Cambodia,7.504125184372187e-06
1977,Chile,0.0001019887158732619
1977,Czechia,5.489804257107924e-06
1977,Hungary,9.213499054723202e-06
1977,India,1.0729469566937118e-08
1977,Iraq,5.296075070740718e-06
1977,Laos,8.610135915778839e-06
1977,Mozambique,1.6482696800140505e-05
1977,Poland,2.0537310421099907e-06
1977,Romania,5.34229244831649e-06
1977,Russia,1.8905080507765354e-06
1977,Vietnam,1.5453833677348254e-05
1977,Uganda,1.2314601475746656e-06
1978,Angola,2.361767906500689e-05
1978,Argentina,7.353745186668909e-06
1978,Brazil,3.0402751855571153e-07
1978,Bulgaria,6.796533314907177e-07
1978,Cambodia,6.75552627202607e-06
1978,Chile,5.1672060069446165e-05
1978,Czechia,7.210424949317533e-06
1978,Hungary,5.330427097198094e-06
1978,Iraq,1.1663459733615911e-06
1978,Laos,3.8184343914078286e-05
1978,Mozambique,7.607864575663202e-06
1978,Poland,4.127753039287495e-06
1978,Romania,4.3077327617211274e-06
1978,Russia,9.61398570425278e-07
1978,Vietnam,2.4577060449233637e-05
1978,Uganda,5.122714628936166e-07
1978,Uruguay,1.7386925866320968e-06
1979,Cambodia,0.0001448955769628144
1979,Chile,1.3505256432389266e-05
1979,Czechia,2.7729404832925004e-05
1979,Ethiopia,6.669023828306155e-07
1979,Hungary,1.7791441273479697e-05
1979,Iraq,6.033588838222665e-07
1979,Laos,0.0012250060876161518
1979,Poland,7.35602170895494e-06
1979,Romania,1.1886048850325263e-05
1979,Russia,8.31271033754876e-06
1979,Vietnam,0.00037622840665348713
1980,Afghanistan,4.4921948115149927e-07
1980,Argentina,1.3263297387646607e-06
1980,Cambodia,0.0005303447584533593
1980,Chile,1.2172321541944156e-05
1980,Czechia,9.817293975003005e-05
1980,Ethiopia,1.650460707609987e-06
1980,Hungary,2.752391000202152e-05
1980,Iran,2.8460363665491995e-07
1980,Iraq,3.6621054410976706e-07
1980,Laos,0.0019366824537490458
1980,Poland,1.3506014101460499e-05
1980,Romania,1.3530457058839448e-05
1980,South Africa,2.1010778844709018e-07
1980,Russia,1.4110508154095412e-05
1980,Vietnam,0.0004828133961042331
1980,Sudan,5.514402032718877e-07
1980,Tanzania,2.697124320655069e-07
1980,Uganda,4.018538966928469e-07
1980,Uruguay,1.8179392184027587e-05
1981,Afghanistan,2.4294548933359218e-06
1981,Argentina,3.528766540122746e-07
1981,Bolivia,1.7552796177983949e-06
1981,Brazil,4.046278844920431e-08
1981,Cambodia,0.0002487463052877183
1981,Chile,6.561895075297746e-06
1981,Czechia,9.396535032530438e-05
1981,Ethiopia,1.5840139753384587e-06
1981,Hungary,3.340625947693242e-05
1981,Iran,1.74129738744944e-07
1981,Iraq,4.2722521141417596e-07
1981,Laos,0.0003030072339591972
1981,Poland,7.235543128408036e-05
1981,Romania,2.0143193476384897e-05
1981,Russia,5.244836372256758e-06
1981,El Salvador,4.928894271146189e-06
1981,Vietnam,0.00013815944886356963
1981,Sudan,3.327287873087126e-07
1981,Turkey,1.1113973329709289e-07
1981,Uganda,3.8986099428276647e-07
1981,Uruguay,1.942327194216363e-05
1982,Afghanistan,0.0003385207767611891
1982,Albania,5.017410414137055e-06
1982,Angola,1.3403371908610001e-05
1982,Argentina,6.598470891192951e-07
1982,Bolivia,1.719884478799328e-06
1982,Bulgaria,1.3660731041704644e-05
1982,Cambodia,0.0031727781845812663
1982,Chile,6.301138743496735e-06
1982,Democratic Republic of Congo,3.607855933117278e-07
1982,Cuba,6.036026628535074e-05
1982,Czechia,0.00014336344930529507
1982,Ethiopia,8.98764127693596e-05
1982,Guatemala,9.144567512904944e-07
1982,Hungary,6.896321964729465e-05
1982,Iran,6.783024030224008e-06
1982,Iraq,0.00014079368002668427
1982,Laos,0.0028989827980946685
1982,Lesotho,3.5326651414973694e-06
1982,Mozambique,4.1017843007815457e-07
1982,Pakistan,5.992933348740765e-08
1982,Poland,0.00037900097188018744
1982,Romania,0.0001481348650998156
1982,South Africa,1.9900201814580003e-07
1982,Russia,2.0978227614998594e-05
1982,El Salvador,4.2851811259513946e-05
1982,Vietnam,0.0008553303006818229
1982,Sudan,2.056273919847342e-06
1982,Syria,3.858094689322233e-06
1982,Uganda,1.7395262181013435e-06
1982,Uruguay,2.031245979825665e-05
1983,Afghanistan,0.00023887892961821166
1983,Albania,2.460571970499851e-05
1983,Angola,1.0778064138966324e-06
1983,Bulgaria,1.563700349442351e-05
1983,Cambodia,0.002114503701811045
1983,Chile,2.6872792179681566e-05
1983,Democratic Republic of Congo,3.872713347602287e-07
1983,Colombia,2.786079617866892e-07
1983,Cuba,6.672475527493756e-05
1983,Czechia,0.00023604176123467999
1983,Ethiopia,7.954344266169663e-05
1983,Guatemala,1.3634971177964663e-05
1983,Hungary,9.588345071323509e-05
1983,Iran,3.3985047220882505e-05
1983,Iraq,0.00012277555366611246
1983,Laos,0.0009407119381302097
1983,Mozambique,8.842605086121748e-07
1983,Nicaragua,8.451392240100672e-06
1983,Poland,0.00021750321194058986
1983,Romania,0.00019618203737359485
1983,South Africa,2.9038101279863995e-07
1983,Russia,1.0692813877050124e-05
1983,El Salvador,0.00037128486206684124
1983,Somalia,1.0576264384852735e-06
1983,Vietnam,0.0004932897189369871
1983,Sudan,4.2836887129086104e-06
1983,Syria,9.055371787405628e-07
1983,Uganda,5.8656492111545e-06
1983,Uruguay,4.60806552736451e-05
1984,Afghanistan,0.00018149331883353303
1984,Albania,1.5839445867316404e-05
1984,Angola,8.42455076343071e-06
1984,Bulgaria,1.4160027713515658e-05
1984,Cambodia,0.0029267530308099902
1984,Chile,1.6227668223998452e-05
1984,Democratic Republic of Congo,1.2362780434649948e-06
1984,Colombia,2.0456012243605195e-07
1984,Cuba,6.678860737878541e-06
1984,Czechia,0.00015966146740203135
1984,Ethiopia,8.216009479878091e-05
1984,Guatemala,2.9964334981371756e-05
1984,Hungary,7.704811890502755e-05
1984,Indonesia,3.0955276169879906e-08
1984,Iran,8.037773444832681e-05
1984,Iraq,4.2526870267239903e-05
1984,Laos,0.002293440481385489
1984,Mozambique,2.0575936284239148e-06
1984,Namibia,1.892828074426e-05
1984,Nicaragua,2.0862052968752486e-05
1984,Poland,0.00017947073440232895
1984,Romania,0.0002092763641011937
1984,South Africa,4.396765638698673e-07
1984,Russia,5.199435625921377e-06
1984,El Salvador,0.0004678671355876495
1984,Somalia,1.8141376655343927e-06
1984,Vietnam,0.0004778314326916112
1984,Sudan,1.921003993527177e-06
1984,Syria,5.829177130039615e-07
1984,Uganda,7.88191611511006e-06
1984,Uruguay,3.3753864149051714e-05
1985,Afghanistan,0.00020388326418278662
1985,Albania,1.5153193737622787e-05
1985,Angola,7.528614003242122e-06
1985,Bulgaria,1.4484109984309251e-05
1985,Cambodia,0.002749746140387671
1985,Chile,1.9009176455576696e-05
1985,Democratic Republic of Congo,4.015900019082218e-07
1985,Colombia,1.6693825294577573e-07
1985,Cuba,1.3369103111435931e-05
1985,Czechia,0.00016910034358247258
1985,Ethiopia,6.120218106074891e-05
1985,Guatemala,5.400446113256457e-05
1985,Hungary,9.814201177495933e-05
1985,Indonesia,3.030625341899998e-08
1985,Iran,8.832624241726495e-05
1985,Iraq,3.516371731791221e-05
1985,Laos,0.001587086813079244
1985,Mozambique,5.484008826120491e-07
1985,Namibia,1.0015448829819998e-05
1985,Nicaragua,0.00011889641631740844
1985,Poland,0.00014426186774011644
1985,Romania,0.0002131223186876069
1985,South Africa,8.874234230087962e-07
1985,Russia,4.735680179273685e-06
1985,El Salvador,0.0005090338828590081
1985,Somalia,2.857732452469893e-06
1985,Vietnam,0.0004918654748172693
1985,Sudan,1.1039976218729122e-06
1985,Syria,4.6954383722305014e-07
1985,Uganda,7.967384823381967e-06
1986,Afghanistan,0.0002448838322734908
1986,Albania,2.759344734463986e-05
1986,Angola,4.84490678205555e-07
1986,Bulgaria,1.9281018617328064e-05
1986,Cambodia,0.0014914045455870102
1986,Chile,2.860395121805025e-05
1986,Democratic Republic of Congo,4.88856085559201e-07
1986,Cuba,1.6987608079974125e-05
1986,Czechia,0.00022096794028249425
1986,Ethiopia,5.244759910570767e-05
1986,Palestine,7.150789804733933e-06
1986,Guatemala,7.90415565427389e-05
1986,Hungary,0.0001243429218076951
1986,Iran,8.536292224018373e-05
1986,Iraq,2.9667316246802907e-05
1986,Laos,0.0035910035411907213
1986,Namibia,4.032508470284042e-06
1986,Nicaragua,0.0001626937906685433
1986,Pakistan,1.260300660476315e-07
1986,Poland,0.00019662994055142947
1986,Romania,0.00013009677862684685
1986,South Africa,3.5825220214643227e-07
1986,Russia,5.729351756558135e-06
1986,El Salvador,0.0004963677991435606
1986,Somalia,4.30474571495963e-06
1986,Vietnam,0.0004356769741941979
1986,Sudan,1.0699707965549644e-06
1986,Syria,4.543689528604025e-07
1986,Uganda,4.047691359419797e-06
1987,Afghanistan,0.00033271466731376985
1987,Albania,1.536053085994652e-05
1987,Angola,3.7420783709086337e-06
1987,Bulgaria,1.2722427653468747e-05
1987,Cambodia,0.000401191400622731
1987,Chile,2.562699731399012e-05
1987,Democratic Republic of Congo,2.2201992330670638e-07
1987,Cuba,2.6539265231764097e-05
1987,Czechia,0.00017739094330151658
1987,Ethiopia,6.2405897837391e-05
1987,Guatemala,5.9265398441157966e-05
1987,Hungary,6.386912881362663e-05
1987,Iran,0.00016130865267973365
1987,Iraq,2.5096770193304182e-05
1987,Laos,0.004142331514544761
1987,Mozambique,5.474586850527277e-07
1987,Namibia,3.8856197874410556e-06
1987,Nicaragua,0.000251939293117172
1987,Pakistan,5.087206832664125e-08
1987,Poland,0.00021691689706984267
1987,Romania,0.0001702565244103628
1987,South Africa,2.0409515767619236e-06
1987,Russia,2.618716419943543e-05
1987,El Salvador,0.000479918129755891
1987,Somalia,2.331591003381244e-06
1987,Vietnam,0.00043420946421534755
1987,Sudan,4.206861773995366e-06
1987,Uganda,5.8926183042402385e-06
1988,Afghanistan,0.00027121689019322416
1988,Albania,2.249316770031103e-05
1988,Angola,1.17455187006276e-06
1988,Bulgaria,1.566582205506044e-05
1988,Cambodia,0.0005515706724669505
1988,Chile,1.9536552500554185e-05
1988,Democratic Republic of Congo,3.0822545237016745e-07
1988,Colombia,1.5083654418770704e-06
1988,Cuba,0.00028910743033987244
1988,Czechia,0.00013512826779789807
1988,Ethiopia,6.387798344422982e-05
1988,Guatemala,4.218230195720227e-05
1988,Honduras,1.069056106844033e-06
1988,Hungary,7.513508742456183e-05
1988,Iran,0.00016637994026524931
1988,Iraq,3.389051221566357e-05
1988,Laos,0.0038653835775167085
1988,Lebanon,2.607385157720728e-06
1988,Mozambique,1.0189682507520966e-06
1988,Namibia,3.7409888930039765e-06
1988,Nicaragua,0.0002655468149524131
1988,Pakistan,9.862944231076632e-08
1988,Poland,0.0002688782450548261
1988,Romania,0.0001536308496901671
1988,South Africa,1.1965503453543434e-06
1988,Russia,0.00014226083588637383
1988,El Salvador,0.0004503949039920534
1988,Somalia,6.9947778986716484e-06
1988,Vietnam,0.00034790923991413324
1988,Sudan,1.9080369644001113e-06
1988,Syria,4.266552345818745e-07
1988,Uganda,9.208826456204397e-06
1989,Laos,0.003189778790942884
1989,Afghanistan,0.00022664325416574935
1989,Albania,1.4426413473901851e-05
1989,Angola,1.5713958464864985e-06
1989,Bulgaria,1.2475356955365533e-05
1989,Cambodia,0.0005349008109344817
1989,China,4.316457105738868e-09
1989,Chile,5.207233337197917e-06
1989,Democratic Republic of Congo,5.378791371832948e-07
1989,Cuba,0.0003601496463193382
1989,Czechia,0.00017076444906696336
1989,Ethiopia,8.20793291745897e-05
1989,Guatemala,4.861629193818129e-05
1989,Hungary,0.00010334934559194371
1989,Iran,0.0001331399681569472
1989,Iraq,5.548709727870798e-05
1989,Mozambique,3.904435047770763e-07
1989,Nicaragua,0.00021479525383312785
1989,Poland,0.0004266429918265131
1989,Romania,0.00017028593164195995
1989,South Africa,5.566370394746949e-07
1989,Russia,0.0002760174048730156
1989,El Salvador,0.0004291805881158511
1989,Somalia,1.359826491747185e-05
1989,Vietnam,0.0005745284340185086
1989,Sudan,5.391070015982725e-06
1989,Uganda,7.635846025789712e-06
1990,Laos,0.0022186366890839457
1990,Afghanistan,0.00020382989114597596
1990,Albania,3.134443271141516e-05
1990,Algeria,1.8246140591870638e-06
1990,Angola,5.9079781759286185e-06
1990,Egypt,2.672154535756082e-07
1990,Argentina,3.065730989218192e-07
1990,Austria,3.366151585056048e-06
1990,Bahrain,1.0082129023021533e-05
1990,Burundi,5.331902667403817e-06
1990,Bangladesh,3.489320261706386e-07
1990,Bolivia,8.740190410874895e-07
1990,Bulgaria,5.3045501730142944e-05
1990,Cambodia,0.00010094036084730632
1990,Chad,1.5092441202364482e-06
1990,China,1.1555942375243114e-07
1990,Chile,2.9680705665557055e-05
1990,Congo,2.121574717618405e-06
1990,Democratic Republic of Congo,3.6403535268655056e-06
1990,Colombia,9.666923434250677e-07
1990,Costa Rica,7.373127706418724e-06
1990,Cuba,0.0004490899582201958
1990,Czechia,0.00014534550599528453
1990,Djibouti,1.1856509138827865e-05
1990,Ecuador,4.887140769495953e-07
1990,Estonia,3.194386058165937e-06
1990,Ethiopia,0.00011184462100878001
1990,France,1.7646998304705814e-07
1990,United Kingdom,8.751298714607494e-07
1990,Germany,2.289574678488057e-06
1990,Ghana,3.1137309170600912e-06
1990,Greece,8.801103854003378e-07
1990,Guatemala,5.6780032427227646e-05
1990,Guyana,6.726704748784485e-06
1990,Haiti,2.1313130380233352e-06
1990,Hong Kong,1.0824131948263442e-05
1990,Honduras,2.7445350454926864e-05
1990,Hungary,7.526162086163474e-05
1990,India,2.9772885592388682e-08
1990,Iran,9.502146427721629e-05
1990,Iraq,4.363023536273058e-05
1990,Israel,2.472828115066537e-06
1990,Italy,5.433997899006064e-07
1990,Jordan,1.4021752786402714e-06
1990,Japan,4.015895137845721e-08
1990,Kenya,1.559564357193516e-06
1990,Kuwait,1.6226406089674755e-05
1990,Liberia,2.4085741385614165e-06
1990,Libya,2.0285516389232177e-06
1990,Lebanon,0.000157686391022293
1990,Sri Lanka,3.60157173975943e-05
1990,Latvia,2.6271868046164926e-06
1990,Mexico,1.7869239694228718e-07
1990,Malaysia,2.773182921807778e-07
1990,Morocco,5.240358938788616e-07
1990,Mozambique,3.8499172883769767e-07
1990,Myanmar,4.3546433126178114e-07
1990,Nicaragua,0.0002228380219171977
1990,Nigeria,8.402262166249806e-08
1990,Pakistan,8.267693574900352e-07
1990,Panama,1.375991219557206e-05
1990,Peru,1.042070988322326e-06
1990,Philippines,1.6156349779091805e-07
1990,Poland,0.00035832273034017506
1990,Portugal,5.052874287115231e-07
1990,Qatar,3.5693664374573516e-05
1990,Romania,0.00019796369013854733
1990,South Africa,1.8749741681548028e-06
1990,Russia,0.0003518298003243536
1990,Rwanda,3.5670760526681524e-06
1990,El Salvador,0.0005415483729450479
1990,Saudi Arabia,3.5111957247680853e-06
1990,Seychelles,0.00039675792098849404
1990,Somalia,0.00013203989597913605
1990,Spain,5.101712328522521e-07
1990,Vietnam,0.0007324141581734241
1990,Sudan,9.827477149626616e-06
1990,Eswatini,8.511435113074416e-06
1990,Syria,3.93695473176965e-06
1990,Thailand,3.5361806801617223e-07
1990,Tunisia,1.9411565095045697e-06
1990,Turkey,3.8945317769498537e-07
1990,United Arab Emirates,2.5158099513409542e-05
1990,Uganda,5.589362233601344e-06
1990,Uruguay,1.6079248828948307e-06
1990,United States,5.037277659373328e-07
1990,Yemen,6.831775304276597e-07
1990,Zambia,6.221343713189086e-07
1990,Zimbabwe,5.751308254881494e-07
1991,Laos,0.002338080129995337
1991,Afghanistan,0.00019219467064330174
1991,Albania,0.00043531316483949963
1991,Algeria,1.8939058201544003e-07
1991,Angola,2.5308392973377774e-06
1991,Egypt,2.0896984969077337e-07
1991,Argentina,2.116146067526463e-07
1991,Austria,7.719327317232703e-07
1991,Bahrain,1.1770198641719077e-05
1991,Burundi,3.773637119507314e-06
1991,Benin,9.709688093747428e-07
1991,Bangladesh,1.0416752979724027e-07
1991,Bolivia,9.98366102561294e-07
1991,Brazil,3.2971089425527366e-08
1991,Bulgaria,7.687920611383598e-05
1991,Belize,2.6159383894190523e-05
1991,Cambodia,4.4029161299379135e-05
1991,China,7.712315366447098e-08
1991,Chile,1.0966817596258833e-05
1991,Congo,2.0641436776104814e-06
1991,Democratic Republic of Congo,3.341851341084943e-06
1991,Colombia,8.294249644117446e-07
1991,Costa Rica,2.373455029116984e-05
1991,Cuba,0.00036894996540040066
1991,Czechia,4.252663085280006e-05
1991,Djibouti,1.8126599466418825e-05
1991,Estonia,9.042642518505122e-06
1991,Ethiopia,0.00011606536556276504
1991,Gabon,5.124079587204149e-06
1991,Palestine,2.2820629849383843e-06
1991,United Kingdom,6.109184177450366e-07
1991,Germany,1.5850884739146832e-06
1991,Ghana,2.6960629589882795e-06
1991,Greece,4.847258521456244e-07
1991,Guatemala,6.0000381724748404e-05
1991,Guyana,1.3432248410629207e-05
1991,Haiti,6.965135734475652e-07
1991,Hong Kong,1.8275736029406694e-05
1991,Honduras,1.2748612656744193e-05
1991,Hungary,3.107193345588413e-05
1991,India,1.6829856396826796e-08
1991,Iran,7.458517199276513e-05
1991,Iraq,0.00010005893415322779
1991,Israel,1.3073875020291743e-06
1991,Italy,3.503355557745153e-07
1991,Jordan,1.3296128991597644e-06
1991,Kenya,1.22340550909288e-06
1991,Kuwait,5.907555615943902e-06
1991,Liberia,2.4508109978673044e-06
1991,Libya,7.570014380826737e-05
1991,Lebanon,8.933155354759215e-05
1991,Sri Lanka,2.1042748600400598e-05
1991,Lithuania,1.6227395576033326e-06
1991,Mexico,3.391312260210104e-07
1991,Malaysia,2.699792618129831e-07
1991,Morocco,3.5628879613855786e-07
1991,Mozambique,1.6506566724907337e-06
1991,Myanmar,6.684142197295253e-07
1991,Nicaragua,5.4363490229802906e-05
1991,Nigeria,1.331044864484889e-07
1991,Pakistan,1.6248617569873908e-06
1991,Panama,2.774348374925439e-06
1991,Peru,6.216038507115344e-07
1991,Philippines,1.4183327545747732e-07
1991,Poland,0.0002714863925946894
1991,Portugal,1.1093124562073695e-06
1991,Qatar,2.2570862247975804e-05
1991,Romania,0.00020642337357182269
1991,South Africa,7.423323956614701e-07
1991,Russia,0.0002655552208909152
1991,Rwanda,3.6702801044844047e-06
1991,El Salvador,0.0004855686525563486
1991,Saudi Arabia,1.3116556403130207e-06
1991,Seychelles,8.397950899980405e-05
1991,Somalia,0.00013541331856663696
1991,Spain,2.0356710122559863e-07
1991,Vietnam,0.0007101549785678969
1991,Sudan,9.956229924195754e-06
1991,Switzerland,7.441785147327997e-07
1991,Syria,1.248497900962904e-06
1991,Tanzania,2.686458961173184e-07
1991,Thailand,7.163765478516557e-07
1991,Togo,1.2943315010776605e-06
1991,Tunisia,1.5425047262938085e-06
1991,Turkey,6.382133527180002e-07
1991,United Arab Emirates,6.710858530456199e-06
1991,Uganda,9.91448257485128e-06
1991,United States,4.125098588383013e-07
1991,Yemen,5.690072944296544e-07
1991,Zimbabwe,4.6812061183738464e-07
1992,Afghanistan,0.00017079097414573964
1992,Albania,0.0003718552124581047
1992,Algeria,1.8499108157995702e-07
1992,Angola,9.480649244340902e-07
1992,Egypt,5.284077818989039e-07
1992,Armenia,7.5519486932224164e-06
1992,Austria,1.5323834769219218e-06
1992,Azerbaijan,1.0706747017234115e-06
1992,Burundi,2.8141422608713393e-06
1992,Bangladesh,4.6303281232016963e-08
1992,Bhutan,9.354099434076984e-06
1992,Belarus,3.840723048612327e-06
1992,Bolivia,2.094703792824299e-06
1992,Botswana,4.400307728187125e-06
1992,Bosnia and Herzegovina,0.00015801881723033403
1992,Bulgaria,1.913240535020427e-05
