Year,Country,unhcr_resettlement_arrivals_by_origin_per_100000
1966,Albania,0.7700853665298311
1966,Bulgaria,0.22934536744688755
1966,Czechia,1.893888675798129
1966,France,0.010155885530658017
1966,Germany,0.006508758119838473
1966,Greece,0.07067247688656644
1966,Hungary,3.6539163272753097
1966,Poland,0.18014580242739833
1966,Romania,0.17873254319250637
1966,Russia,0.016481292414606028
1966,Spain,0.02154400132981887
1966,Turkey,0.015764166057959668
1967,Bulgaria,0.05992693228999745
1967,Czechia,1.8029746025052178
1967,France,0.02416865856694356
1967,Germany,0.006463518203354977
1967,Hungary,0.7220424434111431
1967,Italy,0.009535892316737028
1967,Poland,0.2570396982454251
1967,Romania,0.06562139524008648
1967,Russia,0.017162373480737944
1968,Bulgaria,0.5595230102052235
1968,Czechia,93.43447448664823
1968,Hungary,2.915517345433119
1968,Poland,0.314156944597894
1968,Romania,0.27921852319727547
1968,Russia,0.023281117279443136
1969,Bulgaria,0.4139766072464358
1969,Czechia,28.545728237324226
1969,Hungary,2.420287352004269
1969,Poland,0.6915044358157314
1969,Romania,0.4333833628460837
1969,Russia,0.02393868607502075
1970,Bulgaria,0.6935023880578418
1970,Czechia,4.746545182271919
1970,Hungary,2.5467632520198773
1970,Poland,0.8333521756711288
1970,Romania,0.7104999038391911
1970,Russia,0.03918596159084247
1971,Bulgaria,0.5724944459276075
1971,Czechia,1.1678428875575482
1971,Hungary,1.9522679150153734
1971,Poland,0.27363618433556286
1971,Romania,0.4041656973506217
1971,Russia,0.003821732271389097
1972,Bulgaria,0.40656734032938924
1972,Czechia,0.3033029080076214
1972,Hungary,0.7001669370621858
1972,India,0.09413388355936322
1972,Kenya,3.4085099130829972
1972,Poland,0.1930788531924638
1972,Romania,0.25700643567911835
1972,Russia,0.004561362851290889
1972,Tanzania,1.7534934718754895
1972,Uganda,36.355784759252195
1973,Bulgaria,0.26572063957340514
1973,Chile,0.16559795913178743
1973,Czechia,0.05027050053633597
1973,Hungary,0.18175452425274977
1973,India,0.04169678082155759
1973,Kenya,1.6903689996166116
1973,Poland,0.0478875714751934
1973,Romania,0.16955042104550255
1973,Russia,0.06803969254223735
1973,Tanzania,0.6173555694967566
1973,Uganda,15.098485714162301
1974,Argentina,0.019636871053111647
1974,Bulgaria,0.12644878697678652
1974,Chile,9.60800582770621
1974,Czechia,0.10992003317586455
1974,Hungary,0.333772291578515
1974,India,0.0029566234026975526
1974,Kenya,0.05352770108235306
1974,Poland,0.04156055736863487
1974,Romania,0.2843769150279447
1974,Russia,0.20446168778101925
1974,Vietnam,0.012589819443943768
1974,Tanzania,0.03249088159653434
1974,Uganda,1.2819250764539158
1975,Argentina,0.07732225305447063
1975,Bulgaria,0.1602126525424718
1975,Cambodia,3.747778743369787
1975,Chile,17.191717387425406
1975,Czechia,0.2581936770354599
1975,Hungary,0.32298584837505345
1975,India,0.0008024356811691937
1975,Laos,0.5570879114217113
1975,Poland,0.04121194922805604
1975,Romania,0.5861816221445569
1975,Russia,0.3848888626682832
1975,Vietnam,6.695651049433486
1975,Uganda,0.2887104079077594
1976,Angola,6.758585257767222
1976,Argentina,0.11041443830975901
