Country,Year,undesa_refugees_by_destination
Niger,2000,58
Nigeria,2000,7270
Senegal,2000,22715
Sierra Leone,2000,6546
Togo,2000,12223
Asia,2000,9185166
Central Asia,2000,101526
Kazakhstan,2000,20579
Kyrgyzstan,2000,10995
Tajikistan,2000,15597
Turkmenistan,2000,14757
Uzbekistan,2000,39598
Eastern Asia,2000,298488
China,2000,293705
Hong Kong,2000,979
Japan,2000,3752
South Korea,2000,52
South-Eastern Asia,2000,314189
Cambodia,2000,34
Indonesia,2000,142562
Malaysia,2000,50487
Philippines,2000,196
Thailand,2000,104965
Vietnam,2000,15945
Southern Asia,2000,4175505
Bangladesh,2000,21919
India,2000,171000
Iran,2000,1851844
Nepal,2000,129237
Pakistan,2000,2001466
Sri Lanka,2000,39
Western Asia,2000,4295458
Armenia,2000,280591
Azerbaijan,2000,54663
Cyprus,2000,97
Georgia,2000,6400
Iraq,2000,127787
Israel,2000,2102
Jordan,2000,1571234
Kuwait,2000,2776
Lebanon,2000,379894
Qatar,2000,35
Saudi Arabia,2000,5480
Palestine,2000,1407631
Syria,2000,390811
Turkey,2000,3103
United Arab Emirates,2000,897
Yemen,2000,61956
Europe,2000,2472899
Eastern Europe,2000,45370
Belarus,2000,869
Bulgaria,2000,2790
Czechia,2000,1209
Hungary,2000,6698
Poland,2000,1020
Moldova,2000,266
Romania,2000,1685
Russia,2000,26956
Slovakia,2000,846
Ukraine,2000,3031
Northern Europe,2000,499978
Denmark,2000,70021
Finland,2000,13073
Iceland,2000,249
Ireland,2000,14610
Latvia,2000,7
Lithuania,2000,55
Norway,2000,47693
Sweden,2000,168020
United Kingdom,2000,186248
Southern Europe,2000,589293
Albania,2000,528
Bosnia and Herzegovina,2000,38152
Croatia,2000,22437
Greece,2000,9032
Italy,2000,6437
Malta,2000,190
North Macedonia,2000,9051
Portugal,2000,433
Serbia,2000,484403
Slovenia,2000,11643
Spain,2000,6987
Western Europe,2000,1338258
Austria,2000,48787
Belgium,2000,18832
France,2000,132508
Germany,2000,906000
Liechtenstein,2000,70
Luxembourg,2000,759
Netherlands,2000,146180
Switzerland,2000,85122
Latin America and the Caribbean,2000,44176
Caribbean,2000,1612
Bahamas,2000,100
Cuba,2000,961
Dominican Republic,2000,510
Jamaica,2000,38
Central America,2000,37295
Belize,2000,9812
Costa Rica,2000,6608
El Salvador,2000,42
Guatemala,2000,726
Honduras,2000,11
Mexico,2000,18451
Nicaragua,2000,332
Panama,2000,1313
South America,2000,5269
Argentina,2000,2371
Bolivia,2000,354
Chile,2000,344
Colombia,2000,235
Ecuador,2000,958
Paraguay,2000,23
Peru,2000,694
Uruguay,2000,82
Venezuela,2000,207
Northern America,2000,1019706
Canada,2000,125154
United States,2000,894552
Oceania,2000,83235
Australia and New Zealand,2000,76169
Australia,2000,71246
New Zealand,2000,4923
Melanesia,2000,7066
Papua New Guinea,2000,7066
World,2005,13814075
Sub-Saharan Africa,2005,2659365
Northern Africa and Western Asia,2005,5384189
Central and Southern Asia,2005,2419247
Eastern and South-Eastern Asia,2005,503821
Latin America and the Caribbean,2005,48592
Oceania (excluding Australia and New Zealand),2005,10003
Australia and New Zealand,2005,72489
Europe and Northern America,2005,2716369
Developed regions,2005,2791332
Less developed regions,2005,11022743
"Less developed regions, excluding least developed countries",2005,8696203
"Less developed regions, excluding China",2005,10718587
Least developed countries,2005,2326540
Land-locked Developing Countries (LLDC),2005,1371761
Small island developing States (SIDS),2005,19194
High-income countries,2005,2883254
Middle-income countries,2005,9078672
Upper-middle-income countries,2005,4444046
Lower-middle-income countries,2005,4634626
Low-income countries,2005,1852149
Africa,2005,3019945
Eastern Africa,2005,1469489
Burundi,2005,40581
Djibouti,2005,10475
Eritrea,2005,6009
Ethiopia,2005,101026
Kenya,2005,267731
Malawi,2005,9571
Mozambique,2005,5969
Rwanda,2005,49507
Somalia,2005,591
Uganda,2005,259065
Tanzania,2005,549131
Zambia,2005,155864
Zimbabwe,2005,13968
Middle Africa,2005,663116
Angola,2005,14869
Cameroon,2005,58808
Central African Republic,2005,26529
Chad,2005,275480
Congo,2005,69561
Democratic Republic of Congo,2005,204481
Gabon,2005,13388
Northern Africa,2005,360580
Algeria,2005,94407
Egypt,2005,99951
Libya,2005,12366
Morocco,2005,2062
Sudan,2005,151681
Tunisia,2005,113
Southern Africa,2005,180361
Botswana,2005,3156
Eswatini,2005,1016
Namibia,2005,6380
South Africa,2005,169809
Western Africa,2005,346399
Benin,2005,31989
Burkina Faso,2005,1295
Cote d'Ivoire,2005,44070
Gambia,2005,7932
Ghana,2005,59033
Guinea,2005,67333
Guinea-Bissau,2005,7782
Liberia,2005,10197
Mali,2005,13066
Mauritania,2005,724
Niger,2005,349
Nigeria,2005,9439
Senegal,2005,23341
Sierra Leone,2005,60142
Togo,2005,9707
Asia,2005,7946677
Central Asia,2005,67968
Kazakhstan,2005,7330
Kyrgyzstan,2005,3096
Tajikistan,2005,1040
Turkmenistan,2005,11965
Uzbekistan,2005,44537
Eastern Asia,2005,307220
China,2005,301125
Hong Kong,2005,3031
Japan,2005,2474
South Korea,2005,588
South-Eastern Asia,2005,196601
Cambodia,2005,195
Indonesia,2005,147
Malaysia,2005,44531
Philippines,2005,138
Thailand,2005,149216
Timor-Leste,2005,13
Vietnam,2005,2357
Southern Asia,2005,2351279
Afghanistan,2005,46
Bangladesh,2005,21156
India,2005,139586
Iran,2005,974436
Nepal,2005,127708
Pakistan,2005,1088120
Sri Lanka,2005,227
Western Asia,2005,5023609
Armenia,2005,219620
Azerbaijan,2005,3119
Bahrain,2005,15
Cyprus,2005,13768
Georgia,2005,2505
Iraq,2005,52125
Israel,2005,1548
Jordan,2005,1845412
Kuwait,2005,1726
Lebanon,2005,406698
Oman,2005,11
Qatar,2005,74
Saudi Arabia,2005,240913
Palestine,2005,1685851
Syria,2005,460035
Turkey,2005,7271
United Arab Emirates,2005,183
Yemen,2005,82735
Europe,2005,1999563
Eastern Europe,2005,35092
Belarus,2005,781
Bulgaria,2005,5218
Czechia,2005,2726
Hungary,2005,8730
Poland,2005,6231
Moldova,2005,232
Romania,2005,2320
Russia,2005,1815
Slovakia,2005,3075
Ukraine,2005,3964
Northern Europe,2005,516495
Denmark,2005,44884
Estonia,2005,15
Finland,2005,11809
Iceland,2005,322
Ireland,2005,9527
Latvia,2005,20
Lithuania,2005,586
Norway,2005,43034
Sweden,2005,90617
United Kingdom,2005,315681
Southern Europe,2005,204263
Albania,2005,91
Bosnia and Herzegovina,2005,10783
Croatia,2005,2935
Greece,2005,11257
Italy,2005,20675
Malta,2005,2088
North Macedonia,2005,1997
Portugal,2005,363
Serbia,2005,148264
Slovenia,2005,436
Spain,2005,5374
Western Europe,2005,1243713
Austria,2005,61940
Belgium,2005,34195
France,2005,178595
Germany,2005,771640
Liechtenstein,2005,210
Luxembourg,2005,1822
Netherlands,2005,132853
Switzerland,2005,62458
Latin America and the Caribbean,2005,48592
Caribbean,2005,738
Cuba,2005,738
Central America,2005,18411
Belize,2005,638
Costa Rica,2005,11476
El Salvador,2005,50
Guatemala,2005,394
Honduras,2005,72
Mexico,2005,3390
Nicaragua,2005,228
Panama,2005,2163
South America,2005,29443
Argentina,2005,3899
Bolivia,2005,538
Brazil,2005,3653
Chile,2005,913
Colombia,2005,196
Ecuador,2005,12552
Paraguay,2005,58
Peru,2005,1184
Uruguay,2005,130
Venezuela,2005,6320
Northern America,2005,716806
Canada,2005,167723
United States,2005,549083
Oceania,2005,82492
Australia and New Zealand,2005,72489
Australia,2005,66786
New Zealand,2005,5703
Melanesia,2005,10003
Papua New Guinea,2005,10003
World,2010,16153794
Sub-Saharan Africa,2010,2337822
Northern Africa and Western Asia,2010,6935618
Central and Southern Asia,2010,3506140
Eastern and South-Eastern Asia,2010,513571
Latin America and the Caribbean,2010,445240
Oceania (excluding Australia and New Zealand),2010,9713
Australia and New Zealand,2010,28088
Europe and Northern America,2010,2377602
Developed regions,2010,2411323
Less developed regions,2010,13742471
"Less developed regions, excluding least developed countries",2010,11689036
"Less developed regions, excluding China",2010,13440714
Least developed countries,2010,2053435
Land-locked Developing Countries (LLDC),2010,986653
Small island developing States (SIDS),2010,21164
High-income countries,2010,2358667
Middle-income countries,2010,10828045
Upper-middle-income countries,2010,5319259
Lower-middle-income countries,2010,5508786
Low-income countries,2010,2967067
Africa,2010,2738284
Eastern Africa,2010,1075403
Burundi,2010,41427
Djibouti,2010,15836
Eritrea,2010,4946
Ethiopia,2010,155323
Kenya,2010,430871
Malawi,2010,15102
Mozambique,2010,9991
Rwanda,2010,55688
Somalia,2010,26048
Uganda,2010,156605
Tanzania,2010,110533
Zambia,2010,48182
Zimbabwe,2010,4851
Middle Africa,2010,815947
Angola,2010,19396
Cameroon,2010,106658
Central African Republic,2010,22793
Chad,2010,348049
Congo,2010,138636
Democratic Republic of Congo,2010,167268
Gabon,2010,13147
Northern Africa,2010,400462
Algeria,2010,94448
Egypt,2010,109359
Libya,2010,11117
Morocco,2010,1072
Sudan,2010,184354
Tunisia,2010,112
Southern Africa,2010,242270
Botswana,2010,3235
Eswatini,2010,759
Namibia,2010,8675
South Africa,2010,229601
Western Africa,2010,204202
Benin,2010,7240
Burkina Faso,2010,1065
Cote d'Ivoire,2010,26474
Gambia,2010,8452
Ghana,2010,14577
Guinea,2010,14877
Guinea-Bissau,2010,8009
Liberia,2010,24771
Mali,2010,15261
Mauritania,2010,26958
Niger,2010,332
Nigeria,2010,10562
Senegal,2010,22849
Sierra Leone,2010,8573
Togo,2010,14202
Asia,2010,10554867
Central Asia,2010,12892
Kazakhstan,2010,4720
Kyrgyzstan,2010,3012
Tajikistan,2010,4787
Turkmenistan,2010,62
Uzbekistan,2010,311
Eastern Asia,2010,308473
China,2010,301108
Hong Kong,2010,640
Macao,2010,9
Japan,2010,5633
Mongolia,2010,13
South Korea,2010,1070
South-Eastern Asia,2010,205098
Cambodia,2010,180
Indonesia,2010,2882
Malaysia,2010,92855
Philippines,2010,316
Singapore,2010,7
Thailand,2010,106925
Timor-Leste,2010,5
Vietnam,2010,1928
Southern Asia,2010,3493248
Afghanistan,2010,6464
Bangladesh,2010,229253
India,2010,188567
Iran,2010,1075141
Nepal,2010,90746
Pakistan,2010,1902716
Sri Lanka,2010,361
Western Asia,2010,6535156
Armenia,2010,3319
Azerbaijan,2010,1908
Bahrain,2010,234
Cyprus,2010,8790
Georgia,2010,683
Iraq,2010,37728
Israel,2010,31046
Jordan,2010,2436807
Kuwait,2010,3459
Lebanon,2010,435120
Oman,2010,91
Qatar,2010,67
Saudi Arabia,2010,669
Palestine,2010,1885188
Syria,2010,1480027
Turkey,2010,16747
United Arab Emirates,2010,624
Yemen,2010,192649
Europe,2010,1890174
Eastern Europe,2010,49327
Belarus,2010,655
Bulgaria,2010,6942
Czechia,2010,3514
Hungary,2010,5781
Poland,2010,17681
Moldova,2010,229
Romania,2010,1409
Russia,2010,6385
Slovakia,2010,728
Ukraine,2010,6003
Northern Europe,2010,454535
Denmark,2010,21285
Estonia,2010,49
Finland,2010,10821
Iceland,2010,122
Ireland,2010,14236
Latvia,2010,121
Lithuania,2010,874
Norway,2010,52733
Sweden,2010,101264
United Kingdom,2010,253030
Southern Europe,2010,232523
Albania,2010,99
Bosnia and Herzegovina,2010,7169
Croatia,2010,1017
Greece,2010,57168
Italy,2010,60473
Malta,2010,7431
Montenegro,2010,16369
North Macedonia,2010,1559
Portugal,2010,456
Serbia,2010,73817
Slovenia,2010,433
Spain,2010,6532
Western Europe,2010,1153789
Austria,2010,68255
Belgium,2010,36180
France,2010,249263
Germany,2010,646260
Liechtenstein,2010,136
Luxembourg,2010,3951
Netherlands,2010,88014
Switzerland,2010,61729
Latin America and the Caribbean,2010,445240
Caribbean,2010,3018
Bahamas,2010,37
Cayman Islands,2010,5
Cuba,2010,422
Curacao,2010,9
Dominican Republic,2010,2358
Jamaica,2010,21
Montserrat,2010,14
Saint Lucia,2010,6
Trinidad and Tobago,2010,131
Central America,2010,39449
Belize,2010,164
Costa Rica,2010,19880
El Salvador,2010,56
Guatemala,2010,140
Honduras,2010,14
Mexico,2010,1567
Nicaragua,2010,76
Panama,2010,17552
South America,2010,402773
Argentina,2010,4223
Bolivia,2010,736
Brazil,2010,5229
Chile,2010,1895
Colombia,2010,379
Ecuador,2010,171136
Guyana,2010,7
Paraguay,2010,115
Peru,2010,1410
Suriname,2010,8
Uruguay,2010,229
Venezuela,2010,217406
Northern America,2010,487428
Canada,2010,216574
United States,2010,270854
Oceania,2010,37801
Australia and New Zealand,2010,28088
Australia,2010,25565
New Zealand,2010,2523
Melanesia,2010,9710
Fiji,2010,7
Papua New Guinea,2010,9699
World,2015,24485993
Sub-Saharan Africa,2015,5462096
Northern Africa and Western Asia,2015,11062202
Central and Southern Asia,2015,3282321
Eastern and South-Eastern Asia,2015,612653
Latin America and the Caribbean,2015,382584
Oceania (excluding Australia and New Zealand),2015,10804
Australia and New Zealand,2015,59090
Europe and Northern America,2015,3614243
Developed regions,2015,3689638
Less developed regions,2015,20796355
"Less developed regions, excluding least developed countries",2015,16461678
"Less developed regions, excluding China",2015,20492171
Least developed countries,2015,4334677
Land-locked Developing Countries (LLDC),2015,2651832
Small island developing States (SIDS),2015,22829
High-income countries,2015,3380780
Middle-income countries,2015,16884750
Upper-middle-income countries,2015,10981562
Lower-middle-income countries,2015,5903188
Low-income countries,2015,4220462
Africa,2015,6178774
Eastern Africa,2015,2647141
Burundi,2015,56294
Djibouti,2015,22006
Eritrea,2015,2550
Ethiopia,2015,738217
Kenya,2015,593881
Madagascar,2015,22
Malawi,2015,23489
Mozambique,2015,20447
Rwanda,2015,145151
Somalia,2015,18201
South Sudan,2015,263855
Uganda,2015,512966
Tanzania,2015,213995
Zambia,2015,28858
Zimbabwe,2015,7209
Middle Africa,2015,1210405
Angola,2015,45698
Cameroon,2015,348346
Central African Republic,2015,7664
Chad,2015,372438
Congo,2015,49297
Democratic Republic of Congo,2015,384078
Gabon,2015,2884
Northern Africa,2015,716678
Algeria,2015,100775
Egypt,2015,250671
Libya,2015,36784
Morocco,2015,5473
Sudan,2015,322220
Tunisia,2015,755
Southern Africa,2015,1223821
Botswana,2015,2265
Eswatini,2015,964
Lesotho,2015,35
Namibia,2015,2849
South Africa,2015,1217708
Western Africa,2015,380729
Benin,2015,708
Burkina Faso,2015,34160
Cote d'Ivoire,2015,2629
Gambia,2015,7854
Ghana,2015,19265
Guinea,2015,9037
Guinea-Bissau,2015,8807
Liberia,2015,36520
Mali,2015,16257
Mauritania,2015,77891
Niger,2015,124827
Nigeria,2015,1781
Senegal,2015,17511
Sierra Leone,2015,777
Togo,2015,22705
Asia,2015,14240498
Central Asia,2015,3707
Kazakhstan,2015,805
Kyrgyzstan,2015,512
Tajikistan,2015,2257
Turkmenistan,2015,26
Uzbekistan,2015,107
Eastern Asia,2015,327409
China,2015,301729
Hong Kong,2015,2448
Macao,2015,7
Japan,2015,16305
Mongolia,2015,15
South Korea,2015,6905
South-Eastern Asia,2015,285244
Cambodia,2015,103
Indonesia,2015,13548
Malaysia,2015,154581
Philippines,2015,479
Thailand,2015,116532
Southern Asia,2015,3278614
Afghanistan,2015,257636
Bangladesh,2015,231958
India,2015,207861
Iran,2015,979479
Nepal,2015,32684
Pakistan,2015,1567604
Sri Lanka,2015,1392
Western Asia,2015,10345524
Armenia,2015,19385
Azerbaijan,2015,1498
Bahrain,2015,360
Cyprus,2015,9319
Georgia,2015,2712
Iraq,2015,285121
Israel,2015,44623
Jordan,2015,2806414
Kuwait,2015,1641
Lebanon,2015,1535662
Oman,2015,435
Qatar,2015,238
Saudi Arabia,2015,157
Palestine,2015,2051096
Syria,2015,554980
Turkey,2015,2753760
United Arab Emirates,2015,1084
Yemen,2015,277039
Europe,2015,2899343
Eastern Europe,2015,421850
Belarus,2015,2088
Bulgaria,2015,26056
Czechia,2015,4303
Hungary,2015,41086
Poland,2015,17368
Moldova,2015,556
Romania,2015,3030
Russia,2015,316595
Slovakia,2015,993
Ukraine,2015,9775
Northern Europe,2015,651887
Denmark,2015,30274
Estonia,2015,254
Finland,2015,37069
Iceland,2015,340
Ireland,2015,11180
Latvia,2015,387
Lithuania,2015,1175
Norway,2015,75705
Sweden,2015,326566
United Kingdom,2015,168937
Southern Europe,2015,302439
Albania,2015,934
Bosnia and Herzegovina,2015,6821
Croatia,2015,575
Greece,2015,50979
Italy,2015,178203
Malta,2015,7665
Montenegro,2015,1791
North Macedonia,2015,718
Portugal,2015,1433
Serbia,2015,35448
Slovenia,2015,395
Spain,2015,17477
Western Europe,2015,1523167
Austria,2015,152291
Belgium,2015,71323
France,2015,336183
Germany,2015,736740
Liechtenstein,2015,247
Luxembourg,2015,3727
Monaco,2015,32
Netherlands,2015,116587
Switzerland,2015,106037
Latin America and the Caribbean,2015,382584
Caribbean,2015,2086
Antigua and Barbuda,2015,15
Bahamas,2015,29
Cayman Islands,2015,16
Cuba,2015,328
Curacao,2015,78
Dominican Republic,2015,1373
Haiti,2015,14
Jamaica,2015,17
Sint Maarten (Dutch part),2015,11
Trinidad and Tobago,2015,195
Central America,2015,33083
Belize,2015,755
Costa Rica,2015,6899
