Year,Country,unhcr_resettlement_arrivals_by_destination_per_capita
1996,Denmark,0.00011246738017799533
1996,Netherlands,3.0392105711582645e-05
1996,Norway,0.0001793674202753927
1996,United States,0.0002820466869533475
1996,Canada,0.00037080136955144677
1996,New Zealand,0.00020848173646186857
1996,Finland,0.00016352007325699282
1996,United Kingdom,3.4415379241820247e-07
1996,Iceland,0.00011105188343994314
1996,Japan,3.948071832387548e-08
1996,Sweden,0.0001838770631141934
1997,Norway,0.0003031491769952306
1997,Sweden,0.0001325988230501405
1997,Australia,0.0004250238141142169
1997,Canada,0.00034805555897379824
1997,Denmark,9.41695768602802e-05
1997,United States,0.00025794804246002614
1997,Netherlands,1.2008573099186598e-05
1997,New Zealand,0.00014044513378931364
1997,Finland,0.000122094670926716
1997,Iceland,6.233750994649975e-05
1997,Japan,3.940335596018512e-08
1998,Norway,0.0002498041027681937
1998,Sweden,0.0001276089089055011
1998,Burundi,2.425001180167241e-06
1998,Cameroon,6.791737878038318e-07
1998,Iran,2.985688889717031e-06
1998,South Africa,2.2892588956995104e-07
1998,Australia,0.0006756863268127818
1998,Canada,0.00032026430682113345
1998,Denmark,8.527690467475917e-05
1998,United States,0.00027818629614039973
1998,Netherlands,3.3279032621708216e-05
1998,New Zealand,0.00017944088440307232
1998,Japan,3.9333707139908015e-08
1998,Burkina Faso,4.558416194703449e-07
1998,Ecuador,4.09888175127838e-07
1998,Italy,8.81169763434997e-08
1998,Finland,5.8866403471878515e-05
1998,Iceland,8.354704425087361e-05
1999,Norway,0.00032968202113183525
1999,Sweden,6.153426562629429e-05
1999,Yemen,2.245709321177033e-06
1999,Australia,0.00044724911456331574
1999,Canada,0.0003222505224072025
1999,Denmark,9.602066680434013e-05
1999,Finland,0.00010471566316410161
1999,Iceland,0.0002699123324744123
1999,Ireland,0.0002765664595634109
1999,New Zealand,0.00029674227789115503
1999,United States,0.00030512498686582543
1999,Benin,3.901500907399076e-06
1999,Burkina Faso,1.8612572739706894e-06
1999,Netherlands,6.314915356453291e-07
1999,Chile,1.780673636750888e-06
1999,Japan,3.9269257858071055e-08
2000,Australia,0.0003858055163185676
2000,Canada,0.00044193253915155166
2000,Norway,0.00032871232115571605
2000,Sweden,0.00016866250632484398
2000,United States,0.000257391518739668
2000,Benin,1.1506061946889766e-05
2000,Finland,0.0001457222145227607
2000,Iceland,8.55801083301538e-05
2000,Denmark,8.64975458661662e-05
2000,Ecuador,3.9428684667753796e-07
2000,Ireland,1.2423690126734855e-05
2000,Netherlands,1.2683512212715309e-05
2000,New Zealand,0.00018113538457711236
2000,Burkina Faso,1.3783655702888476e-06
2000,Brazil,6.865367999543728e-08
2000,Japan,1.0586228643342335e-06
2001,Canada,0.0003959187659925145
2001,Sweden,0.0001223897767111473
2001,United States,0.00024042192040763213
2001,Norway,0.0002792308615764406
2001,Australia,0.000346814918886883
2001,Denmark,9.910305205672428e-05
2001,Finland,0.00014229469423466124
2001,Ireland,1.3793990140680481e-05
2001,Netherlands,1.4358745899641606e-05
2001,New Zealand,0.00019294047683933815
2001,Benin,8.761111067148547e-06
2001,Japan,3.13200237430836e-07
2001,Iceland,8.129793927397406e-05
2002,Australia,0.00047275021769085744
2002,Canada,0.0003332129503057579
2002,United States,9.160074847297044e-05
2002,Finland,0.00010933431133194511
2002,Netherlands,9.68321306389586e-06
2002,Norway,0.00026748690117084915
2002,Sweden,0.0001168069377491886
2002,Brazil,1.2810692503538662e-07
2002,Denmark,8.971117097646329e-05
2002,New Zealand,0.0001680459386122635
2002,Benin,8.224360555966773e-07
2002,Ireland,5.885370887117307e-06
2003,Netherlands,1.0678387462264554e-05
2003,Australia,0.0006040512403000321
2003,Canada,0.00034060544754031417
2003,Sweden,0.00010467590741555632
2003,United States,9.805201388647284e-05
2003,Central African Republic,5.153065365345893e-06
2003,Denmark,9.337348950281494e-05
2003,Finland,0.00010751647278627983
2003,Norway,0.00035732290962815663
2003,New Zealand,0.00016260267712627863
2003,Ireland,1.2562571025635936e-05
2003,Brazil,8.250405573437179e-08
2003,Iceland,8.334635620148981e-05
2004,Canada,0.00033068797620278677
2004,United States,0.00018080436774151949
2004,Jordan,1.7920372973138615e-06
2004,Netherlands,2.0077136727695637e-05
2004,Australia,0.0008031829930239228
2004,Denmark,9.384102996360745e-05
2004,Finland,0.00014020897814361405
2004,New Zealand,0.00020243009238507498
2004,Sweden,0.00019898443416735135
2004,Norway,0.00018180987819173112
2004,Mexico,7.654408507783204e-08
2004,Chile,1.6234808278153717e-06
2004,Brazil,4.1302893470397854e-07
2004,Ireland,1.5277969094639872e-05
2004,United Kingdom,2.5053129336279138e-06
2005,Australia,0.0005767512550336265
2005,Denmark,8.890198850877243e-05
2005,Netherlands,2.5416760019289855e-05
2005,Sweden,0.00013918043083313428
2005,United States,0.00018238706398112644
2005,Canada,0.0003228111851790523
2005,Finland,0.00014565692318194585
2005,New Zealand,0.00017725209915574316
2005,Norway,0.00016104105920978923
2005,Mexico,2.73571487753162e-07
2005,Ireland,2.8011082729766942e-05
2005,Chile,2.842539443170005e-06
2005,Argentina,8.741950078117038e-07
2005,Brazil,4.1906845723944734e-07
2005,Iceland,0.00010509329572575396
2005,United Kingdom,2.9027358085951267e-06
2006,Canada,0.00032738119569373863
2006,United States,0.00013860539291146208
2006,Argentina,4.835851352648708e-07
2006,Brazil,2.657209085573947e-07
2006,Chile,2.690389872345281e-06
2006,United Kingdom,6.231364582196295e-06
2006,Australia,0.000654574862493484
2006,Finland,0.00010364775679347568
2006,New Zealand,0.00016627320120347395
2006,Sweden,0.00026054922016628977
2006,Netherlands,3.0230976215399293e-05
2006,Denmark,9.60638966345125e-05
2006,Norway,0.00020971601455685936
2006,Ireland,4.6328917825027495e-05
2007,Australia,0.0004600231426732948
2007,Finland,0.00012326008387348494
2007,Netherlands,3.434978819448062e-05
2007,Norway,0.0002337160017909045
2007,Sweden,0.00020135456508996402
2007,Canada,0.0003387406833026655
2007,United Kingdom,8.315006419152411e-06
2007,New Zealand,0.00017481501500338055
2007,United States,0.00016059430137395518
2007,Denmark,8.555883815485418e-05
2007,Ireland,2.636052081914625e-05
2007,Argentina,8.063641687243442e-07
2007,Brazil,8.152297755364744e-07
2007,Iceland,9.830231895170407e-05
2008,Norway,0.00015384570240204704
2008,Sweden,0.00023829545453315148
2008,Australia,0.0005158845324316518
2008,Canada,0.00032407814854789653
2008,Argentina,1.0479000345283062e-06
2008,Brazil,1.0935770667348947e-07
2008,Denmark,0.00010004127157185391
2008,Finland,0.0001406159882634527
2008,New Zealand,0.000172270482890292
2008,United States,0.00019832214875451496
2008,Netherlands,4.2008425224248636e-05
2008,Chile,9.635955400489159e-06
2008,Ireland,2.2419133167612913e-05
2008,France,5.626176845494912e-07
2008,Iceland,9.329108426758457e-05
2008,United Kingdom,1.1617971863203111e-05
2009,Norway,0.0002861080949945171
2009,Sweden,0.00020594679421480637
2009,Argentina,6.422482879513282e-07
2009,Uruguay,4.776581376825699e-06
2009,Denmark,7.835134298363724e-05
2009,Germany,2.5574796012571626e-05
2009,Netherlands,2.2494374752313777e-05
2009,United States,0.0002609697217239803
2009,Australia,0.0005094053327198402
2009,Canada,0.00036913902892402983
2009,Finland,0.00013664613480496852
2009,New Zealand,0.000167694499019045
2009,Portugal,3.0177103763782687e-06
2009,Ireland,4.3608156683217e-05
2009,Brazil,1.5472969611783967e-07
2009,Belgium,4.32783477321317e-06
2009,Luxembourg,5.639067459358435e-05
2009,Czechia,1.5255304674654407e-06
2009,Nicaragua,8.702405240379578e-07
2009,United Kingdom,1.520007919957497e-05
2010,Brazil,9.708061375406354e-08
2010,Australia,0.0003843881883774752
2010,Canada,0.00035390516559804
2010,Denmark,8.857126449341827e-05
2010,Finland,0.00010101040220776684
2010,Netherlands,2.553508745797425e-05
2010,Norway,0.000223296611172035
2010,New Zealand,0.0001437051207534908
2010,Portugal,2.925617128261414e-06
2010,Sweden,0.0001897731848359937
2010,United States,0.00023091375938541622
2010,Czechia,4.650494461450913e-06
2010,Chile,3.516477127572691e-07
2010,Argentina,5.135007790907178e-07
2010,Iceland,1.8729982331383334e-05
2010,Paraguay,2.0806601518529798e-06
2010,Uruguay,5.3583022278927614e-06
2010,Germany,5.802516414038423e-06
2010,Ireland,4.610996568101125e-06
2010,Japan,2.1004750737828824e-07
2010,France,6.472694176253053e-06
2010,United Kingdom,1.126697513596048e-05
2011,Brazil,1.2657295950681424e-07
2011,Australia,0.0004093530562292079
2011,Canada,0.00037386553394645777
2011,Finland,0.00010834807040249824
2011,Netherlands,3.214206361965878e-05
2011,Sweden,0.00019890764526833782
2011,United States,0.00016509830921994142
2011,Norway,0.0002556415440749262
2011,New Zealand,0.0001120245575935224
2011,Denmark,9.152818029081244e-05
2011,France,1.7873460298275785e-06
2011,Belgium,2.8146353776060347e-06
2011,Chile,1.4506558821426814e-06
2011,Argentina,7.018308613277329e-07
2011,Paraguay,3.4733290169326367e-06
2011,Uruguay,1.4841525162618592e-06
2011,Ireland,9.583728571381898e-06
2011,Portugal,2.6491600081291367e-06
2011,Germany,7.791665314977637e-07
2011,Philippines,1.3602587982349992e-07
2011,Japan,1.400789481839099e-07
2011,United Kingdom,7.0913210009533925e-06
2012,Sweden,0.0001942822543909204
2012,Australia,0.0002590382768457722
2012,Canada,0.0002751844530462733
2012,Denmark,8.430006617466082e-05
2012,Finland,0.00013537050241663125
2012,United Kingdom,1.6071215476719986e-05
2012,Germany,3.754355067315401e-06
2012,Netherlands,2.5190791961576598e-05
2012,Norway,0.00024413030175622234
2012,United States,0.00021105330549582265
2012,Iceland,2.7637712580072595e-05
2012,New Zealand,0.0001747804949443455
2012,Ireland,8.680180695321534e-06
2012,France,7.708738802506265e-07
2012,Chile,2.8735039317292245e-07
2012,Argentina,1.4369471884547615e-07
2012,Brazil,1.9067949400406325e-07
2012,Uruguay,2.071634149409214e-06
2012,Spain,1.6998470073949081e-06
2012,Philippines,1.5430092377185646e-07
2012,Portugal,1.6150011951008844e-06
2013,Brazil,3.034283866030219e-07
2013,Australia,0.000566288962951139
2013,Canada,0.00034450973728724363
2013,United Kingdom,1.483441735632986e-05
2013,Germany,3.5848752413523416e-06
2013,Netherlands,1.8345342705250545e-05
2013,Sweden,0.00019713005260128493
2013,United States,0.00020937069263336495
2013,Finland,0.00012263319767074146
2013,France,1.1581768987187293e-06
2013,Ireland,1.668318374078579e-05
2013,Norway,0.000186043398313994
2013,New Zealand,0.00018501637372776345
2013,Philippines,1.8205437806492337e-07
2013,Belgium,8.606771664499434e-06
2013,Denmark,9.116462273454139e-05
2013,Uruguay,4.130480705344488e-06
2013,Japan,1.4028066685594685e-07
2013,Portugal,4.774169831543417e-07
2014,Canada,0.00034381684022846573
2014,Finland,0.0001983004388976473
2014,United Kingdom,1.2029399791950995e-05
2014,Germany,3.4131213891354943e-06
2014,Norway,0.00024911182203809254
2014,New Zealand,0.0001615755764285317
2014,Romania,1.9964136425325544e-06
2014,Australia,0.0004904980101647597
2014,France,1.666834128974017e-06
2014,Sweden,0.00020315437142500153
2014,United States,0.00022908719384825258
2014,Netherlands,4.6411082492916835e-05
2014,Denmark,6.0908876965657455e-05
2014,Philippines,5.073963615323239e-07
2014,Czechia,4.720943161355039e-07
2014,Belgium,3.0299722178282675e-06
2014,Ireland,2.0748448405092708e-05
2014,Switzerland,1.8279301140884302e-05
2014,Argentina,4.690705657563289e-07
2014,Brazil,1.7261468598646511e-07
2014,Uruguay,1.558622283769831e-05
2014,Portugal,7.678851980913445e-07
2014,Japan,1.794510872122141e-07
2014,Austria,4.503665321951132e-05
2014,Liechtenstein,0.00013433998764072113
2014,Luxembourg,5.049484952534841e-05
2015,Canada,0.0005550610453345283
2015,Finland,0.00018280908601295208
2015,United Kingdom,2.831757942120659e-05
2015,Germany,5.868873878401653e-06
2015,Norway,0.0004586691057221711
2015,New Zealand,0.0001748824960824804
2015,Australia,0.00039218637385088784
2015,Denmark,0.00010424183402344474
2015,Sweden,0.00019436865466476065
2015,United States,0.00020724990600174935
2015,Belgium,2.4450893613718936e-05
2015,Cambodia,3.221351634046723e-07
2015,Ireland,3.7829774611922395e-05
2015,Japan,1.4845473582679e-07
2015,South Korea,4.328741384796244e-07
2015,Austria,8.711015182400707e-05
2015,Belarus,1.4831413442176132e-06
2015,Iceland,3.93656676871459e-05
2015,Italy,1.5847209394740764e-06
2015,Liechtenstein,0.0004804484185239557
2015,Luxembourg,8.116582354197067e-05
2015,Switzerland,7.725893494761519e-05
2016,Australia,0.0004363074034186618
2016,Canada,0.0012833211783697975
2016,Finland,0.00017061636891260623
2016,France,2.18811308725128e-05
2016,Norway,0.0006278863824641255
2016,New Zealand,0.00020625570771355567
2016,Sweden,0.00019265955896922765
2016,United States,0.0002998551229624569
2016,Denmark,5.3927743127451916e-05
2016,United Kingdom,7.808688607296782e-05
2016,Netherlands,4.0574079052321426e-05
2016,Belgium,3.989640322035312e-05
2016,Brazil,1.5036641676479612e-07
2016,Germany,1.5086301553025247e-05
2016,Italy,8.835688956582281e-06
2016,Ireland,7.581258957491711e-05
2016,Czechia,3.013503887608359e-06
2016,Switzerland,7.350909883930804e-05
2016,Japan,1.4088556454962913e-07
2016,South Korea,8.041825968374127e-07
2016,Austria,2.286418241227642e-05
2016,Estonia,8.355443609490872e-06
2016,Hungary,1.5379930421194775e-06
2016,Iceland,0.00016856858182650079
2016,Lithuania,8.651851236609098e-06
2016,Luxembourg,8.976877634799902e-05
2016,Latvia,3.0391056924982207e-06
2016,Monaco,0.0001313370107696349
2016,Spain,6.197177770933482e-06
2017,Australia,0.0006148153038287882
2017,Canada,0.0007238629567807615
2017,France,3.8817126041984214e-05
2017,United Kingdom,9.306512972027724e-05
2017,Germany,3.646331978153608e-05
2017,Netherlands,0.00013306823086756432
2017,Norway,0.0005322559571506577
2017,New Zealand,0.00021458821287576065
2017,Sweden,0.0003447790208780608
2017,United States,0.00010262554358208329
2017,Finland,0.00019704712365632368
2017,Belgium,0.00011462595685090184
2017,Italy,1.6217901616473197e-05
2017,Portugal,3.887825730544324e-06
2017,Ireland,5.74340124221564e-05
2017,Switzerland,7.8407747962729e-05
2017,Japan,2.2744611393726416e-07
2017,South Korea,5.871254198533878e-07
2017,Uruguay,4.655703454968436e-06
2017,Austria,4.319775888666337e-05
2017,Chile,3.5732780521953056e-06
2017,Denmark,8.722537309344961e-07
2017,Estonia,1.4400605128586035e-05
2017,Croatia,9.562864718695185e-06
2017,Iceland,0.00014354281613062397
2017,Lithuania,2.00321991242766e-05
2017,Luxembourg,0.0002990299266447491
2017,Latvia,2.0501287224571613e-05
2017,Romania,2.1878535863957434e-06
2017,Spain,2.2959466680100778e-05
2017,Malta,3.881854613127519e-05
2018,Australia,0.0005103189782792322
2018,Canada,0.000756799312347837
2018,Finland,0.00010936907263536913
2018,France,8.555094934472896e-05
2018,United Kingdom,8.64142835393539e-05
2018,Norway,0.0004657209870437396
2018,New Zealand,0.00020914455029810478
2018,Sweden,0.0004935000596692818
2018,United States,7.004665779382505e-05
2018,Netherlands,7.192448105343866e-05
2018,Belgium,7.664049858127986e-05
2018,Germany,3.86889950128129e-05
2018,Italy,6.630677263808472e-06
2018,Switzerland,0.00012620791886660597
2018,Iceland,0.0001574045475064744
2018,Japan,1.7295299711427924e-07
2018,South Korea,5.080933406550886e-07
2018,Portugal,3.412572619545344e-06
2018,Bulgaria,2.8362317258044618e-06
2018,Estonia,1.3606336924650373e-05
2018,Croatia,2.6465165706823224e-05
2018,Ireland,7.014348701121092e-05
2018,Lithuania,7.139618815751427e-06
2018,Spain,1.777573587638008e-05
2018,Slovenia,1.6363177844642214e-05
2019,Australia,0.0007237176231589639
2019,Canada,0.0008040942355034362
2019,Finland,0.00013539017949411794
2019,France,8.598223751300308e-05
2019,United Kingdom,8.310360758654196e-05
2019,New Zealand,0.000213043443718689
2019,Sweden,0.000521801113567616
2019,United States,8.357317531968928e-05
2019,Netherlands,0.00010937512703160643
2019,Norway,0.0005211142363092247
2019,Iceland,0.00022121479366558812
2019,Germany,5.8515000638312806e-05
2019,Italy,7.762168222634574e-06
2019,Luxembourg,6.0091273772595134e-05
2019,Portugal,3.676838013185376e-05
2019,Spain,1.7673446152112055e-05
2019,Uruguay,3.177601032547012e-06
2019,Brazil,1.421467347670193e-07
2019,South Korea,7.027774408675741e-07
2019,Ireland,0.0001603687292857058
2019,Japan,1.5765373531083984e-07
2019,Belgium,2.0711781606655363e-05
2019,Bulgaria,7.857011532807237e-06
2019,Croatia,2.3727095786527803e-05
2019,Romania,3.821414359160689e-06
2019,Switzerland,0.00011627959760973843
2020,Germany,2.0075445241925526e-05
2020,Australia,0.0001445889100423645
2020,Canada,0.00024450112906901426
2020,Finland,0.00011929861797694812
2020,United Kingdom,1.2123264760141132e-05
2020,New Zealand,6.67740443068595e-05
2020,Sweden,0.0003188349256926491
2020,United States,2.8960493479074807e-05
2020,France,1.8613982345549296e-05
2020,Norway,0.00028166977235105905
2020,Italy,5.706079544932052e-06
2020,Luxembourg,2.3962580035017316e-05
2020,Netherlands,2.445305547347798e-05
2020,Spain,7.78529974141897e-06
2020,Switzerland,7.059814771720716e-05
2020,Portugal,2.1771734737499078e-05
2020,South Korea,3.3158320467092287e-07
2020,Belgium,1.5186007888440825e-05
2020,Denmark,5.352022365238235e-06
2020,Ireland,3.949130340743117e-05
2020,Romania,1.923308639783109e-06
2021,Australia,1.523951811015085e-05
2021,Canada,7.583814747081091e-05
2021,Finland,5.0645587048139084e-05
2021,United Kingdom,9.6031038639166e-06
2021,Germany,2.6710219540960623e-05
2021,Norway,0.0001972325600585038
2021,New Zealand,4.793605453765161e-05
2021,Sweden,0.0002435985499833221
2021,Switzerland,4.187943907711944e-05
2021,United States,1.1354247059416721e-05
2021,Italy,2.6504340392195657e-06
2021,Lithuania,5.576494258813277e-06
2021,Netherlands,1.8633800059558282e-05
2021,Portugal,1.6620896912771663e-05
2021,Spain,5.048645517933377e-06
2021,Belgium,7.47055578012117e-05
2021,Ireland,1.103774024143351e-05
