Report generated on: 02-28-2022 17:09:14
"API","","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.7-6-BOL-MST.A","        Bolivia","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231"
"INTL.7-6-BIH-MST.A","        Bosnia and Herzegovina","3144.89043","3144.89043","3144.89043","2820.260135","2495.62984","2495.62984","2495.62984","2495.62984","2495.62984","2495.62984","2495.62984","2495.62984"
"INTL.7-6-BWA-MST.A","        Botswana","44.0924","44.0924","44.0924","44.0924","44.0924","44.0924","44.0924","44.0924","106.434","127.7208","1829.8346","1829.8346"
"INTL.7-6-BRA-MST.A","        Brazil","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676","7270.83676"
"INTL.7-6-VGB-MST.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BRN-MST.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BGR-MST.A","        Bulgaria","2200.21076","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546","2608.06546"
"INTL.7-6-BFA-MST.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MMR-MST.A","        Burma","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386"
"INTL.7-6-BDI-MST.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CPV-MST.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-KHM-MST.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CMR-MST.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CAN-MST.A","        Canada","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442","7255.40442"
"INTL.7-6-CYM-MST.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CAF-MST.A","        Central African Republic","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693","3.30693"
"INTL.7-6-TCD-MST.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CHL-MST.A","        Chile","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811","1301.82811"
"INTL.7-6-CHN-MST.A","        China","126214.495","126214.495","126214.495","126214.495","126214.495","141147.48857","145079.42834","147352.39156","149818.25903","153021.57189","156081.58445","156081.58445"
"INTL.7-6-COL-MST.A","        Colombia","5840.03838","5840.03838","5450.92295","5380.37511","5380.37511","5380.37511","5380.37511","5380.37511","5380.37511","5380.37511","5019.91974","5019.91974"
"INTL.7-6-COM-MST.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-COG-MST.A","        Congo-Brazzaville","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-COD-MST.A","        Congo-Kinshasa","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328","97.00328"
"INTL.7-6-COK-MST.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CRI-MST.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-HRV-MST.A","        Croatia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CUB-MST.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CYP-MST.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CZE-MST.A","        Czech Republic","3579.20057","3804.07181","3858.085","4213.02882","4181.06183","4133.6625","4090.67241","4052.09156","4012.4084","4006.89685","3226.46137","3226.46137"
"INTL.7-6-CIV-MST.A","        Côte d’Ivoire","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-DNK-MST.A","        Denmark","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-DJI-MST.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-DMA-MST.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-DOM-MST.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ECU-MST.A","        Ecuador","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544","26.45544"
"INTL.7-6-EGY-MST.A","        Egypt","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696","17.63696"
"INTL.7-6-SLV-MST.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GNQ-MST.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ERI-MST.A","        Eritrea","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-EST-MST.A","        Estonia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SWZ-MST.A","        Eswatini","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264","158.73264"
"INTL.7-6-ETH-MST.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-FLK-MST.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-FRO-MST.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-FJI-MST.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-FIN-MST.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-CSK-MST.A","        Former Czechoslovakia","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-SCG-MST.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-SUN-MST.A","        Former U.S.S.R.","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-YUG-MST.A","        Former Yugoslavia","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-FRA-MST.A","        France","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GUF-MST.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PYF-MST.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GAB-MST.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GMB-MST.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GEO-MST.A","        Georgia","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431","221.56431"
"INTL.7-6-DEU-MST.A","        Germany","44862.91469","44834.25463","44708.59129","44696.46588","44573.00716","44457.26461","40037.00151","39916.84972","39802.20948","37532.663421","39572.929","39572.929"
"INTL.7-6-DDR-MST.A","        Germany, East","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-DEUW-MST.A","        Germany, West","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-6-GHA-MST.A","        Ghana","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GIB-MST.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GRC-MST.A","        Greece","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356","3170.24356"
"INTL.7-6-GRL-MST.A","        Greenland","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273","201.72273"
"INTL.7-6-GRD-MST.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GLP-MST.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GUM-MST.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GTM-MST.A","        Guatemala","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GIN-MST.A","        Guinea","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GNB-MST.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GUY-MST.A","        Guyana","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-HTI-MST.A","        Haiti","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-HITZ-MST.A","        Hawaiian Trade Zone","","","","","","","","","","--","--","--"
"INTL.7-6-HND-MST.A","        Honduras","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-HKG-MST.A","        Hong Kong","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-HUN-MST.A","        Hungary","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979","3206.61979"
"INTL.7-6-ISL-MST.A","        Iceland","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-IND-MST.A","        India","88971.84934","84772.04824","87619.31497","90437.92164","93934.44896","95517.36612","99512.13756","104464.81639","107726.55168","111190.560855","116768.80061","116768.80061"
"INTL.7-6-IDN-MST.A","        Indonesia","4907.48412","17388.94025","18910.12805","24816.30503","24816.30503","24817.40734","24829.409308","24829.960463","24910.00138","24937.049122333","43972.24821","43972.24821"
"INTL.7-6-IRN-MST.A","        Iran","461.86789","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893","1326.07893"
"INTL.7-6-IRQ-MST.A","        Iraq","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-IRL-MST.A","        Ireland","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234"
"INTL.7-6-ISR-MST.A","        Israel","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ITA-MST.A","        Italy","18.73927","18.73927","18.73927","18.73927","18.73927","18.73927","18.73927","18.73927","18.73927","10","18.73927","18.73927"
"INTL.7-6-JAM-MST.A","        Jamaica","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-JPN-MST.A","        Japan","391.32005","385.8085","385.8085","385.8085","385.8085","385.8085","385.8085","385.8085","385.8085","340","385.8085","385.8085"
"INTL.7-6-JOR-MST.A","        Jordan","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-KAZ-MST.A","        Kazakhstan","20885.46757","20668.3125","20668.3125","19006.02902","28224.64755","28224.64755","28224.64755","28224.64755","28224.64755","28224.64755","28224.64755","28224.64755"
"INTL.7-6-KEN-MST.A","        Kenya","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-KIR-MST.A","        Kiribati","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-XKS-MST.A","        Kosovo","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284","1724.01284"
"INTL.7-6-KWT-MST.A","        Kuwait","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-KGZ-MST.A","        Kyrgyzstan","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301","1070.34301"
"INTL.7-6-LAO-MST.A","        Laos","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193","554.46193"
"INTL.7-6-LVA-MST.A","        Latvia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LBN-MST.A","        Lebanon","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LSO-MST.A","        Lesotho","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LBR-MST.A","        Liberia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LBY-MST.A","        Libya","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LTU-MST.A","        Lithuania","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LUX-MST.A","        Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MAC-MST.A","        Macau","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MDG-MST.A","        Madagascar","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MWI-MST.A","        Malawi","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462"
"INTL.7-6-MYS-MST.A","        Malaysia","198.4158","198.4158","198.4158","198.4158","198.4158","198.4158","198.4158","198.4158","198.4158","198.4158","249.12206","249.12206"
"INTL.7-6-MDV-MST.A","        Maldives","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MLI-MST.A","        Mali","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MLT-MST.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MTQ-MST.A","        Martinique","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MRT-MST.A","        Mauritania","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MUS-MST.A","        Mauritius","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MEX-MST.A","        Mexico","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741","1334.89741"
"INTL.7-6-FSM-MST.A","        Micronesia","","","","","","","","","","NA","NA","NA"
"INTL.7-6-MDA-MST.A","        Moldova","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MNG-MST.A","        Mongolia","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212","2777.8212"
"INTL.7-6-MNE-MST.A","        Montenegro","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802","156.52802"
"INTL.7-6-MSR-MST.A","        Montserrat","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-MAR-MST.A","        Morocco","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234","15.43234"
"INTL.7-6-MOZ-MST.A","        Mozambique","233.68972","935.86119","935.86119","935.86119","935.86119","1975.33952","1975.33952","1975.33952","1975.33952","1975.33952","1975.33952","1975.33952"
"INTL.7-6-NAM-MST.A","        Namibia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-NRU-MST.A","        Nauru","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-NPL-MST.A","        Nepal","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231"
"INTL.7-6-NLD-MST.A","        Netherlands","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807","547.84807"
"INTL.7-6-NLDA-MST.A","        Netherlands Antilles","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-NCL-MST.A","        New Caledonia","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462","2.20462"
"INTL.7-6-NZL-MST.A","        New Zealand","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825","8349.99825"
"INTL.7-6-NIC-MST.A","        Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-NER-MST.A","        Niger","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386","6.61386"
"INTL.7-6-NGA-MST.A","        Nigeria","391.32005","391.32005","391.32005","391.32005","379.19464","379.19464","379.19464","379.19464","379.19464","379.19464","379.19464","379.19464"
"INTL.7-6-NIU-MST.A","        Niue","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PRK-MST.A","        North Korea","661.386","661.386","661.386","661.386","661.386","661.386","661.386","661.386","661.386","661.386","661.386","661.386"
"INTL.7-6-MKD-MST.A","        North Macedonia","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692","365.96692"
"INTL.7-6-MNP-MST.A","        Northern Mariana Islands","","","","","","","","","","NA","NA","NA"
"INTL.7-6-NOR-MST.A","        Norway","26.45544","26.45544","19.84158","16.53465","14.33003","13.22772","2.20462","2.20462","1.10231","1.10231","2.20462","2.20462"
"INTL.7-6-OMN-MST.A","        Oman","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PAK-MST.A","        Pakistan","3261.73529","3261.73529","3261.73529","3377.47784","3377.47784","3377.47784","3377.47784","3377.47784","3377.47784","3377.47784","3377.47784","3377.47784"
"INTL.7-6-PSE-MST.A","        Palestinian Territories","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PAN-MST.A","        Panama","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PNG-MST.A","        Papua New Guinea","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PRY-MST.A","        Paraguay","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-PER-MST.A","        Peru","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562","112.43562"
"INTL.7-6-PHL-MST.A","        Philippines","348.32996","348.32996","348.32996","348.32996","348.32996","348.32996","348.32996","348.32996","348.32996","348.32996","397.93391","397.93391"
"INTL.7-6-POL-MST.A","        Poland","18123.07871","18142.92029","19454.66919","21191.90975","21608.58293","22995.28891","23845.16992","26632.91191","28451.72341","29903.906604","29687.41292","29687.41292"
"INTL.7-6-PRT-MST.A","        Portugal","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316","39.68316"
"INTL.7-6-PRI-MST.A","        Puerto Rico","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-QAT-MST.A","        Qatar","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-REU-MST.A","        Reunion","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ROU-MST.A","        Romania","465.17482","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221","320.77221"
"INTL.7-6-RUS-MST.A","        Russia","178081.48743","176375.11155","176375.11155","176510.69568","176770.84084","176770.84084","176770.84084","176770.84084","176770.84084","176770.84084","178757.20346","178757.20346"
"INTL.7-6-RWA-MST.A","        Rwanda","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SHN-MST.A","        Saint Helena","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-KNA-MST.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-LCA-MST.A","        Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SPM-MST.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-VCT-MST.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-WSM-MST.A","        Samoa","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-STP-MST.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SAU-MST.A","        Saudi Arabia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SEN-MST.A","        Senegal","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SRB-MST.A","        Serbia","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734","8282.75734"
"INTL.7-6-SYC-MST.A","        Seychelles","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SLE-MST.A","        Sierra Leone","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SGP-MST.A","        Singapore","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SVK-MST.A","        Slovakia","198.4158","195.10887","192.90425","152.11878","148.81185","148.81185","148.81185","148.81185","148.81185","148.81185","148.81185","148.81185"
"INTL.7-6-SVN-MST.A","        Slovenia","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701","408.95701"
"INTL.7-6-SLB-MST.A","        Solomon Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SOM-MST.A","        Somalia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ZAF-MST.A","        South Africa","35053.458","36486.461","36155.768","35825.075","35384.151","35053.458","33510.224","35384.151","35053.458","34722.765","10905.15283","10905.15283"
"INTL.7-6-KOR-MST.A","        South Korea","364.86461","364.86461","359.35306","359.35306","359.35306","359.35306","359.35306","359.35306","359.35306","359.35306","359.35306","359.35306"
"INTL.7-6-SSD-MST.A","        South Sudan","","","","","","","0","0","0","0","0","0"
"INTL.7-6-ESP-MST.A","        Spain","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197","1308.44197"
"INTL.7-6-LKA-MST.A","        Sri Lanka","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SDN-MST.A","        Sudan","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SUR-MST.A","        Suriname","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SWE-MST.A","        Sweden","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231"
"INTL.7-6-CHE-MST.A","        Switzerland","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-SYR-MST.A","        Syria","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TWN-MST.A","        Taiwan","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231","1.10231"
"INTL.7-6-TJK-MST.A","        Tajikistan","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625","413.36625"
"INTL.7-6-TZA-MST.A","        Tanzania","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139","296.52139"
"INTL.7-6-THA-MST.A","        Thailand","2064.62663","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553","1171.75553"
"INTL.7-6-BHS-MST.A","        The Bahamas","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TLS-MST.A","        Timor-Leste","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TGO-MST.A","        Togo","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TON-MST.A","        Tonga","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TTO-MST.A","        Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TUN-MST.A","        Tunisia","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TUR-MST.A","        Turkey","2454.84437","2454.84437","2582.71233","2688.53409","2713.88722","9592.30162","9592.30162","12514.52543","12514.52543","12514.52543","12704.12275","12704.12275"
"INTL.7-6-TKM-MST.A","        Turkmenistan","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TCA-MST.A","        Turks and Caicos Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-TUV-MST.A","        Tuvalu","","","","","","","","","","NA","NA","NA"
"INTL.7-6-USIQ-MST.A","        U.S. Pacific Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"none","        U.S. Territories","","","","","","","","","","","",""
"INTL.7-6-VIR-MST.A","        U.S. Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-UGA-MST.A","        Uganda","0","0","0","0","0","0","0","0","0","0","0","0"
