Report generated on: 02-28-2022 15:46:47
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"INTL.3-6-ARM-TCF.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ABW-TCF.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-AUS-TCF.A","        Australia","31","30","18.7","17.768","17.682","17.85","18.22","18.68","18.61","16.633","16.467","15.433","15.057","18.254","19.607","19.606","20.082","19.429","19.429","44.638","44.638","44.638","90","90","90","29","27.64","30.37","30","30","110","110","27.85","43.037","43.037","30.4","30.4","70.23","113.53","113.53","113","114"
"INTL.3-6-AUT-TCF.A","        Austria","0.406","0.365","0.345","0.337","0.53","0.53","0.52","0.42","0.42","0.42","0.4","0.403","0.388","0.569","0.669","0.777","0.777","0.77","0.858","0.855","0.915","0.915","0.915","0.844","0.53","0.53","0.53","0.57","0.57","0.57","0.57","0.57","0.57","0.382","0.341","0.301","0.279","0.247","0.23","0.219","0.197","0.178"
"INTL.3-6-AZE-TCF.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","4.4","4.4","4.4","4.4","4.4","4.4","30","30","30","30","30","30","30","30","30","30","35","35","35","35","35","35","35","50","60"
"INTL.3-6-BHR-TCF.A","        Bahrain","9","9","8.6","7.89","7.4","7.26","7.103","7","6.9","6.7","6.476","6.25","6.01","5.81","5.9","5.295","5.295","5.2","5.1","4.177","3.875","3.875","3.249","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","7.4","6.8","2.874"
"INTL.3-6-BGD-TCF.A","        Bangladesh","8","8","7","7","7","7","11.8","12.71","12.72","12.715","12.36","12.7","25.6","25.4","25.2","25.2","10.087","10.163","10.884","10.615","10.615","10.615","10.615","10.615","10.6","10.6","5","5","5","5","6.9","6.9","6.489","6.489","9.344","8.5","8.23","7.253","6.56","5.957","4.46","4.46"
"INTL.3-6-BRB-TCF.A","        Barbados","NA","NA","NA","NA","NA","NA","NA","NA","0.01","0.007","0.007","0.006","0.006","0.007","0.007","0.005","0.005","0.005","0.005","0.005","0.007","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.005","0.005","0.004","0.004","0.004","0.004","0.005","0.005","0.004","0.004","0.005","0.005","0.005","0.004"
"INTL.3-6-BLR-TCF.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"INTL.3-6-BEL-TCF.A","        Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BLZ-TCF.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA"
"INTL.3-6-BEN-TCF.A","        Benin","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
"INTL.3-6-BMU-TCF.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BTN-TCF.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BOL-TCF.A","        Bolivia","5.4","4.2","5.4","5.7","4.9","4.27","4.7","4.84","5.04","5.354","5.475","4.149","4.5","4.108","3.931","4.46","4.46","4.504","4.6","4.34","4.34","18.3","24","24","24","24","24","24","26.5","26.5","26.5","26.5","9.94","9.94","9.94","10.45","10.45","10.45","10.45","10.45","10.7","10.7"
"INTL.3-6-BIH-TCF.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BWA-TCF.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BRA-TCF.A","        Brazil","1.5","1.5","1.848","2.33","2.669","2.84","3.06","3.2","3.6","3.7","3.849","4.045","4.046","4.4","4.828","4.852","5.17","5.449","5.58","8.039","7.979","8.228","7.805","8.092","8.475","8.829","11.515","10.82","12.28","12.89","12.862","12.94","14.725","13.967","16.223","16.172","16.636","15.184","13.328","13.063","13.028","12.854"
"INTL.3-6-VGB-TCF.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-BRN-TCF.A","        Brunei","7.7","7.3","7.1","6.8","7.05","7.3","7.4","7.06","7.01","11.6","11.37","11.2","11.2","14","14","14","14","14.1","14.1","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","11","9.2","9.2","9.2","9.2","9.2"
"INTL.3-6-BGR-TCF.A","        Bulgaria","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.247","0.247","0.25","0.25","0.25","0.25","0.25","0.14","0.17","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"INTL.3-6-BFA-TCF.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MMR-TCF.A","        Burma","0.135","0.18","0.17","0.19","0.18","0.17","0.16","9.46","9.46","9.46","9.43","9.4","9.35","9.8","9.8","9.8","10","11","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","22.5","22.5","22.5","22.5","22.5"
"INTL.3-6-BDI-TCF.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CPV-TCF.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-KHM-TCF.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CMR-TCF.A","        Cameroon","NA","4.944","4.6","4.45","4.2","4.15","3.88","3.88","3.88","3.88","3.88","3.88","3.88","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77","4.77"
"INTL.3-6-CAN-TCF.A","        Canada","85.5","87.3","89.9","97","90.5","92.3","99.7","99.6","98","95.1","94.3","97.589","96.734","95.734","94.823","79.231","67.027","68.118","65.02","63.874","63.874","61.01","59.733","60.118","59.069","56.6","56.577","57.946","58.2","57.906","61.95","61.95","61.004","68.166","66.721","71.794","70.481","77.065","72.6","73.933","71.267","73"
"INTL.3-6-CYM-TCF.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CAF-TCF.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-TCD-TCF.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA"
"INTL.3-6-CHL-TCF.A","        Chile","2.5","2.5","2.62","2.515","2.4","2.36","2.3","4.2","4.2","4.2","4.2","4.1","4.1","3.9","3.9","3.9","3.9","3.6","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46"
"INTL.3-6-CHN-TCF.A","        China","25","24.5","24.4","29.8","30.3","30.9","30","30","30.7","31.7","35.3","35.3","35.4","49.4","59","59","59","41.357","41","48.3","48.3","48.3","48.3","53.325","53.325","53.325","53.325","80","80","80","107","107","107","141.256","155.382","163.959","174.634","184.419","208.225","212.615","222.981","234.993"
"INTL.3-6-COL-TCF.A","        Colombia","5","6","4.362","4.58","4.3","3.786","4.13","4","3.6","3.943","4.02","4.5","3.889","7.2","10","7.882","10","8.25","14.2","6.937","6.937","6.937","4.322","4.507","4.507","4.04","4.04","3.996","4.342","3.739","3.955","4","4.736","6","7.008","5.508","4.758","4.361","4.024","3.896","3.783","3.1"
"INTL.3-6-COM-TCF.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-COG-TCF.A","        Congo-Brazzaville","2.013","2.402","2.472","2.472","2.437","2.508","2.472","2.614","2.578","2.578","2.72","2.72","2.72","2.72","3.179","3.179","3.179","3.179","4.309","4.309","4.309","4.309","4.238","4.133","4.062","4.592","4.592","4.592","5.298","6.358","6.428","7.559","7.912","8.971","10.066","10.066","10.064","10.064","10.064","10.064","10.064","10.029"
"INTL.3-6-COD-TCF.A","        Congo-Kinshasa","0.05","0.05","0.05","0.048","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03","1.058","1.058","1","0.05","0.05","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035"
"INTL.3-6-COK-TCF.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CRI-TCF.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-HRV-TCF.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","NA","1.316","1.252","1.25","1.25","0.786","0.786","1.198","1.237","1.237","1.237","1.237","0.873","0.87","1","1.052","1.008","1.08","1.08","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88"
"INTL.3-6-CUB-TCF.A","        Cuba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.706","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.446","0.636","0.636","0.636","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5"
"INTL.3-6-CYP-TCF.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CZE-TCF.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14"
"INTL.3-6-CIV-TCF.A","        Côte d’Ivoire","NA","NA","0.037","3.04","3.02","3","2.118","3.4","3.53","3.53","3.53","3.5","3.5","3.5","0.5","0.5","0.8","0.8","1","1.05","1.05","1.05","1.05","1.05","1.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"INTL.3-6-DNK-TCF.A","        Denmark","2.82","4","2","2.3","2.887","3.5","3.9","3.4","4.4","4.32","4.45","4.488","4.059","3.985","4.273","4.273","4.026","3.853","4.026","3.92","3.39","3.39","2.719","2.975","2.596","3.531","2.786","2.542","2.49","2.165","2.165","2.053","1.836","1.518","1.519","1.21","1.057","0.565","0.454","0.968","1.043","1.043"
"INTL.3-6-DJI-TCF.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-DMA-TCF.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-DOM-TCF.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ECU-TCF.A","        Ecuador","4","4","4.3","4.1","3.526","3","4.09","4.05","4.02","4.02","3.99","3.95","3.885","3.899","3.8","3.8","3.8","3.7","3.7","3.67","3.67","3.67","3.67","0.345","0.345","0.345","0.345","NA","NA","0.315","0.282","0.282","0.282","0.247","0.212","0.212","0.388","0.385","0.385","0.385","0.385","0.385"
"INTL.3-6-EGY-TCF.A","        Egypt","3","2.97","2.96","7.18","7.1","7","7.06","8.9","10.24","11.47","11.72","12.4","12.4","15.4","15.4","19.29","22.1","20.356","27.622","31.5","35.18","35.18","35.18","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","77.2","77.2","77.2","77.2","77.2","77.2","77.2","63","63","63","63"
"INTL.3-6-SLV-TCF.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GNQ-TCF.A","        Equatorial Guinea","NA","NA","NA","NA","NA","NA","NA","0.848","0.848","0.848","0.848","0.84","0.84","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","5.121","5.121","5.015","4.909"
"INTL.3-6-ERI-TCF.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-EST-TCF.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SWZ-TCF.A","        Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ETH-TCF.A","        Ethiopia","NA","NA","NA","NA","NA","NA","NA","NA","0.883","0.883","0.8","0.88","0.88","0.8","0.8","0.8","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.88"
"INTL.3-6-FLK-TCF.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-FRO-TCF.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-FJI-TCF.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-FIN-TCF.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-CSK-TCF.A","        Former Czechoslovakia","0.459","0.424","0.388","0.388","0.353","0.353","0.318","0.388","0.53","0.494","0.53","0.494","0.49","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-SCG-TCF.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","2.9","1.58","1.58","1.58","1.58","1.58","2","1.7","1.7","1.7","1.7","1.7","1.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-SUN-TCF.A","        Former U.S.S.R.","900","920","1160","1240","1400","1450","1500","1550","1450","1500","1500","1600","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-YUG-TCF.A","        Former Yugoslavia","1","1.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-FRA-TCF.A","        France","6.3","6","2.72","2.7","2.422","1.5","1.4","1.23","1.17","1.18","1.18","1.324","1.296","1.24","1.24","1.282","1.074","0.683","0.505","0.509","0.509","0.506","0.403","0.506","0.506","0.451","0.378","0.341","0.257","0.245","0.25","0.24","0.195","0.378","0.341","0.314","0.309","0.304","0.297","0.29","0.283","0.275"
"INTL.3-6-GUF-TCF.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PYF-TCF.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GAB-TCF.A","        Gabon","0.5","0.5","0.49","0.485","0.5","0.55","0.42","0.5","0.6","0.6","0.56","0.49","0.45","0.4","0.5","0.5","0.5","0.5","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1","1","1","1","1","1","1","1","1","1","1","0.901","0.918","0.918","0.918"
"INTL.3-6-GMB-TCF.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GEO-TCF.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"INTL.3-6-DEU-TCF.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","12.4","8.76","12.113","12.113","10.7","11.301","11.619","12.113","12.272","11.989","11.498","12.088","11.294","10.8","9.856","9.076","9","9","6.2","6.2","6.2","6.2","4.414","4.096","2.048","1.674","1.483","1.395","1.222","1.003","0.826"
"INTL.3-6-DDR-TCF.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-DEUW-TCF.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-GHA-TCF.A","        Ghana","NA","NA","NA","NA","0.004","0.004","0.004","NA","NA","NA","NA","NA","0.848","0.848","0.8","0.8","0.8","0.219","0.84","0.84","0.84","0.84","0.84","0.84","0.84","0.84","0.84","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"INTL.3-6-GIB-TCF.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GRC-TCF.A","        Greece","4","4","3.8","3.5","3.47","3.44","3","NA","0.02","0.14","0.21","0.047","0.044","0.3","0.3","0.3","0.3","0.3","0.3","0.31","0.035","0.035","0.018","0.018","0.035","0.035","0.035","0.035","0.07","0.07","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035"
"INTL.3-6-GRL-TCF.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GRD-TCF.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GLP-TCF.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GUM-TCF.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GTM-TCF.A","        Guatemala","NA","0.01","0.04","0.035","0.033","0.03","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.109","0.109","0.109","0.109","0.109","0.109","0.109","0.109","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA"
"INTL.3-6-GIN-TCF.A","        Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GNB-TCF.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-GUY-TCF.A","        Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.3-6-HTI-TCF.A","        Haiti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
