,Country
36,   Seychelles
37,   Somalia
38,   South Sudan
39,   Uganda
40,   United Republic of Tanzania*
41,   Zambia
42,   Zimbabwe
43,  Middle Africa
44,   Angola
45,   Cameroon
46,   Central African Republic
47,   Chad
48,   Congo
49,   Democratic Republic of the Congo
50,   Equatorial Guinea
51,   Gabon
52,   Sao Tome and Principe
53,  Northern Africa
54,   Algeria
55,   Egypt
56,   Libya
57,   Morocco
58,   Sudan
59,   Tunisia
60,   Western Sahara
61,  Southern Africa
62,   Botswana
63,   Eswatini
64,   Lesotho
65,   Namibia
66,   South Africa
67,  Western Africa
68,   Benin
69,   Burkina Faso
70,   Cabo Verde
71,   Côte d'Ivoire
72,   Gambia
73,   Ghana
74,   Guinea
75,   Guinea-Bissau
76,   Liberia
77,   Mali
78,   Mauritania
79,   Niger
80,   Nigeria
81,   Saint Helena*
82,   Senegal
83,   Sierra Leone
84,   Togo
85, ASIA
86,  Central Asia
87,   Kazakhstan
88,   Kyrgyzstan
89,   Tajikistan
90,   Turkmenistan
91,   Uzbekistan
92,  Eastern Asia
93,   China*
94,"   China, Hong Kong SAR*"
95,"   China, Macao SAR*"
96,"   China, Taiwan Province of China*"
97,   Dem. People's Republic of Korea
98,   Japan
99,   Mongolia
100,   Republic of Korea
101,  South-Eastern Asia
102,   Brunei Darussalam
103,   Cambodia
104,   Indonesia
105,   Lao People's Democratic Republic
106,   Malaysia*
107,   Myanmar
108,   Philippines
109,   Singapore
110,   Thailand
111,   Timor-Leste
112,   Viet Nam
113,  Southern Asia
114,   Afghanistan
115,   Bangladesh
116,   Bhutan
117,   India
118,   Iran (Islamic Republic of)
119,   Maldives
120,   Nepal
121,   Pakistan
122,   Sri Lanka
123,  Western Asia
124,   Armenia
125,   Azerbaijan*
126,   Bahrain
127,   Cyprus*
128,   Georgia*
129,   Iraq
130,   Israel
131,   Jordan
132,   Kuwait
133,   Lebanon
134,   Oman
135,   Qatar
136,   Saudi Arabia
137,   State of Palestine*
138,   Syrian Arab Republic
139,   Turkey
140,   United Arab Emirates
141,   Yemen
142, EUROPE
143,  Eastern Europe
144,   Belarus
145,   Bulgaria
146,   Czechia
147,   Hungary
148,   Poland
149,   Republic of Moldova*
150,   Romania
151,   Russian Federation
152,   Slovakia
153,   Ukraine*
154,  Northern Europe
155,   Channel Islands*
156,   Denmark*
157,   Estonia
158,   Faroe Islands*
159,   Finland*
160,   Iceland
161,   Ireland
162,   Isle of Man*
163,   Latvia
164,   Lithuania
165,   Norway*
166,   Sweden
167,   United Kingdom*
168,  Southern Europe
169,   Albania
170,   Andorra
171,   Bosnia and Herzegovina
172,   Croatia
173,   Gibraltar*
174,   Greece
175,   Holy See*
176,   Italy
177,   Malta
178,   Montenegro
179,   North Macedonia
180,   Portugal
181,   San Marino
182,   Serbia*
183,   Slovenia
184,   Spain*
185,  Western Europe
186,   Austria
187,   Belgium
188,   France*
189,   Germany
190,   Liechtenstein
191,   Luxembourg
192,   Monaco
193,   Netherlands*
194,   Switzerland
195, LATIN AMERICA AND THE CARIBBEAN
196,  Caribbean
197,   Anguilla*
198,   Antigua and Barbuda
199,   Aruba*
200,   Bahamas
201,   Barbados
202,"   Bonaire, Sint Eustatius and Saba*"
203,   British Virgin Islands*
204,   Cayman Islands*
205,   Cuba
206,   Curaçao*
207,   Dominica
208,   Dominican Republic
209,   Grenada
210,   Guadeloupe*
211,   Haiti
212,   Jamaica
213,   Martinique*
214,   Montserrat*
215,   Puerto Rico*
216,   Saint Barthélemy*
217,   Saint Kitts and Nevis
218,   Saint Lucia
219,   Saint Martin (French part)*
220,   Saint Vincent and the Grenadines
221,   Sint Maarten (Dutch part)*
222,   Trinidad and Tobago
223,   Turks and Caicos Islands*
224,   United States Virgin Islands*
225,  Central America
226,   Belize
227,   Costa Rica
228,   El Salvador
229,   Guatemala
230,   Honduras
231,   Mexico
232,   Nicaragua
233,   Panama
234,  South America
235,   Argentina
236,   Bolivia (Plurinational State of)
237,   Brazil
238,   Chile
239,   Colombia
240,   Ecuador
241,   Falkland Islands (Malvinas)*
242,   French Guiana*
243,   Guyana
244,   Paraguay
245,   Peru
246,   Suriname
247,   Uruguay
248,   Venezuela (Bolivarian Republic of)
249, NORTHERN AMERICA
250,   Bermuda*
251,   Canada
252,   Greenland*
253,   Saint Pierre and Miquelon*
254,   United States of America*
255, OCEANIA 
257,   Australia*
258,   New Zealand*
259,  Melanesia
260,   Fiji
261,   New Caledonia*
262,   Papua New Guinea
263,   Solomon Islands
264,   Vanuatu
265,  Micronesia
266,   Guam*
267,   Kiribati
268,   Marshall Islands
269,   Micronesia (Fed. States of)
270,   Nauru
271,   Northern Mariana Islands*
272,   Palau
273,  Polynesia*
274,   American Samoa*
275,   Cook Islands*
276,   French Polynesia*
277,   Niue*
278,   Samoa
279,   Tokelau*
280,   Tonga
281,   Tuvalu
282,   Wallis and Futuna Islands*
