Report generated on: 03-01-2022 10:34:09
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-AFG-TBPD.A","    Consumption (Mb/d)","","","","","","","","6.999999999","8.000000001","7.799999998","11.000000001","11.000000001","13.000000001","13.59753","13.86794","13.18628","13.37298","13.57298","12.75473","7.13639","7.13649","6.63649","6.43649","5.92087","5.60002","5.40002","5.400027397260274","3.8812459016393435","3.860493150684933","3.270939726027391","4.705284931506853","4.331092896174859","6.529397260273979","8.322821917808216","9.100410958904114","20.81557377049185","36.25320547945199","42.76090410958903","55.81753424657529","49.05868852459019","35.082679452054734","27.677745205479425","34.914945136986304","25.590860712328766","23.631189041083562","30.604660273972","24.276243835616",""
"INTL.54-2-AFG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","6.999999999","8.000000001","7.799999998","11.000000001","11.000000001","13.000000001","13.59753","13.86794","13.18628","13.37298","13.57298","12.75473","7.13639","7.13649","6.63649","6.43649","5.92087","5.60002","5.40002","5.400027397260274","3.8812459016393435","3.860493150684933","3.270939726027391","4.705284931506853","4.331092896174859","6.529397260273979","8.322821917808216","9.100410958904114","20.81557377049185","36.25320547945199","42.76090410958903","55.81753424657529","49.05868852459019","35.082679452054734","27.677745205479425","34.914945136986304","25.590860712328766","23.631189041083562","30.604660273972","24.276243835616",""
"INTL.62-2-AFG-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","1.286998448","1.470855369","1.434083984","2.022426132","2.022426132","2.390139974","2.5","2.9","2.5","2.6","2.6","2.5","1.9","1.9","1.8","1.8","1.6","1.5","1.4","1.4","0.302978142076503","0.444027397260274","0.280438356164384","1.7527397260274","0.839016393442623","2.24350684931507","1.98643835616438","4.83756164383562","13.0047540983607","21.7807123287671","25.4965205479452","37.1580821917808","29.3888797814208","21.7807123287671","16.6627123287671","20.373846","13.526808","13.3021260274","21.252553424658","14.169147945205",""
"INTL.63-2-AFG-TBPD.A","            Jet fuel (Mb/d)","","","","","","","","1.441438261","1.647358013","1.606174062","2.265117268","2.265117268","2.676956771","2.8","3.3","3","3","3.1","2.9","2.2","2.2","2.1","2","1.8","1.7","1.7","1.7","1.47333333333333","1.41219178082192","1.08630136986301","1.04284931506849","1.34333333333333","1.41219178082192","1.41219178082192","1.45564383561644","1.56","2.02052054794521","0.695232876712329","1.30356164383562","1.105","1.10802739726027","1.1188904109589","1.442608","1.438666","1.4599890411","1.459989041096","1.459989041096",""
"INTL.64-2-AFG-TBPD.A","            Kerosene (Mb/d)","","","","","","","","0.308879627","0.353005288","0.344180156","0.485382272","0.485382272","0.573633594","0.6","0.6","0.5","0.5","0.5","0.5","0.2","0.2","0.1","0.1","0.08448","0.06353","0.06353","0.0635342465753425","0.004224043715847","0","0.00211780821917808","0.00635342465753425","0.25344262295082","0.423561643835617","0.614164383561644","0.275315068493151","0.464644808743169","1.96956164383562","1.05890410958904","0.76241095890411","0.549125683060109","0.550630136986301","0.360027397260274","0.122832","0.200642","0.7581753425","0.258539726027","0",""
"INTL.65-2-AFG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","","3.500635777","4.000726603","3.900708437","5.500999079","5.500999079","6.501180729","6.8","6.9","6.5","6.6","6.7","6.3","2.5","2.5","2.4","2.3","2.2","2.1","2","2","1.93633879781421","1.83945205479452","1.7372602739726","1.75769863013699","1.69174863387978","2.22778082191781","4.08767123287671","2.30953424657534","5.5644262295082","10.2600547945205","15.2878904109589","16.3711232876712","17.7939344262295","11.4209534246575","9.31375890410959","12.438783","9.893672","6.9142958904","7.615331506849","8.541189041096",""
"INTL.66-2-AFG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","","0.411839503","0.470673718","0.458906875","0.647176362","0.647176362","0.764844792","0.8","0.1","0.05459","0.07298","0.07298","0.05473","0.03639","0.03649","0.03649","0.03649","0.03639","0.03649","0.03649","0.0364931506849315","0.0181967213114754","0.0182465753424658","0.0182465753424658","0.0182465753424658","0","0.0182465753424658","0.0182465753424658","0.0182465753424658","0.0181967213114754","0.0182465753424658","0.0182465753424658","0.0182465753424658","0.0181967213114754","0.0182465753424658","0.0182465753424658","0.018246","0.018196","0.0182465753","0.018246575342","0.018246575342",""
"INTL.67-2-AFG-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.68-2-AFG-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","","0.050208383","0.05738101","0.055946484","0.078898888","0.078898888","0.093244141","0.09753","0.06794","0.6","0.6","0.6","0.5","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.146174863387978","0.146575342465753","0.146575342465753","0.127397260273973","0.203551912568306","0.204109589041096","0.204109589041096","0.204109589041096","0.203551912568306","0.204109589041096","0.204109589041096","0.204109589041096","0.203551912568306","0.204109589041096","0.204109589041096","0.5186301369863013","0.5128767123287672","1.178356164383561","0","0.087671232877",""
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-ALB-TBPD.A","    Consumption (Mb/d)","","","","","","","","46","44","42.999999999","44","42.999999999","41.999999999","38.3","33.9","31.6","27","19.984","17.92538","20.42626","16.72158","13.21491","14.8139","11.61284","12.41172","15.1","9.208099594520547","21.872560655737708","23.166780273972577","26.88155506849314","27.304556712328715","30.439071038251406","30.58374356164382","28.52933589041099","27.83662904109589","27.38395300546445","26.72517041095888","25.951811506849342","25.735346849315118","22.637728961748625","27.171761095890403","28.13148164383562","26.061698","27.170328","35.325689019168486","33.05213698630137","26.393342465753427","--"
"INTL.54-2-ALB-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","46","44","42.999999999","44","42.999999999","41.999999999","38.3","33.9","31.6","27","19.984","17.92538","20.42626","16.72158","13.21491","14.8139","11.61284","12.41172","15.1","9.208099594520547","21.872560655737708","23.166780273972577","26.88155506849314","27.304556712328715","30.439071038251406","30.58374356164382","28.52933589041099","27.83662904109589","27.38395300546445","26.72517041095888","25.951811506849342","25.735346849315118","22.637728961748625","27.171761095890403","28.13148164383562","26.061698","27.170328","35.325689019168486","33.05213698630137","26.393342465753427","--"
"INTL.62-2-ALB-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","5.644908616","5.399477807","5.276762402","5.399477807","5.276762402","5.154046997","4.7","4.9","5","4.9","4","1.9","2.8","2.3","3.5","3.6","3.6","4.1","3.2","2.9","2.35390710382514","2.45383561643836","3.29515068493151","3.3886301369863","3.63573770491803","4.22994520547945","4.04298630136986","3.66906849315068","2.26068306010929","2.29024657534247","2.75764383561644","2.78101369863014","2.33060109289617","2.61742465753425","2.80438356164384","3","2","2.477205479452055","2.453835616438356","2.570684931506849","--"
"INTL.63-2-ALB-TBPD.A","            Jet fuel (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.3","0.3","0.3","0","0","0","0.866666666666667","0.934219178082192","0.934219178082192","1.02112328767123","1.04","1.23838356164384","0.977671232876712","0.412794520547945","0.563333333333333","0.412794520547945","0.369342465753425","0.434520547945205","0.433333333333333","0.456246575342466","0.173808219178082","0.043452","0.152082","0.1520821917808219","0.1955342465753425","0.4562465753424658","--"
"INTL.64-2-ALB-TBPD.A","            Kerosene (Mb/d)","","","","","","","","2.041775457","1.953002611","1.908616188","1.953002611","1.908616188","1.864229765","1.7","1.5","1.6","1.5","1","0.2","0.7","1.1","0.6","0.6","1.5","1.2","1.4","1.6","0.21120218579235","0.190602739726027","0.211780821917808","0.148246575342466","0.147841530054645","0","0.211780821917808","0","0","0","0","0","0","0","0","0","0","0","0","0","--"
"INTL.65-2-ALB-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","","10.809399478","10.339425587","10.104438642","10.339425587","10.104438642","9.869451697","9","6.7","6.6","6.5","4.5","2.5","6.6","2.5","2.1","2.3","2","4.2","7.2","2.1","9.98861922404372","10.6699710246575","10.6702029808219","12.2031030575342","13.8006859289618","13.797378169863","11.7944372273973","12.4281349260274","15.2065017322404","14.3285787287671","13.2854920712329","14.6145353643836","14.023571568306","15.6150445589041","15.8001197369863","16","17","15.51271232876712","14.57254794520548","14.44991780821918","--"
"INTL.66-2-ALB-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","","16.81462141","16.083550914","15.718015666","16.083550914","15.718015666","15.352480418","14","13","12","11","8.8","5.5","5.5","4.2","2.8","3","4","0.8","1.3","1.4","1.29755731147541","1.2983616","2.04353372054795","1.16924015342466","1.51494344262295","1.3389592109589","0.97521317260274","0.635699638356164","0.585179901639344","0.121702947945205","0.292449304109589","0.474731309589041","0.172116950819672","0.0275162301369863","0.13858757260274","0.018246","0.018246","0.1268397041","0.01824657534246576","0.05473972602739726","--"
"INTL.67-2-ALB-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","","0.360313316","0.34464752","0.336814621","0.34464752","0.336814621","0.328981723","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.9","0.00809959452054794","0.768968448087432","0.866125939726027","1.2173386739726","1.40818715616438","1.59676871584699","1.82192116164384","2.04451264657534","2.07705407123288","2.32168698907104","2.96465384109589","3.08666367671233","3.21763796164384","2.79188622404372","3.5604352","3.85437240547945","4","4","5.148493150684931","6.229041095890411","5.434520547945206","--"
"INTL.68-2-ALB-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","","10.328981723","9.879895561","9.65535248","9.879895561","9.65535248","9.430809399","8.6","7.6","6.3","3","1.6","7.8","4.8","6.5","3.9","5","0.2","2.1","1.1","1.2","6.38563971584699","6.75366417534247","8.50932900821918","7.96602634520548","8.70309371584699","8.15715625205479","8.48273448767123","8.61387739178082","6.44656798907104","6.60719379726027","6.16022015342466","4.21290796712329","2.88621979234973","4.8950938739726","5.36021014794521","3","4","11.90835616438356","9.582931506849315","3.427232876712329","--"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-DZA-TBPD.A","    Consumption (Mb/d)","","","","","","","","121.000000001","126.999999999","143.000000001","136","149.999999999","164.999999999","166.2","167.4","172.7","182.9","193.5","208.1","210.5","206.2","203.6","204.5","198.2","199.5","206.9","197.7","224.2703945355191","228.37250849315078","247.64047013698624","252.553053150685","262.6047125683059","264.0822509589043","267.67475835616386","275.9514191780822","313.81660983606605","349.16215945205516","347.4138156493151","349.5789589041096","373.793301369863","400.3377534246575","415.6059726027397","431.2676164383562","420.72377","407.385095890411","418.17019726027394","450.524465753425",""
"INTL.54-2-DZA-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","121.000000001","126.999999999","143.000000001","136","149.999999999","164.999999999","166.2","167.4","172.7","182.9","193.5","208.1","210.5","206.2","203.6","204.5","198.2","199.5","206.9","197.7","224.2703945355191","228.37250849315078","247.64047013698624","252.553053150685","262.6047125683059","264.0822509589043","267.67475835616386","275.9514191780822","313.81660983606605","349.16215945205516","347.4138156493151","349.5789589041096","373.793301369863","400.3377534246575","415.6059726027397","431.2676164383562","420.72377","407.385095890411","418.17019726027394","450.524465753425",""
"INTL.62-2-DZA-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","29.849578821","31.329723225","35.27677497","33.549939832","37.003610108","40.703971119","41","42","42","41","45","48","46","45","44","44","46","42","45","44","44.3280327868852","43.1641369863014","42.6032602739726","42.5331506849315","42.5101639344262","41.5516164383562","40.1494246575342","48.1419178082192","50.2710655737705","54.9425479452055","63","71","80","89","97","103","100","95.39578082191781","91.98378082191779","90.277780821918",""
"INTL.63-2-DZA-TBPD.A","            Jet fuel (Mb/d)","","","","","","","","8.008423586","8.405535499","9.464500602","9.001203369","9.927797834","10.920577617","11","8.5","8.3","6.8","7","6.5","8.5","10","9.8","8.1","7.6","7.7","5.7","7.1","8.01666666666667","9.38564383561644","11.4278904109589","8.77731506849315","7.77833333333333","7.99517808219178","7.84309589041096","7.69101369863014","13.2383333333333","13.1442465753425","11","10","11","13","12","12","11","10.84128767123288","12.5793698630137","11.406164383562",""
"INTL.64-2-DZA-TBPD.A","            Kerosene (Mb/d)","","","","","","","","1.164861613","1.222623345","1.376654633","1.309265945","1.444043321","1.588447653","1.6","0.6","3","2.1","2.5","3.6","4","0.2","2.8","4.9","6.8","0.2","6.2","0.2","0.190081967213115","0.190602739726027","0.190602739726027","0.25413698630137","0.232322404371585","0.232958904109589","0.190602739726027","0.127068493150685","0.0422404371584699","0.0211780821917808","0","0","0","0","0","0","0","0.3693424657534247","0.391068493150685","0.325890410959",""
"INTL.65-2-DZA-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","","34.217809868","35.91456077","40.439229844","38.459687124","42.418772563","46.660649819","47","56","55","57","64","59","72","71","67","69","70","72","68","64","76.2133538852459","81.0035179945206","91.8328484328767","98.0892760876712","108.77645184153","118.39281750137","127.183773326027","138.490301369863","145.397232994536","164.193823632877","168","181","192","202","205","218","212","207.1631780821918","212.7060602739726","215.134136986301",""
"INTL.66-2-DZA-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","","6.261131167","6.571600481","7.399518652","7.037304452","7.761732852","8.537906137","8.6","7.3","9.4","14","17","23","11","10","12","9.5","8.8","6.6","11","9.4","9.11807773770492","8.6405712","9.0630650630137","8.66685192328767","10.0535264590164","10.6726400219178","10.4884915726027","5.41923287671233","10.9634432131148","10.6187159342466","5","4","4","4","4","4","3","3.357369863013699","5.090794520547946","3.247890410959",""
"INTL.67-2-DZA-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","","31.305655836","32.858002407","36.997593261","35.186522262","38.80866426","42.689530686","43","38","40","39","40","45","44","45","44","44","40","51","50","55","50.6374662677596","53.3726259616438","55.8623225917808","59.6284942575343","62.0852721803279","57.9541608657534","53.5856461589041","53.0104109589041","54.4484451693989","64.2532585808219","64","65","68","68","63","62","61","69.88602739726026","73.98575342465753","84.981917808219",""
"INTL.68-2-DZA-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","","10.19253911","10.697954272","12.045728039","11.456077016","12.635379061","13.898916968","14","15","15","23","18","23","25","25","24","25","19","20","21","18","35.7667152240437","32.6154097753425","36.6604806246575","34.6038281424658","31.1686424153005","27.2828791452055","28.2337240109589","23.0714739726027","39.4558491147541","41.9883887013699","36.4138156493151","18.5789589041096","18.793301369863","24.3377534246575","34.6059726027397","32.2676164383562","33.72377","20.3721095890411","21.4333698630137","45.150684931507",""
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-ASM-TBPD.A","    Consumption (Mb/d)","","","","","","","","2.8","3.3","4.6","2.9","3.3","3.1","3.2","3.32117","3.22112","3.72931","3.92931","3.92931","4.02895","3.92931","3.82931","3.72931","3.72895","3.82931","3.82931","3.8293150684931505","3.744098360655734","3.754356164383566","3.817315068493155","3.817315068493155","3.80688524590164","4.065698630136983","4.14","4.14","4.14","4.14","4.14","2.34564584991815","2.34564610715881","2.34564584991815","2.34564584991815","2.345645","2.345646","2.3456458499","2.3456458499","2.3456458499",""
"INTL.54-2-ASM-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","2.8","3.3","4.6","2.9","3.3","3.1","3.2","3.32117","3.22112","3.72931","3.92931","3.92931","4.02895","3.92931","3.82931","3.72931","3.72895","3.82931","3.82931","3.8293150684931505","3.744098360655734","3.754356164383566","3.817315068493155","3.817315068493155","3.80688524590164","4.065698630136983","4.14","4.14","4.14","4.14","4.14","2.34564584991815","2.34564610715881","2.34564584991815","2.34564584991815","2.345645","2.345646","2.3456458499","2.3456458499","2.3456458499",""
"INTL.62-2-ASM-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","0.175","0.20625","0.2875","0.18125","0.20625","0.19375","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.419508196721311","0.420657534246575","0.444027397260274","0.444027397260274","0.442814207650273","0.584246575342466","0.6","0.6","0.6","0.6","0.6","0.314","0.314","0.314","0.314","0.314","0.314","0.314","0.314","0.314",""
"INTL.63-2-ASM-TBPD.A","            Jet fuel (Mb/d)","","","","","","","","0.7","0.825","1.15","0.725","0.825","0.775","0.8","0.8","0.8","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.563333333333333","0.564876712328767","0.543150684931507","0.543150684931507","0.541666666666667","0.564876712328767","0.56","0.56","0.56","0.56","0.56","0.1826","0.1826","0.1826","0.1826","0.1826","0.1826","0.1826","0.1826","0.1826",""
"INTL.64-2-ASM-TBPD.A","            Kerosene (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0.02117","0.02112","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0844808743169399","0.0847123287671233","0.0847123287671233","0.0847123287671233","0.0844808743169399","0.105890410958904","0.11","0.11","0.11","0.11","0.11","0","0","0","0","0","0","0","0","0",""
"INTL.65-2-ASM-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","","1.925","2.26875","3.1625","1.99375","2.26875","2.13125","2.2","2.3","2.2","2.6","2.7","2.7","2.8","2.8","2.7","2.6","2.6","2.7","2.7","2.7","2.54781420765027","2.55479452054795","2.6161095890411","2.6161095890411","2.60896174863388","2.65698630136986","2.7","2.7","2.7","2.7","2.7","1.84560584991815","1.84560610715881","1.84560584991815","1.84560584991815","1.845605","1.845606","1.8456058499","1.8456058499","1.8456058499",""
"INTL.66-2-ASM-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00164","0.00164","0.00164","0.00164","0.00164","0.00164","0.00164","0.00164","0.00164",""
"INTL.67-2-ASM-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.05","0.05","0.05","0.05","0.05","0","0","0","0","0","0","0","0","0",""
"INTL.68-2-ASM-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0.09753","0.09753","0.09753","0.09726","0.09753","0.09753","0.09753","0.09726","0.09753","0.09753","0.0975342465753425","0.0972677595628415","0.0975342465753425","0.0975342465753425","0.0975342465753425","0.0972677595628415","0.121917808219178","0.12","0.12","0.12","0.12","0.12","0.0018","0.0018","0.0018","0.0018","0.0018","0.0018","0.0018","0.0018","0.0018",""
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-AGO-TBPD.A","    Consumption (Mb/d)","","","","","","","","20.000000002","20.000000002","21.000000001","22","19","25.000000001","23.8","23.9","24","24.3","24.3","25.5","25.5","24.8","24.5","26.4","24.8","29.8","25.4","31.3","38.70139234972673","43.5847583561644","45.35358027397257","50.68749698630144","54.2014546448087","42.130644383561595","56.78680767123286","67.46339178082196","82.75661967213112","98.66940821917811","106.95469289863014","111.97478115068493","119.80948045901637","138.73805537534247","158.867808219","156.746602740479","137.14506849282202","121.134356163767","110.372794520096","133.36109589041",""
"INTL.54-2-AGO-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","20.000000002","20.000000002","21.000000001","22","19","25.000000001","23.8","23.9","24","24.3","24.3","25.5","25.5","24.8","24.5","26.4","24.8","29.8","25.4","31.3","38.70139234972673","43.5847583561644","45.35358027397257","50.68749698630144","54.2014546448087","42.130644383561595","56.78680767123286","67.46339178082196","82.75661967213112","98.66940821917811","106.95469289863014","111.97478115068493","119.80948045901637","138.73805537534247","158.867808219","156.746602740479","137.14506849282202","121.134356163767","110.372794520096","133.36109589041",""
