date,monthly_co2_concentrations,yearly_co2_concentrations,location
1987-10-15,347.96,349.34,World
1987-11-15,349.24,349.56,World
1987-12-15,350.19,349.88,World
1988-01-15,350.91,350.12,World
1988-02-15,351.47,350.39,World
1988-03-15,351.85,350.38,World
1988-04-15,352.3,350.52,World
1988-05-15,352.46,350.83,World
1988-06-15,351.76,351.06,World
1988-07-15,350.28,351.27,World
1988-08-15,349.09,351.55,World
1988-09-15,349.27,351.79,World
1988-10-15,350.44,351.85,World
1988-11-15,351.61,351.96,World
1988-12-15,352.46,352.18,World
1989-01-15,353.0,352.17,World
1989-02-15,353.45,352.34,World
1989-03-15,354.0,352.57,World
1989-04-15,354.38,352.6,World
1989-05-15,354.19,352.51,World
1989-06-15,353.26,352.56,World
1989-07-15,351.56,352.59,World
1989-08-15,350.21,352.69,World
1989-09-15,350.56,353.09,World
1989-10-15,351.85,353.28,World
1989-11-15,353.03,353.37,World
1989-12-15,353.9,353.59,World
1990-01-15,354.45,353.7,World
1990-02-15,354.87,353.8,World
1990-03-15,355.19,353.77,World
1990-04-15,355.5,353.73,World
1990-05-15,355.4,353.73,World
1990-06-15,354.3,353.66,World
1990-07-15,352.7,353.78,World
1990-08-15,351.6,354.1,World
1990-09-15,351.8,354.32,World
1990-10-15,353.18,354.57,World
1990-11-15,354.44,354.72,World
1990-12-15,355.18,354.72,World
1991-01-15,355.74,354.97,World
1991-02-15,356.17,355.06,World
1991-03-15,356.69,355.26,World
1991-04-15,357.21,355.46,World
1991-05-15,357.1,355.47,World
1991-06-15,356.17,355.57,World
1991-07-15,354.52,355.63,World
1991-08-15,353.03,355.54,World
1991-09-15,352.9,355.43,World
1991-10-15,354.02,355.4,World
1991-11-15,355.16,355.4,World
1991-12-15,355.95,355.46,World
1992-01-15,356.53,355.74,World
1992-02-15,356.89,355.76,World
1992-03-15,357.27,355.8,World
1992-04-15,357.76,355.97,World
1992-05-15,357.84,356.2,World
1992-06-15,356.87,356.29,World
1992-07-15,355.17,356.32,World
1992-08-15,353.67,356.23,World
1992-09-15,353.6,356.16,World
1992-10-15,354.81,356.21,World
1992-11-15,355.99,356.23,World
1992-12-15,356.75,356.26,World
1993-01-15,357.2,356.37,World
1993-02-15,357.55,356.39,World
1993-03-15,357.96,356.51,World
1993-04-15,358.41,356.65,World
1993-05-15,358.37,356.72,World
1993-06-15,357.35,356.69,World
1993-07-15,355.73,356.75,World
1993-08-15,354.44,356.91,World
1993-09-15,354.47,357.05,World
1993-10-15,355.7,357.17,World
1993-11-15,356.95,357.29,World
1993-12-15,357.86,357.49,World
1994-01-15,358.48,357.63,World
1994-02-15,359.02,357.86,World
1994-03-15,359.36,357.91,World
1994-04-15,359.71,357.93,World
1994-05-15,359.74,358.06,World
1994-06-15,358.81,358.11,World
1994-07-15,357.27,358.27,World
1994-08-15,356.05,358.56,World
1994-09-15,356.01,358.67,World
1994-10-15,357.26,358.8,World
1994-11-15,358.69,359.04,World
1994-12-15,359.55,359.15,World
1995-01-15,360.15,359.31,World
1995-02-15,360.63,359.53,World
1995-03-15,361.09,359.71,World
1995-04-15,361.56,359.85,World
1995-05-15,361.47,359.84,World
1995-06-15,360.61,359.92,World
1995-07-15,359.0,360.0,World
1995-08-15,357.73,360.21,World
1995-09-15,358.06,360.65,World
1995-10-15,359.43,360.89,World
1995-11-15,360.77,361.05,World
1995-12-15,361.65,361.19,World
1996-01-15,362.14,361.22,World
1996-02-15,362.5,361.32,World
1996-03-15,362.82,361.4,World
1996-04-15,363.14,361.42,World
1996-05-15,363.29,361.68,World
1996-06-15,362.88,362.22,World
1996-07-15,361.57,362.61,World
1996-08-15,360.06,362.57,World
1996-09-15,359.7,362.31,World
1996-10-15,360.67,362.15,World
1996-11-15,361.78,362.08,World
1996-12-15,362.64,362.2,World
1997-01-15,363.28,362.33,World
1997-02-15,363.65,362.47,World
1997-03-15,364.03,362.62,World
1997-04-15,364.51,362.81,World
1997-05-15,364.51,362.94,World
1997-06-15,363.6,362.97,World
1997-07-15,361.93,362.97,World
1997-08-15,360.41,362.89,World
1997-09-15,360.41,363.02,World
1997-10-15,361.94,363.42,World
1997-11-15,363.61,363.89,World
1997-12-15,364.68,364.23,World
1998-01-15,365.19,364.26,World
1998-02-15,365.46,364.3,World
1998-03-15,365.93,364.53,World
1998-04-15,366.58,364.9,World
1998-05-15,366.86,365.32,World
1998-06-15,366.27,365.67,World
1998-07-15,364.84,365.89,World
1998-08-15,363.79,366.28,World
1998-09-15,364.04,366.62,World
1998-10-15,365.34,366.78,World
1998-11-15,366.6,366.85,World
1998-12-15,367.47,366.97,World
1999-01-15,368.12,367.18,World
1999-02-15,368.52,367.37,World
1999-03-15,368.91,367.52,World
1999-04-15,369.3,367.65,World
1999-05-15,369.21,367.7,World
1999-06-15,368.36,367.79,World
1999-07-15,366.69,367.74,World
1999-08-15,365.33,367.78,World
1999-09-15,365.44,368.0,World
1999-10-15,366.75,368.18,World
1999-11-15,368.05,368.28,World
1999-12-15,368.88,368.36,World
2000-01-15,369.41,368.5,World
2000-02-15,369.68,368.54,World
2000-03-15,370.0,368.6,World
2000-04-15,370.36,368.69,World
2000-05-15,370.25,368.72,World
2000-06-15,369.31,368.79,World
2000-07-15,367.9,369.05,World
2000-08-15,366.75,369.26,World
2000-09-15,366.7,369.24,World
2000-10-15,367.92,369.3,World
2000-11-15,369.29,369.46,World
2000-12-15,370.12,369.54,World
2001-01-15,370.69,369.79,World
2001-02-15,371.18,370.02,World
2001-03-15,371.59,370.17,World
2001-04-15,371.91,370.23,World
2001-05-15,371.81,370.29,World
2001-06-15,370.85,370.33,World
2001-07-15,369.45,370.57,World
2001-08-15,368.32,370.79,World
2001-09-15,368.36,370.89,World
2001-10-15,369.72,371.11,World
2001-11-15,371.05,371.26,World
2001-12-15,371.96,371.44,World
2002-01-15,372.53,371.56,World
2002-02-15,372.92,371.67,World
2002-03-15,373.38,371.84,World
2002-04-15,373.72,371.96,World
2002-05-15,373.7,372.13,World
2002-06-15,372.84,372.3,World
2002-07-15,371.41,372.55,World
2002-08-15,370.37,372.9,World
2002-09-15,370.69,373.31,World
2002-10-15,371.96,373.44,World
2002-11-15,373.29,373.58,World
2002-12-15,374.27,373.82,World
2003-01-15,374.95,373.94,World
2003-02-15,375.47,374.16,World
2003-03-15,375.92,374.34,World
2003-04-15,376.39,374.61,World
2003-05-15,376.51,374.92,World
2003-06-15,375.68,375.14,World
2003-07-15,374.16,375.31,World
2003-08-15,372.93,375.51,World
2003-09-15,373.11,375.78,World
2003-10-15,374.39,375.92,World
2003-11-15,375.68,376.01,World
2003-12-15,376.53,376.11,World
2004-01-15,377.22,376.24,World
2004-02-15,377.76,376.45,World
2004-03-15,378.19,376.59,World
2004-04-15,378.48,376.7,World
2004-05-15,378.39,376.81,World
2004-06-15,377.51,376.97,World
2004-07-15,375.97,377.16,World
2004-08-15,374.51,377.15,World
2004-09-15,374.41,377.08,World
2004-10-15,375.74,377.24,World
2004-11-15,377.22,377.51,World
2004-12-15,378.18,377.69,World
2005-01-15,378.73,377.76,World
2005-02-15,379.19,377.88,World
2005-03-15,379.82,378.21,World
2005-04-15,380.31,378.51,World
2005-05-15,380.43,378.81,World
2005-06-15,379.61,379.02,World
2005-07-15,377.94,379.11,World
2005-08-15,376.73,379.36,World
2005-09-15,376.77,379.47,World
2005-10-15,378.08,379.64,World
2005-11-15,379.54,379.86,World
2005-12-15,380.52,380.04,World
2006-01-15,381.32,380.31,World
2006-02-15,381.94,380.57,World
2006-03-15,382.32,380.68,World
2006-04-15,382.65,380.82,World
2006-05-15,382.61,380.96,World
2006-06-15,381.74,381.14,World
2006-07-15,380.07,381.27,World
2006-08-15,378.49,381.21,World
2006-09-15,378.61,381.38,World
2006-10-15,380.04,381.62,World
2006-11-15,381.41,381.74,World
2006-12-15,382.38,381.9,World
2007-01-15,383.03,382.01,World
2007-02-15,383.54,382.13,World
2007-03-15,384.01,382.36,World
2007-04-15,384.27,382.45,World
2007-05-15,384.12,382.49,World
2007-06-15,383.26,382.69,World
2007-07-15,381.55,382.81,World
2007-08-15,380.3,383.05,World
2007-09-15,380.69,383.46,World
2007-10-15,382.1,383.65,World
2007-11-15,383.45,383.73,World
2007-12-15,384.46,383.95,World
2008-01-15,385.21,384.19,World
2008-02-15,385.74,384.35,World
2008-03-15,386.15,384.53,World
2008-04-15,386.54,384.73,World
2008-05-15,386.49,384.86,World
2008-06-15,385.57,385.01,World
2008-07-15,384.08,385.4,World
2008-08-15,382.75,385.55,World
2008-09-15,382.54,385.28,World
2008-10-15,383.66,385.14,World
2008-11-15,385.17,385.4,World
2008-12-15,386.27,385.72,World
2009-01-15,387.03,385.98,World
2009-02-15,387.48,386.05,World
2009-03-15,387.71,386.05,World
2009-04-15,387.99,386.17,World
2009-05-15,387.95,386.35,World
2009-06-15,386.96,386.46,World
2009-07-15,385.01,386.42,World
2009-08-15,383.62,386.5,World
2009-09-15,383.93,386.66,World
2009-10-15,385.49,386.92,World
2009-11-15,386.94,387.12,World
2009-12-15,387.84,387.27,World
2010-01-15,388.62,387.6,World
2010-02-15,389.34,387.93,World
2010-03-15,389.68,388.03,World
2010-04-15,389.98,388.17,World
2010-05-15,389.95,388.36,World
2010-06-15,389.01,388.51,World
2010-07-15,387.35,388.75,World
2010-08-15,386.23,389.05,World
2010-09-15,386.7,389.41,World
2010-10-15,388.25,389.68,World
2010-11-15,389.62,389.8,World
2010-12-15,390.36,389.82,World
2011-01-15,390.93,389.88,World
2011-02-15,391.35,389.93,World
2011-03-15,391.67,390.03,World
2011-04-15,392.05,390.23,World
2011-05-15,392.07,390.45,World
2011-06-15,391.13,390.62,World
2011-07-15,389.19,390.57,World
2011-08-15,387.86,390.64,World
2011-09-15,388.26,390.98,World
2011-10-15,389.83,391.3,World
2011-11-15,391.2,391.42,World
2011-12-15,392.04,391.53,World
2012-01-15,392.61,391.55,World
2012-02-15,393.2,391.78,World
2012-03-15,393.73,392.09,World
2012-04-15,393.99,392.19,World
2012-05-15,393.88,392.28,World
2012-06-15,392.84,392.36,World
2012-07-15,391.0,392.43,World
2012-08-15,389.89,392.73,World
2012-09-15,390.55,393.27,World
2012-10-15,392.16,393.59,World
2012-11-15,393.56,393.73,World
2012-12-15,394.39,393.82,World
2013-01-15,395.07,394.09,World
2013-02-15,395.69,394.33,World
2013-03-15,396.29,394.67,World
2013-04-15,396.74,394.93,World
2013-05-15,396.75,395.14,World
2013-06-15,395.95,395.44,World
2013-07-15,394.46,395.82,World
2013-08-15,393.23,396.01,World
2013-09-15,393.21,395.88,World
2013-10-15,394.5,395.93,World
2013-11-15,395.96,396.15,World
2013-12-15,396.87,396.34,World
2014-01-15,397.51,396.43,World
2014-02-15,397.97,396.54,World
2014-03-15,398.27,396.59,World
2014-04-15,398.63,396.78,World
2014-05-15,398.69,397.03,World
2014-06-15,397.73,397.15,World
2014-07-15,396.13,397.46,World
2014-08-15,395.02,397.83,World
2014-09-15,395.12,397.89,World
2014-10-15,396.38,397.91,World
2014-11-15,397.86,398.15,World
2014-12-15,398.84,398.36,World
2015-01-15,399.56,398.51,World
2015-02-15,400.12,398.69,World
2015-03-15,400.56,398.86,World
2015-04-15,400.96,399.09,World
2015-05-15,400.9,399.26,World
2015-06-15,400.06,399.49,World
2015-07-15,398.39,399.67,World
2015-08-15,397.07,399.85,World
2015-09-15,397.34,400.14,World
2015-10-15,398.8,400.37,World
2015-11-15,400.36,400.68,World
2015-12-15,401.66,401.18,World
2016-01-15,402.64,401.61,World
2016-02-15,403.27,401.88,World
2016-03-15,403.86,402.19,World
2016-04-15,404.39,402.53,World
2016-05-15,404.45,402.8,World
2016-06-15,403.66,403.05,World
2016-07-15,402.11,403.33,World
2016-08-15,400.8,403.54,World
2016-09-15,400.99,403.79,World
2016-10-15,402.42,404.02,World
2016-11-15,403.78,404.11,World
2016-12-15,404.69,404.22,World
2017-01-15,405.32,404.23,World
2017-02-15,405.91,404.48,World
2017-03-15,406.32,404.63,World
2017-04-15,406.61,404.74,World
2017-05-15,406.65,404.99,World
2017-06-15,405.86,405.27,World
2017-07-15,404.11,405.38,World
2017-08-15,402.57,405.39,World
2017-09-15,402.66,405.51,World
2017-10-15,404.16,405.74,World
2017-11-15,405.7,406.0,World
2017-12-15,406.75,406.25,World
2018-01-15,407.56,406.52,World
2018-02-15,408.24,406.85,World
2018-03-15,408.76,407.11,World
2018-04-15,409.08,407.25,World
2018-05-15,408.98,407.34,World
2018-06-15,408.09,407.49,World
2018-07-15,406.47,407.75,World
2018-08-15,405.1,407.94,World
2018-09-15,405.17,408.02,World
2018-10-15,406.65,408.2,World
2018-11-15,408.13,408.35,World
2018-12-15,409.18,408.59,World
2019-01-15,409.92,408.84,World
2019-02-15,410.34,408.92,World
2019-03-15,410.89,409.2,World
2019-04-15,411.33,409.5,World
2019-05-15,411.34,409.69,World
2019-06-15,410.53,409.95,World
2019-07-15,408.88,410.17,World
2019-08-15,407.65,410.47,World
2019-09-15,407.92,410.76,World
2019-10-15,409.44,411.02,World
2019-11-15,410.87,411.13,World
2019-12-15,411.76,411.21,World
2020-01-15,412.43,411.35,World
2020-02-15,412.95,411.53,World
2020-03-15,413.44,411.75,World
2020-04-15,413.86,412.03,World
2020-05-15,413.81,412.16,World
2020-06-15,412.88,412.3,World
2020-07-15,411.17,412.45,World
2020-08-15,409.73,412.56,World
2020-09-15,410.0,412.84,World
2020-10-15,411.66,413.25,World
2020-11-15,413.25,413.51,World
2020-12-15,414.14,413.6,World
2021-01-15,414.74,413.66,World
2021-02-15,415.21,413.79,World
2021-03-15,415.51,413.81,World
2021-04-15,415.82,413.99,World
2021-05-15,416.04,414.39,World
2021-06-15,415.24,414.66,World
2021-07-15,413.48,414.76,World
2021-08-15,412.17,414.99,World
2021-09-15,412.38,415.22,World
2021-10-15,413.83,415.42,World
2021-11-15,415.59,415.85,World
2021-12-15,416.64,416.1,World
2022-01-15,417.39,416.31,World
2022-02-15,417.89,416.48,World
2022-03-15,418.28,416.58,World
