Report generated on: 03-01-2022 09:33:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"INTL.57-6-BHR-BB.A","        Bahrain","0.24","0.225","0.209","0.197","0.185","0.17","0.155","0.14","0.14055","0.126","0.111708","0.09746","0.08349","0.069584","0.069584","0.21","0.21","0.21","0.21","0.16","0.14811","0.14811","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.12456","0.108","0.0946","0.1865"
"INTL.57-6-BGD-BB.A","        Bangladesh","NA","NA","NA","NA","NA","NA","NA","NA","0.0005","0.0005","0.0005","0.0005","0.0005","0.0015","0.004","0.004","0.005439","0.005439","0.005439","0.056902","0.056902","0.056902","0.056902","0.0569","0.056","0.056","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028"
"INTL.57-6-BRB-BB.A","        Barbados","0.0015","0.000837","0.00045","0.00073","0.0006","0.0006","0.0004","0.0005","0.00362","0.0033","0.00319","0.003083","0.003337","0.005892","0.003501","0.002784","0.002541","0.002411","0.002353","0.002353","0.003156","0.002508","0.002508","0.0025","0.002509","0.002509","0.0025","0.002852","0.0022","0.002171","0.001789","0.001789","0.002259","0.002259","0.00284","0.002526","0.002315","0.002082","0.002534","0.002356","0.002123","0.001978"
"INTL.57-6-BLR-BB.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198","0.198"
"INTL.57-6-BEL-BB.A","        Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BLZ-BB.A","        Belize","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067"
"INTL.57-6-BEN-BB.A","        Benin","NA","NA","NA","NA","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0199","0.0199","0.0199","0.027","0.0289","0.0289","0.00821","0.00821","0.00821","0.00821","0.00821","0.00821","0.00821","0.00821","0.00821","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008"
"INTL.57-6-BMU-BB.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BTN-BB.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BOL-BB.A","        Bolivia","0.15","0.112","0.104","0.18","0.1605","0.158","0.154","0.149","0.156","0.1762","0.182","0.119182","0.119","0.112136","0.108392","0.138874","0.138874","0.131931","0.131931","0.131931","0.131931","0.3965","0.4405","0.4405","0.4405","0.4405","0.4405","0.44","0.465","0.465","0.465","0.465","0.2098","0.2098","0.2098","0.21145","0.21145","0.21145","0.21145","0.21145","0.2409","0.2409"
"INTL.57-6-BIH-BB.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BWA-BB.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BRA-BB.A","        Brazil","1.22","1.3","1.32506","1.75","1.8","1.976","2.07","2.25","2.34","2.55","2.816","2.84","2.800349","3.03","3.6","3.797","4.2","4.8","4.8","7.106196","7.357476","8.1","8.464744","8.3217","8.5","10.6","11.2433","11.77264","12.18162","12.6239","12.8015","12.857","13.98671","13.1542","15.0499","15.5444","16.1841","12.9998","12.6337","12.83506","13.4353","12.7146"
"INTL.57-6-VGB-BB.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-BRN-BB.A","        Brunei","1.8","1.71","1.63","1.24","1.39","1.4","1.48","1.4209","1.42","1.4","1.375","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1"
"INTL.57-6-BGR-BB.A","        Bulgaria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015"
"INTL.57-6-BFA-BB.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-MMR-BB.A","        Burma","0.025","0.03","0.028","0.032","0.03","0.028","0.0655","0.058","0.058","0.054","0.0513","0.051","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.139","0.139","0.139","0.139","0.139"
"INTL.57-6-BDI-BB.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CPV-BB.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-KHM-BB.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CMR-BB.A","        Cameroon","0.14","0.2","0.48","0.53","0.52","0.55","0.555","0.54","0.52","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"INTL.57-6-CAN-BB.A","        Canada","6.8","6.4","7.3","7.02","6.73","7.075","6.5","6.85","6.825","6.785514","6.133495","5.782949","5.587798","5.29163","5.095551","5.037984","4.89846","4.893642","4.839189","4.930827","4.930827","4.706104","4.858","180.021","178.893","178.8","178.7924","179.21","178.592","178.092","175.214","175.214","173.625225","173.105194","173.2","172.4809","170.863","169.708702","170.54","167.401306","169.862","170.3"
"INTL.57-6-CYM-BB.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CAF-BB.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-TCD-BB.A","        Chad","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"INTL.57-6-CHL-BB.A","        Chile","0.4","0.4","0.79","0.76","0.748","0.736","0.726","0.29","0.29","0.287","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"INTL.57-6-CHN-BB.A","        China","20","20.5","19.895","19.485","19.1","19.1","18.42","18.4","18.4","23.55","24","24","24","24","24","24","24","24","24","24","24","24","24","18.25","18.25","18.25","18.25","16","16","16","20.35","20.35","20.35","23.7168","24.3756","24.648842","25.132122","25.62","25.62732","25.92744","26.15436","26.0226"
"INTL.57-6-COL-BB.A","        Colombia","0.71","0.8","0.51645","0.536","0.56","0.624","1.224","1.2905","1.59","2.028","2.06","2","1.9352","1.9352","1.9352","3.393044","3.5","2.8","2.8","2.5772","2.5772","1.972","1.75","1.84229","1.84229","1.542","1.542","1.453","1.506","1.355","1.355","1.9","1.9876","2.2","2.377","2.445","2.308","2.002","1.66549","1.782208","1.96","2.036"
"INTL.57-6-COM-BB.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-COG-BB.A","        Congo-Brazzaville","0.66","0.733","0.754","0.723","0.691","0.656","0.72","0.72","0.71","0.83","0.83","0.83","0.83","0.83","0.83","1.506","1.506","1.506","1.506","1.506","1.506","1.506","1.515","1.785","1.784","1.905","1.94","1.94","1.94","2","2","2","2","2.673","2.867","2.982","2.982","2.982","2.982","2.982","2.982","2.882"
"INTL.57-6-COD-BB.A","        Congo-Kinshasa","0.135","0.13","0.145","0.139","0.11","0.11","0.11","0.112","0.112","0.09617","0.09612","0.05564","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.187","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18"
"INTL.57-6-COK-BB.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CRI-BB.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-HRV-BB.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","NA","0.162462","0.150925","0.15","0.15","0.055111","0.055111","0.099168","0.092196","0.092196","0.092196","0.092196","0.075276","0.075275","0.069144","0.07432","0.07915","0.0793","0.07335","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071"
"INTL.57-6-CUB-BB.A","        Cuba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.255","0.2835","0.2835","0.2835","0.75","0.75","0.75","0.75","0.75","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124","0.124"
"INTL.57-6-CYP-BB.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CZE-BB.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","0.006","0.006","0.006","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015"
"INTL.57-6-CIV-BB.A","        Côte d’Ivoire","NA","0.05","0.314","0.1105","0.108","0.108","0.125","0.125","0.12","0.12","0.1","0.1","0.1","0.1","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"INTL.57-6-DNK-BB.A","        Denmark","0.375","0.475","0.47","0.473","0.324","0.4","0.465","0.44","0.44","0.861","0.849124","0.799435","0.755","0.729618","0.779936","0.735908","1.031529","0.9571","0.861704","0.943477","1.069268","1.069268","1.1133","1.347","1.277","1.32","1.328","1.277","1.188","1.06","1.06","0.812","0.9","0.805","0.805094","0.611","0.551","0.490604","0.439","0.428","0.441","0.441"
"INTL.57-6-DJI-BB.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-DMA-BB.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-DOM-BB.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ECU-BB.A","        Ecuador","1.1","1.1","0.85","1.4","1.675","1.4","1.65","1.6723","1.615","1.35","1.514","1.42","1.55","1.599793","2.014","2.014","2.115","2.115","2.115","2.115","2.115","2.115","2.115","4.6296","4.6296","4.6296","4.6296","4.517","4.517","4.66","6.5","6.51","7.21","8.24","8.24","8.832","8.273","8.273","8.273","8.273","8.273","8.273"
"INTL.57-6-EGY-BB.A","        Egypt","3.1","2.9","2.93","3.325","3.45","3.2","3.85","3.6","4.3","4.3","4.5","4.5","4.5","6.2","6.3","3.26","3.87942","3.69617","3.83455","3.5","2.94756","2.94756","2.94756","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","4.4","4.4","4.4","4.4","4.4","4.4","4.4","3.57","3.3","3.3","3.3"
"INTL.57-6-SLV-BB.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GNQ-BB.A","        Equatorial Guinea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0036","0.0036","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1"
"INTL.57-6-ERI-BB.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-EST-BB.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-SWZ-BB.A","        Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ETH-BB.A","        Ethiopia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428","0.000428"
"INTL.57-6-FLK-BB.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-FRO-BB.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-FJI-BB.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-FIN-BB.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-CSK-BB.A","        Former Czechoslovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.015","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-SCG-BB.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","NA","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","0.0775","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-SUN-BB.A","        Former U.S.S.R.","67","63","63","63","63","63","61","59","59","58.5","58.4","57","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-YUG-BB.A","        Former Yugoslavia","0.275","0.265","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.24","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-FRA-BB.A","        France","0.05","0.04","0.103","0.1243","0.13978","0.148","0.23","0.2349","0.21262","0.20603","0.189899","0.184766","0.170836","0.177434","0.177434","0.15159","0.138312","0.117312","0.127368","0.107047","0.107047","0.14517","0.14004","0.148473","0.14847","0.14649","0.1584","0.1215","0.1198","0.1033","0.10115","0.091625","0.090012","0.085175","0.089573","0.084075","0.078431","0.072347","0.06685","0.061719","0.055855","0.061719"
"INTL.57-6-GUF-BB.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-PYF-BB.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GAB-BB.A","        Gabon","0.5","0.45","0.48","0.46","0.49","0.51","0.52","0.645","0.645","0.72","0.733","0.73","0.73","0.73","0.73","1.34","1.34","1.34","2.499","2.499","2.499","2.499","2.499","2.499","2.499","2.499","2.499","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"INTL.57-6-GMB-BB.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GEO-BB.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035"
"INTL.57-6-DEU-BB.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","0.425","0.449","0.449314","0.449314","0.368398","0.33872","0.38535","0.41048","0.38849","0.356971","0.379694","0.3643","0.342311","0.442","0.394354","0.3672","0.367","0.367","0.276","0.276","0.276","0.276","0.25416","0.23256","0.14688","0.13248","0.14544","0.1296","0.11304","0.10224","0.1152"
"INTL.57-6-DDR-BB.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-DEUW-BB.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","",""
"INTL.57-6-GHA-BB.A","        Ghana","0.007","0.0063","0.00231","0.0054","0.0038","0.0038","0.0038","0.00235","0.001","0.001","0.001","0.0005","0.0005","0.0005","0.0005","0.0005","0.016","0.01651","0.01651","0.01651","0.01651","0.01651","0.01651","0.01651","0.01651","0.01651","0.0165","0.015","0.015","0.015","0.015","0.66","0.66","0.66","0.66","0.66","0.66","0.66","0.66","0.66","0.66","0.66"
"INTL.57-6-GIB-BB.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GRC-BB.A","        Greece","0.15","0.15","0.073","0.05978","0.051","0.051","0.0346","0.026","0.0216","0.02","0.0725","0.03","0.041","0.041","0.041","0.041","0.014","0.012","0.01","0.01","0.01","0.01","0.009","0.009","0.006","0.007","0.007","0.005","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"INTL.57-6-GRL-BB.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GRD-BB.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GLP-BB.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-GUM-BB.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
