,Area Code,Area,Item Code,Item,ISO Currency Code,Currency,Year Code,Year,Unit,Flag
50,49,Cuba,,,DOP,Dominican Peso,,,,
51,279,Curaçao,,,EGP,Egyptian Pound,,,,
52,50,Cyprus,,,ERN,Nakfa,,,,
53,167,Czechia,,,SZL,Lilangeni,,,,
54,51,Czechoslovakia,,,ETB,Ethiopian Birr,,,,
55,116,Democratic People's Republic of Korea,,,FJD,Fiji Dollar,,,,
56,250,Democratic Republic of the Congo,,,XPF,CFP Franc,,,,
57,54,Denmark,,,GMD,Dalasi,,,,
58,72,Djibouti,,,GEL,Lari,,,,
59,55,Dominica,,,GHS,Ghana Cedi,,,,
60,56,Dominican Republic,,,GTQ,Quetzal,,,,
61,58,Ecuador,,,GNF,Guinea Franc,,,,
62,59,Egypt,,,GYD,Guyana Dollar,,,,
63,60,El Salvador,,,HTG,Gourde,,,,
64,61,Equatorial Guinea,,,HNL,Lempira,,,,
65,178,Eritrea,,,HUF,Forint,,,,
66,63,Estonia,,,ISK,Iceland Krona,,,,
67,209,Eswatini,,,INR,Indian Rupee,,,,
68,238,Ethiopia,,,IDR,Rupiah,,,,
69,62,Ethiopia PDR,,,IRR,Iranian Rial,,,,
70,66,Fiji,,,IQD,Iraqi Dinar,,,,
71,67,Finland,,,ILS,New Israeli Sheqel,,,,
72,68,France,,,JMD,Jamaican Dollar,,,,
73,70,French Polynesia,,,JPY,Yen,,,,
74,74,Gabon,,,JOD,Jordanian Dinar,,,,
75,75,Gambia,,,KZT,Tenge,,,,
76,73,Georgia,,,KES,Kenyan Shilling,,,,
77,79,Germany,,,KWD,Kuwaiti Dinar,,,,
78,81,Ghana,,,KGS,Som,,,,
79,84,Greece,,,LAK,Kip,,,,
80,85,Greenland,,,LBP,Lebanese Pound,,,,
81,86,Grenada,,,LSL,Loti,,,,
82,89,Guatemala,,,LYD,Libyan Dinar,,,,
83,90,Guinea,,,CHF,Swiss Franc,,,,
84,175,Guinea-Bissau,,,MGA,Malagasy Ariary,,,,
85,91,Guyana,,,MWK,Malawi Kwacha,,,,
86,93,Haiti,,,MYR,Malaysian Ringgit,,,,
87,95,Honduras,,,MVR,Rufiyaa,,,,
88,97,Hungary,,,MRO,Ouguiya,,,,
89,99,Iceland,,,MUR,Mauritius Rupee,,,,
90,100,India,,,MXN,Mexican Peso,,,,
91,101,Indonesia,,,MNT,Tugrik,,,,
92,102,Iran (Islamic Republic of),,,MAD,Moroccan Dirham,,,,
93,103,Iraq,,,MZN,Mozambique Metical,,,,
94,104,Ireland,,,MMK,Kyat,,,,
95,105,Israel,,,NAD,Namibia Dollar,,,,
96,106,Italy,,,NPR,Nepalese Rupee,,,,
97,109,Jamaica,,,NIO,Cordoba Oro,,,,
98,110,Japan,,,NGN,Naira,,,,
99,112,Jordan,,,MKD,Denar,,,,
100,108,Kazakhstan,,,NOK,Norwegian Krone,,,,
101,114,Kenya,,,OMR,Rial Omani,,,,
102,83,Kiribati,,,PKR,Pakistan Rupee,,,,
103,275,Kosovo,,,PAB,Balboa,,,,
104,118,Kuwait,,,PGK,Kina,,,,
105,113,Kyrgyzstan,,,PYG,Guarani,,,,
106,120,Lao People's Democratic Republic,,,PEN,Sol,,,,
107,119,Latvia,,,PHP,Philippine Peso,,,,
108,121,Lebanon,,,PLN,Zloty,,,,
109,122,Lesotho,,,QAR,Qatari Rial,,,,
110,123,Liberia,,,KRW,Won,,,,
111,124,Libya,,,MDL,Moldovan Leu,,,,
112,125,Liechtenstein,,,RON,Romanian Leu,,,,
113,126,Lithuania,,,RUB,Russian Ruble,,,,
114,256,Luxembourg,,,RWF,Rwanda Franc,,,,
115,129,Madagascar,,,WST,Tala,,,,
116,130,Malawi,,,STD,Dobra,,,,
117,131,Malaysia,,,SAR,Saudi Riyal,,,,
118,132,Maldives,,,RSD,Serbian Dinar,,,,
119,133,Mali,,,SCR,Seychelles Rupee,,,,
120,134,Malta,,,SLL,Leone,,,,
121,127,Marshall Islands,,,SGD,Singapore Dollar,,,,
122,136,Mauritania,,,SBD,Solomon Islands Dollar,,,,
123,137,Mauritius,,,SOS,Somali Shilling,,,,
124,138,Mexico,,,ZAR,Rand,,,,
125,145,Micronesia (Federated States of),,,SSP,South Sudanese Pound,,,,
126,140,Monaco,,,LKR,Sri Lanka Rupee,,,,
127,141,Mongolia,,,SDG,Sudanese Pound,,,,
128,273,Montenegro,,,SRD,Surinam Dollar,,,,
129,142,Montserrat,,,SEK,Swedish Krona,,,,
130,143,Morocco,,,SYP,Syrian Pound,,,,
131,144,Mozambique,,,TJS,Somoni,,,,
132,28,Myanmar,,,THB,Baht,,,,
133,147,Namibia,,,TOP,Paanga,,,,
134,148,Nauru,,,TTD,Trinidad and Tobago Dollar,,,,
135,149,Nepal,,,TND,Tunisian Dinar,,,,
136,150,Netherlands,,,TRY,Turkish Lira,,,,
137,151,Netherlands Antilles (former),,,TMT,Turkmenistan New Manat,,,,
138,153,New Caledonia,,,UGX,Uganda Shilling,,,,
139,156,New Zealand,,,UAH,Hryvnia,,,,
140,157,Nicaragua,,,AED,UAE Dirham,,,,
141,158,Niger,,,GBP,Pound Sterling,,,,
142,159,Nigeria,,,TZS,Tanzanian Shilling,,,,
143,154,North Macedonia,,,UYU,Peso Uruguayo,,,,
144,162,Norway,,,SUR,Rouble,,,,
145,221,Oman,,,UZS,Uzbekistan Sum,,,,
146,165,Pakistan,,,VUV,Vatu,,,,
147,180,Palau,,,VEF,Bolívar,,,,
148,299,Palestine,,,VND,Dong,,,,
149,166,Panama,,,YER,Yemeni Rial,,,,
150,168,Papua New Guinea,,,YDD,Yemeni Dinar,,,,
151,169,Paraguay,,,YUM,New Dinar,,,,
152,170,Peru,,,ZMW,Zambian Kwacha,,,,
153,171,Philippines,,,,,,,,
154,173,Poland,,,,,,,,
155,174,Portugal,,,,,,,,
156,177,Puerto Rico,,,,,,,,
157,179,Qatar,,,,,,,,
158,117,Republic of Korea,,,,,,,,
159,146,Republic of Moldova,,,,,,,,
160,183,Romania,,,,,,,,
161,185,Russian Federation,,,,,,,,
162,184,Rwanda,,,,,,,,
163,188,Saint Kitts and Nevis,,,,,,,,
164,189,Saint Lucia,,,,,,,,
165,191,Saint Vincent and the Grenadines,,,,,,,,
166,244,Samoa,,,,,,,,
167,192,San Marino,,,,,,,,
168,193,Sao Tome and Principe,,,,,,,,
169,194,Saudi Arabia,,,,,,,,
170,195,Senegal,,,,,,,,
171,272,Serbia,,,,,,,,
172,196,Seychelles,,,,,,,,
173,197,Sierra Leone,,,,,,,,
174,200,Singapore,,,,,,,,
175,280,Sint Maarten (Dutch Part),,,,,,,,
176,199,Slovakia,,,,,,,,
177,198,Slovenia,,,,,,,,
178,25,Solomon Islands,,,,,,,,
179,201,Somalia,,,,,,,,
180,202,South Africa,,,,,,,,
181,277,South Sudan,,,,,,,,
182,203,Spain,,,,,,,,
183,38,Sri Lanka,,,,,,,,
184,276,Sudan,,,,,,,,
185,206,Sudan (former),,,,,,,,
186,207,Suriname,,,,,,,,
187,210,Sweden,,,,,,,,
188,211,Switzerland,,,,,,,,
189,212,Syrian Arab Republic,,,,,,,,
190,208,Tajikistan,,,,,,,,
191,216,Thailand,,,,,,,,
192,176,Timor-Leste,,,,,,,,
193,217,Togo,,,,,,,,
194,219,Tonga,,,,,,,,
195,220,Trinidad and Tobago,,,,,,,,
196,222,Tunisia,,,,,,,,
197,223,Turkey,,,,,,,,
198,213,Turkmenistan,,,,,,,,
199,224,Turks and Caicos Islands,,,,,,,,
200,227,Tuvalu,,,,,,,,
201,226,Uganda,,,,,,,,
202,230,Ukraine,,,,,,,,
203,225,United Arab Emirates,,,,,,,,
204,229,United Kingdom,,,,,,,,
205,215,United Republic of Tanzania,,,,,,,,
206,3698,"United Republic of Tanzania, Zanzibar",,,,,,,,
207,231,United States of America,,,,,,,,
208,234,Uruguay,,,,,,,,
209,228,USSR,,,,,,,,
210,235,Uzbekistan,,,,,,,,
211,155,Vanuatu,,,,,,,,
212,236,Venezuela (Bolivarian Republic of),,,,,,,,
213,237,Viet Nam,,,,,,,,
214,249,Yemen,,,,,,,,
215,246,Yemen Ar Rp,,,,,,,,
216,247,Yemen Dem,,,,,,,,
217,248,Yugoslav SFR,,,,,,,,
218,251,Zambia,,,,,,,,
219,181,Zimbabwe,,,,,,,,
