Unnamed: 0,Area Code,Area,Source Code,FAO Source,Indicator Code,Indicator,Year Code,Year,Unit,Flag
91,143,Morocco,,,,,,,,
92,28,Myanmar,,,,,,,,
93,147,Namibia,,,,,,,,
94,149,Nepal,,,,,,,,
95,150,Netherlands,,,,,,,,
96,151,Netherlands Antilles (former),,,,,,,,
97,156,New Zealand,,,,,,,,
98,157,Nicaragua,,,,,,,,
99,159,Nigeria,,,,,,,,
100,154,North Macedonia,,,,,,,,
101,163,Northern Mariana Islands,,,,,,,,
102,162,Norway,,,,,,,,
103,299,Occupied Palestinian Territory,,,,,,,,
104,221,Oman,,,,,,,,
105,165,Pakistan,,,,,,,,
106,166,Panama,,,,,,,,
107,169,Paraguay,,,,,,,,
108,170,Peru,,,,,,,,
109,171,Philippines,,,,,,,,
110,173,Poland,,,,,,,,
111,174,Portugal,,,,,,,,
112,177,Puerto Rico,,,,,,,,
113,179,Qatar,,,,,,,,
114,117,Republic of Korea,,,,,,,,
115,146,Republic of Moldova,,,,,,,,
116,182,Réunion,,,,,,,,
117,183,Romania,,,,,,,,
118,185,Russian Federation,,,,,,,,
119,184,Rwanda,,,,,,,,
120,189,Saint Lucia,,,,,,,,
121,244,Samoa,,,,,,,,
122,194,Saudi Arabia,,,,,,,,
123,195,Senegal,,,,,,,,
124,272,Serbia,,,,,,,,
125,196,Seychelles,,,,,,,,
126,197,Sierra Leone,,,,,,,,
127,200,Singapore,,,,,,,,
128,199,Slovakia,,,,,,,,
129,198,Slovenia,,,,,,,,
130,202,South Africa,,,,,,,,
131,203,Spain,,,,,,,,
132,38,Sri Lanka,,,,,,,,
133,206,Sudan (former),,,,,,,,
134,207,Suriname,,,,,,,,
135,210,Sweden,,,,,,,,
136,211,Switzerland,,,,,,,,
137,212,Syrian Arab Republic,,,,,,,,
138,208,Tajikistan,,,,,,,,
139,216,Thailand,,,,,,,,
140,176,Timor-Leste,,,,,,,,
141,219,Tonga,,,,,,,,
142,220,Trinidad and Tobago,,,,,,,,
143,222,Tunisia,,,,,,,,
144,223,Turkey,,,,,,,,
145,224,Turks and Caicos Islands,,,,,,,,
146,226,Uganda,,,,,,,,
147,230,Ukraine,,,,,,,,
148,225,United Arab Emirates,,,,,,,,
149,229,United Kingdom,,,,,,,,
150,215,United Republic of Tanzania,,,,,,,,
151,231,United States of America,,,,,,,,
152,234,Uruguay,,,,,,,,
153,236,Venezuela (Bolivarian Republic of),,,,,,,,
154,237,Viet Nam,,,,,,,,
155,249,Yemen,,,,,,,,
156,251,Zambia,,,,,,,,
157,181,Zimbabwe,,,,,,,,
