Unnamed: 0,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
24,233.0,Burkina Faso,68,France,,,,,,,,
25,29.0,Burundi,73,Georgia,,,,,,,,
26,35.0,Cabo Verde,79,Germany,,,,,,,,
27,115.0,Cambodia,81,Ghana,,,,,,,,
28,32.0,Cameroon,84,Greece,,,,,,,,
29,33.0,Canada,89,Guatemala,,,,,,,,
30,37.0,Central African Republic,91,Guyana,,,,,,,,
31,39.0,Chad,97,Hungary,,,,,,,,
32,40.0,Chile,100,India,,,,,,,,
33,351.0,China,101,Indonesia,,,,,,,,
34,44.0,Colombia,102,Iran (Islamic Republic of),,,,,,,,
35,46.0,Congo,103,Iraq,,,,,,,,
36,48.0,Costa Rica,104,Ireland,,,,,,,,
37,107.0,Côte d'Ivoire,106,Italy,,,,,,,,
38,98.0,Croatia,110,Japan,,,,,,,,
39,49.0,Cuba,108,Kazakhstan,,,,,,,,
40,50.0,Cyprus,114,Kenya,,,,,,,,
41,167.0,Czechia,113,Kyrgyzstan,,,,,,,,
42,116.0,Democratic People's Republic of Korea,119,Latvia,,,,,,,,
43,250.0,Democratic Republic of the Congo,121,Lebanon,,,,,,,,
44,54.0,Denmark,126,Lithuania,,,,,,,,
45,72.0,Djibouti,131,Malaysia,,,,,,,,
46,55.0,Dominica,138,Mexico,,,,,,,,
47,56.0,Dominican Republic,144,Mozambique,,,,,,,,
48,58.0,Ecuador,150,Netherlands,,,,,,,,
49,59.0,Egypt,156,New Zealand,,,,,,,,
50,60.0,El Salvador,159,Nigeria,,,,,,,,
51,61.0,Equatorial Guinea,162,Norway,,,,,,,,
52,178.0,Eritrea,254,Others (adjustment),,,,,,,,
53,63.0,Estonia,165,Pakistan,,,,,,,,
54,238.0,Ethiopia,170,Peru,,,,,,,,
55,66.0,Fiji,171,Philippines,,,,,,,,
56,67.0,Finland,173,Poland,,,,,,,,
57,68.0,France,174,Portugal,,,,,,,,
58,70.0,French Polynesia,117,Republic of Korea,,,,,,,,
59,74.0,Gabon,183,Romania,,,,,,,,
60,75.0,Gambia,185,Russian Federation,,,,,,,,
61,73.0,Georgia,194,Saudi Arabia,,,,,,,,
62,79.0,Germany,195,Senegal,,,,,,,,
63,81.0,Ghana,200,Singapore,,,,,,,,
64,84.0,Greece,199,Slovakia,,,,,,,,
65,89.0,Guatemala,198,Slovenia,,,,,,,,
66,90.0,Guinea,203,Spain,,,,,,,,
67,175.0,Guinea-Bissau,38,Sri Lanka,,,,,,,,
68,91.0,Guyana,206,Sudan (former),,,,,,,,
69,93.0,Haiti,210,Sweden,,,,,,,,
70,95.0,Honduras,211,Switzerland,,,,,,,,
71,97.0,Hungary,208,Tajikistan,,,,,,,,
72,99.0,Iceland,216,Thailand,,,,,,,,
73,100.0,India,222,Tunisia,,,,,,,,
74,101.0,Indonesia,223,Turkey,,,,,,,,
75,102.0,Iran (Islamic Republic of),213,Turkmenistan,,,,,,,,
76,103.0,Iraq,230,Ukraine,,,,,,,,
77,104.0,Ireland,225,United Arab Emirates,,,,,,,,
78,105.0,Israel,229,United Kingdom,,,,,,,,
79,106.0,Italy,231,United States of America,,,,,,,,
80,109.0,Jamaica,252,Unspecified Area,,,,,,,,
81,110.0,Japan,234,Uruguay,,,,,,,,
82,112.0,Jordan,235,Uzbekistan,,,,,,,,
83,108.0,Kazakhstan,237,Viet Nam,,,,,,,,
84,114.0,Kenya,5009,Total FAO,,,,,,,,
85,118.0,Kuwait,52,Azerbaijan,,,,,,,,
86,113.0,Kyrgyzstan,13,Bahrain,,,,,,,,
87,120.0,Lao People's Democratic Republic,19,Bolivia (Plurinational State of),,,,,,,,
88,119.0,Latvia,80,Bosnia and Herzegovina,,,,,,,,
89,121.0,Lebanon,32,Cameroon,,,,,,,,
90,123.0,Liberia,37,Central African Republic,,,,,,,,
91,124.0,Libya,40,Chile,,,,,,,,
92,126.0,Lithuania,46,Congo,,,,,,,,
93,256.0,Luxembourg,49,Cuba,,,,,,,,
94,129.0,Madagascar,116,Democratic People's Republic of Korea,,,,,,,,
95,130.0,Malawi,238,Ethiopia,,,,,,,,
96,131.0,Malaysia,74,Gabon,,,,,,,,
97,133.0,Mali,90,Guinea,,,,,,,,
98,134.0,Malta,93,Haiti,,,,,,,,
99,136.0,Mauritania,99,Iceland,,,,,,,,
100,137.0,Mauritius,105,Israel,,,,,,,,
101,138.0,Mexico,118,Kuwait,,,,,,,,
102,141.0,Mongolia,123,Liberia,,,,,,,,
103,143.0,Morocco,256,Luxembourg,,,,,,,,
104,144.0,Mozambique,133,Mali,,,,,,,,
105,28.0,Myanmar,134,Malta,,,,,,,,
106,149.0,Nepal,143,Morocco,,,,,,,,
107,150.0,Netherlands,166,Panama,,,,,,,,
108,151.0,Netherlands Antilles (former),169,Paraguay,,,,,,,,
109,153.0,New Caledonia,179,Qatar,,,,,,,,
110,156.0,New Zealand,146,Republic of Moldova,,,,,,,,
111,157.0,Nicaragua,186,Serbia and Montenegro,,,,,,,,
112,158.0,Niger,197,Sierra Leone,,,,,,,,
113,159.0,Nigeria,25,Solomon Islands,,,,,,,,
114,162.0,Norway,202,South Africa,,,,,,,,
115,221.0,Oman,207,Suriname,,,,,,,,
116,165.0,Pakistan,212,Syrian Arab Republic,,,,,,,,
117,166.0,Panama,236,Venezuela (Bolivarian Republic of),,,,,,,,
118,168.0,Papua New Guinea,181,Zimbabwe,,,,,,,,
119,169.0,Paraguay,7,Angola,,,,,,,,
120,170.0,Peru,9,Argentina,,,,,,,,
121,171.0,Philippines,14,Barbados,,,,,,,,
122,173.0,Poland,23,Belize,,,,,,,,
123,174.0,Portugal,115,Cambodia,,,,,,,,
124,179.0,Qatar,250,Democratic Republic of the Congo,,,,,,,,
125,117.0,Republic of Korea,75,Gambia,,,,,,,,
126,146.0,Republic of Moldova,112,Jordan,,,,,,,,
127,183.0,Romania,124,Libya,,,,,,,,
128,185.0,Russian Federation,136,Mauritania,,,,,,,,
129,184.0,Rwanda,158,Niger,,,,,,,,
130,191.0,Saint Vincent and the Grenadines,221,Oman,,,,,,,,
131,244.0,Samoa,217,Togo,,,,,,,,
132,193.0,Sao Tome and Principe,220,Trinidad and Tobago,,,,,,,,
133,194.0,Saudi Arabia,215,United Republic of Tanzania,,,,,,,,
134,195.0,Senegal,4,Algeria,,,,,,,,
135,186.0,Serbia and Montenegro,137,Mauritius,,,,,,,,
136,197.0,Sierra Leone,193,Sao Tome and Principe,,,,,,,,
137,200.0,Singapore,251,Zambia,,,,,,,,
138,199.0,Slovakia,1,Armenia,,,,,,,,
139,198.0,Slovenia,12,Bahamas,,,,,,,,
140,25.0,Solomon Islands,233,Burkina Faso,,,,,,,,
141,201.0,Somalia,35,Cabo Verde,,,,,,,,
142,202.0,South Africa,72,Djibouti,,,,,,,,
143,203.0,Spain,55,Dominica,,,,,,,,
144,38.0,Sri Lanka,61,Equatorial Guinea,,,,,,,,
145,206.0,Sudan (former),95,Honduras,,,,,,,,
146,207.0,Suriname,109,Jamaica,,,,,,,,
147,210.0,Sweden,129,Madagascar,,,,,,,,
148,211.0,Switzerland,28,Myanmar,,,,,,,,
149,212.0,Syrian Arab Republic,151,Netherlands Antilles (former),,,,,,,,
150,208.0,Tajikistan,153,New Caledonia,,,,,,,,
151,216.0,Thailand,157,Nicaragua,,,,,,,,
152,176.0,Timor-Leste,184,Rwanda,,,,,,,,
153,217.0,Togo,191,Saint Vincent and the Grenadines,,,,,,,,
154,219.0,Tonga,226,Uganda,,,,,,,,
155,220.0,Trinidad and Tobago,249,Yemen,,,,,,,,
156,222.0,Tunisia,149,Nepal,,,,,,,,
157,223.0,Turkey,2,Afghanistan,,,,,,,,
158,213.0,Turkmenistan,3,Albania,,,,,,,,
159,226.0,Uganda,26,Brunei Darussalam,,,,,,,,
160,230.0,Ukraine,29,Burundi,,,,,,,,
161,225.0,United Arab Emirates,66,Fiji,,,,,,,,
162,229.0,United Kingdom,70,French Polynesia,,,,,,,,
163,215.0,United Republic of Tanzania,120,Lao People's Democratic Republic,,,,,,,,
164,231.0,United States of America,130,Malawi,,,,,,,,
165,234.0,Uruguay,141,Mongolia,,,,,,,,
166,235.0,Uzbekistan,168,Papua New Guinea,,,,,,,,
167,155.0,Vanuatu,244,Samoa,,,,,,,,
168,236.0,Venezuela (Bolivarian Republic of),201,Somalia,,,,,,,,
169,237.0,Viet Nam,176,Timor-Leste,,,,,,,,
170,249.0,Yemen,219,Tonga,,,,,,,,
171,251.0,Zambia,155,Vanuatu,,,,,,,,
172,181.0,Zimbabwe,18,Bhutan,,,,,,,,
173,,,39,Chad,,,,,,,,
174,,,178,Eritrea,,,,,,,,
175,,,175,Guinea-Bissau,,,,,,,,
176,,,69,French Guiana,,,,,,,,
177,,,87,Guadeloupe,,,,,,,,
178,,,135,Martinique,,,,,,,,
179,,,182,Réunion,,,,,,,,
180,,,242,Wake Island,,,,,,,,
181,,,122,Lesotho,,,,,,,,
