Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
134.0,Malta,208.0,Tajikistan,652,"Feed, vegetable products nes",,,,,,
135.0,Martinique,216.0,Thailand,295,"Flour, mustard",,,,,,
136.0,Mauritania,220.0,Trinidad and Tobago,117,"Flour, potatoes",,,,,,
137.0,Mauritius,222.0,Tunisia,115,"Food preparations, flour, malt extract",,,,,,
138.0,Mexico,223.0,Turkey,653,Food wastes,,,,,,
141.0,Mongolia,213.0,Turkmenistan,626,"Fruit, cooked, homogenized preparations",,,,,,
273.0,Montenegro,230.0,Ukraine,246,"Groundnuts, prepared",,,,,,
142.0,Montserrat,225.0,United Arab Emirates,1218,"Hair, fine",,,,,,
143.0,Morocco,229.0,United Kingdom,109,Infant food,,,,,,
147.0,Namibia,215.0,United Republic of Tanzania,18,Macaroni,,,,,,
149.0,Nepal,231.0,United States of America,49,Malt,,,,,,
150.0,Netherlands,234.0,Uruguay,1242,"Margarine, short",,,,,,
151.0,Netherlands Antilles (former),235.0,Uzbekistan,875,"Meat, beef, preparations",,,,,,
153.0,New Caledonia,237.0,Viet Nam,867,"Meat, cattle",,,,,,
156.0,New Zealand,251.0,Zambia,1061,"Meat, chicken, canned",,,,,,
157.0,Nicaragua,181.0,Zimbabwe,1163,"Meat, game",,,,,,
158.0,Niger,3.0,Albania,1035,"Meat, pig",,,,,,
159.0,Nigeria,5.0,American Samoa,1041,"Meat, pig sausages",,,,,,
154.0,North Macedonia,8.0,Antigua and Barbuda,1042,"Meat, pig, preparations",,,,,,
162.0,Norway,12.0,Bahamas,1038,"Meat, pork",,,,,,
221.0,Oman,15.0,Belgium-Luxembourg,1080,"Meat, turkey",,,,,,
165.0,Pakistan,23.0,Belize,114,Mixes and doughs,,,,,,
166.0,Panama,37.0,Central African Republic,868,"Offals, edible, cattle",,,,,,
168.0,Papua New Guinea,128.0,"China, Macao SAR",274,"Oil, olive residues",,,,,,
169.0,Paraguay,45.0,Comoros,261,"Oil, olive, virgin",,,,,,
170.0,Peru,46.0,Congo,843,Pet food,,,,,,
171.0,Philippines,47.0,Cook Islands,118,"Potatoes, frozen",,,,,,
173.0,Poland,107.0,Côte d'Ivoire,831,Tobacco products nes,,,,,,
174.0,Portugal,72.0,Djibouti,471,Vegetables in vinegar,,,,,,
179.0,Qatar,55.0,Dominica,469,"Vegetables, dehydrated",,,,,,
117.0,Republic of Korea,56.0,Dominican Republic,475,"Vegetables, preserved, frozen",,,,,,
146.0,Republic of Moldova,58.0,Ecuador,110,Wafers,,,,,,
182.0,Réunion,60.0,El Salvador,631,"Waters,ice etc",,,,,,
183.0,Romania,61.0,Equatorial Guinea,1009,"Wool, hair waste",,,,,,
185.0,Russian Federation,238.0,Ethiopia,238,"Cake, soybeans",,,,,,
184.0,Rwanda,69.0,French Guiana,417,"Peas, green",,,,,,
188.0,Saint Kitts and Nevis,74.0,Gabon,474,"Vegetables, temporarily preserved",,,,,,
189.0,Saint Lucia,85.0,Greenland,267,Sunflower seed,,,,,,
191.0,Saint Vincent and the Grenadines,86.0,Grenada,486,Bananas,,,,,,
193.0,Sao Tome and Principe,90.0,Guinea,689,"Chillies and peppers, dry",,,,,,
194.0,Saudi Arabia,93.0,Haiti,1276,Fatty acids,,,,,,
195.0,Senegal,99.0,Iceland,651,Forage products,,,,,,
272.0,Serbia,109.0,Jamaica,920,"Hides, cattle, wet salted",,,,,,
186.0,Serbia and Montenegro,83.0,Kiribati,498,"Juice, lemon, single strength",,,,,,
196.0,Seychelles,123.0,Liberia,1043,Lard,,,,,,
197.0,Sierra Leone,124.0,Libya,201,Lentils,,,,,,
200.0,Singapore,130.0,Malawi,568,"Melons, other (inc.cantaloupes)",,,,,,
199.0,Slovakia,132.0,Maldives,165,Molasses,,,,,,
198.0,Slovenia,133.0,Mali,1036,"Offals, pigs, edible",,,,,,
25.0,Solomon Islands,136.0,Mauritania,753,"Oil, essential nes",,,,,,
202.0,South Africa,28.0,Myanmar,340,"Oil, vegetable origin nes",,,,,,
203.0,Spain,147.0,Namibia,536,Plums and sloes,,,,,,
38.0,Sri Lanka,148.0,Nauru,289,Sesame seed,,,,,,
206.0,Sudan (former),151.0,Netherlands Antilles (former),997,"Skins, sheep, dry salted",,,,,,
207.0,Suriname,159.0,Nigeria,236,Soybeans,,,,,,
210.0,Sweden,166.0,Panama,122,Sweet potatoes,,,,,,
211.0,Switzerland,168.0,Papua New Guinea,222,"Walnuts, with shell",,,,,,
212.0,Syrian Arab Republic,170.0,Peru,247,Peanut butter,,,,,,
216.0,Thailand,182.0,Réunion,1183,Beeswax,,,,,,
217.0,Togo,188.0,Saint Kitts and Nevis,406,Garlic,,,,,,
219.0,Tonga,192.0,San Marino,172,Glucose and dextrose,,,,,,
220.0,Trinidad and Tobago,193.0,Sao Tome and Principe,1069,"Meat, duck",,,,,,
222.0,Tunisia,186.0,Serbia and Montenegro,451,"Mushrooms, canned",,,,,,
223.0,Turkey,197.0,Sierra Leone,237,"Oil, soybean",,,,,,
227.0,Tuvalu,198.0,Slovenia,149,Roots and tubers nes,,,,,,
226.0,Uganda,25.0,Solomon Islands,167,Sugar nes,,,,,,
230.0,Ukraine,276.0,Sudan,448,Sweet corn prep or preserved,,,,,,
225.0,United Arab Emirates,206.0,Sudan (former),988,"Wool, degreased",,,,,,
229.0,United Kingdom,207.0,Suriname,656,"Coffee, green",,,,,,
215.0,United Republic of Tanzania,217.0,Togo,1182,"Honey, natural",,,,,,
231.0,United States of America,224.0,Turks and Caicos Islands,262,Olives preserved,,,,,,
234.0,Uruguay,226.0,Uganda,296,Poppy seed,,,,,,
228.0,USSR,252.0,Unspecified Area,886,"Butter, cow milk",,,,,,
155.0,Vanuatu,236.0,Venezuela (Bolivarian Republic of),687,Pepper (piper spp.),,,,,,
236.0,Venezuela (Bolivarian Republic of),248.0,Yugoslav SFR,113,Cereal preparations nes,,,,,,
249.0,Yemen,2.0,Afghanistan,773,Flax fibre and tow,,,,,,
248.0,Yugoslav SFR,6.0,Andorra,75,Oats,,,,,,
251.0,Zambia,18.0,Bhutan,116,Potatoes,,,,,,
181.0,Zimbabwe,29.0,Burundi,1060,"Fat, liver prepared (foie gras)",,,,,,
,,115.0,Cambodia,519,"Juice, apple, concentrated",,,,,,
,,39.0,Chad,414,"Beans, green",,,,,,
,,51.0,Czechoslovakia,698,Cloves,,,,,,
,,116.0,Democratic People's Republic of Korea,250,"Coconuts, desiccated",,,,,,
,,250.0,Democratic Republic of the Congo,659,"Coffee, extracts",,,,,,
,,178.0,Eritrea,658,"Coffee, substitutes containing coffee",,,,,,
,,62.0,Ethiopia PDR,1063,"Eggs, liquid",,,,,,
,,70.0,French Polynesia,58,"Flour, maize",,,,,,
,,75.0,Gambia,720,Ginger,,,,,,
,,87.0,Guadeloupe,233,"Hazelnuts, shelled",,,,,,
,,175.0,Guinea-Bissau,1096,Horses,,,,,,
,,120.0,Lao People's Democratic Republic,910,Ice cream and edible ice,,,,,,
,,153.0,New Caledonia,518,"Juice, apple, single strength",,,,,,
,,299.0,Palestine,562,"Juice, grape",,,,,,
,,184.0,Rwanda,492,"Juice, orange, concentrated",,,,,,
,,191.0,Saint Vincent and the Grenadines,491,"Juice, orange, single strength",,,,,,
,,201.0,Somalia,390,"Juice, tomato",,,,,,
,,277.0,South Sudan,1164,"Meat, dried nes",,,,,,
,,228.0,USSR,1073,"Meat, goose and guinea fowl",,,,,,
,,249.0,Yemen,1141,"Meat, rabbit",,,,,,
,,258.0,Anguilla,888,"Milk, skimmed cow",,,,,,
,,22.0,Aruba,76,Oats rolled,,,,,,
,,239.0,British Virgin Islands,1059,"Offals, liver chicken",,,,,,
,,36.0,Cayman Islands,60,"Oil, maize",,,,,,
,,88.0,Guam,271,"Oil, rapeseed",,,,,,
,,122.0,Lesotho,187,"Peas, dry",,,,,,
,,142.0,Montserrat,239,Soya sauce,,,,,,
,,180.0,Palau,162,Sugar Raw Centrifugal,,,,,,
,,172.0,Pitcairn Islands,672,"Tea, mate extracts",,,,,,
,,189.0,Saint Lucia,391,"Tomatoes, paste",,,,,,
,,218.0,Tokelau,392,"Tomatoes, peeled",,,,,,
,,219.0,Tonga,476,"Vegetables, homogenized preparations",,,,,,
,,82.0,Gibraltar,565,Vermouths & similar,,,,,,
,,94.0,Holy See,702,"Nutmeg, mace and cardamoms",,,,,,
,,127.0,Marshall Islands,17,"Bran, wheat",,,,,,
,,135.0,Martinique,946,Buffaloes,,,,,,
,,140.0,Monaco,813,Coir,,,,,,
,,152.0,Neutral Zone,869,"Fat, cattle",,,,,,
,,177.0,Puerto Rico,1277,Fatty substance residues,,,,,,
,,187.0,"Saint Helena, Ascension and Tristan da Cunha",845,"Feed, compound nes",,,,,,
,,240.0,United States Virgin Islands,571,"Mangoes, mangosteens, guavas",,,,,,
,,155.0,Vanuatu,266,"Oil, castor beans",,,,,,
,,125.0,Liechtenstein,252,"Oil, coconut (copra)",,,,,,
,,145.0,Micronesia (Federated States of),258,"Oil, palm kernel",,,,,,
,,30.0,Antarctica,290,"Oil, sesame",,,,,,
,,24.0,British Indian Ocean Territory,403,"Onions, dry",,,,,,
,,42.0,Christmas Island,600,Papayas,,,,,,
,,43.0,Cocos (Keeling) Islands,574,Pineapples,,,,,,
,,65.0,Falkland Islands (Malvinas),837,Rubber natural dry,,,,,,
,,71.0,French Southern and Antarctic Territories,928,"Skins, calve, wet salted",,,,,,
,,111.0,Johnston Island,999,"Skins, sheep, with wool",,,,,,
,,139.0,Midway Island,826,"Tobacco, unmanufactured",,,,,,
,,160.0,Niue,1079,Turkeys,,,,,,
,,161.0,Norfolk Island,987,"Wool, greasy",,,,,,
,,163.0,Northern Mariana Islands,39,"Beverages, fermented rice",,,,,,
,,164.0,Pacific Islands Trust Territory,257,"Oil, palm",,,,,,
,,190.0,Saint Pierre and Miquelon,1171,Animals live nes,,,,,,
,,244.0,Samoa,44,Barley,,,,,,
,,176.0,Timor-Leste,181,"Broad beans, horse beans, dry",,,,,,
,,227.0,Tuvalu,253,"Cake, copra",,,,,,
,,232.0,US Minor Is.,1126,Camels,,,,,,
,,242.0,Wake Island,426,Carrots and turnips,,,,,,
,,243.0,Wallis and Futuna Islands,866,Cattle,,,,,,
,,205.0,Western Sahara,1057,Chickens,,,,,,
,,64.0,Faroe Islands,661,"Cocoa, beans",,,,,,
,,270.0,Mayotte,665,"Cocoa, powder & cake",,,,,,
,,31.0,Bouvet Island,1187,"Cocoons, unreelable & waste",,,,,,
,,34.0,Canton and Enderbury Islands,251,Copra,,,,,,
,,271.0,South Georgia and the South Sandwich Islands,768,"Cotton, carded, combed",,,,,,
,,260.0,Svalbard and Jan Mayen Islands,329,Cottonseed,,,,,,
,,92.0,Heard and McDonald Islands,397,Cucumbers and gherkins,,,,,,
,,,,1064,"Eggs, dried",,,,,,
,,,,111,"Flour, cereals",,,,,,
,,,,104,"Flour, mixed grain",,,,,,
,,,,212,"Flour, pulses",,,,,,
,,,,166,"Fructose and syrup, other",,,,,,
,,,,1016,Goats,,,,,,
,,,,507,Grapefruit (inc. pomelos),,,,,,
,,,,225,"Hazelnuts, with shell",,,,,,
,,,,514,"Juice, citrus, concentrated",,,,,,
,,,,513,"Juice, citrus, single strength",,,,,,
,,,,510,"Juice, grapefruit, concentrated",,,,,,
,,,,576,"Juice, pineapple",,,,,,
,,,,580,"Juice, pineapple, concentrated",,,,,,
,,,,407,"Leeks, other alliaceous vegetables",,,,,,
,,,,874,"Meat, beef and veal sausages",,,,,,
,,,,909,"Milk, products of natural constituents nes",,,,,,
,,,,331,"Oil, cottonseed",,,,,,
,,,,244,"Oil, groundnut",,,,,,
,,,,1168,"Oils, fats of animal nes",,,,,,
,,,,270,Rapeseed,,,,,,
,,,,28,"Rice, husked",,,,,,
,,,,976,Sheep,,,,,,
,,,,1185,"Silk-worm cocoons, reelable",,,,,,
,,,,495,"Tangerines, mandarins, clementines, satsumas",,,,,,
,,,,692,Vanilla,,,,,,
,,,,660,"Coffee, husks and skins",,,,,,
,,,,332,"Cake, cottonseed",,,,,,
,,,,269,"Cake, sunflower",,,,,,
,,,,333,Linseed,,,,,,
,,,,79,Millet,,,,,,
,,,,334,"Oil, linseed",,,,,,
,,,,32,"Rice, broken",,,,,,
,,,,446,"Maize, green",,,,,,
,,,,220,Chestnut,,,,,,
,,,,1241,"Margarine, liquid",,,,,,
,,,,575,Pineapples canned,,,,,,
,,,,59,"Bran, maize",,,,,,
,,,,226,Areca nuts,,,,,,
,,,,38,"Flour, rice",,,,,,
,,,,1017,"Meat, goat",,,,,,
,,,,292,Mustard seed,,,,,,
,,,,1083,"Pigeons, other birds",,,,,,
,,,,92,Quinoa,,,,,,
,,,,1186,"Silk, raw",,,,,,
,,,,169,Beet pulp,,,,,,
,,,,85,"Bran, sorghum",,,,,,
,,,,89,Buckwheat,,,,,,
,,,,245,"Cake, groundnuts",,,,,,
,,,,272,"Cake, rapeseed",,,,,,
,,,,994,Grease incl. lanolin wool,,,,,,
,,,,1173,"Meal, meat",,,,,,
,,,,978,"Offals, sheep,edible",,,,,,
,,,,489,Plantains and others,,,,,,
,,,,71,Rye,,,,,,
,,,,83,Sorghum,,,,,,
,,,,635,Straw husks,,,,,,
,,,,157,Sugar beet,,,,,,
,,,,150,"Flour, roots and tubers nes",,,,,,
,,,,367,Asparagus,,,,,,
,,,,509,"Juice, grapefruit",,,,,,
,,,,737,"Oil, citronella",,,,,,
,,,,1216,Hides nes,,,,,,
,,,,260,Olives,,,,,,
,,,,523,Quinces,,,,,,
,,,,366,Artichokes,,,,,,
,,,,128,Cassava dried,,,,,,
,,,,664,"Cocoa, butter",,,,,,
,,,,160,Maple sugar and syrups,,,,,,
,,,,671,Maté,,,,,,
,,,,1166,Meat nes,,,,,,
,,,,1034,Pigs,,,,,,
,,,,394,"Pumpkins, squash and gourds",,,,,,
,,,,836,"Rubber, natural",,,,,,
,,,,1068,Ducks,,,,,,
,,,,677,Hops,,,,,,
,,,,552,Blueberries,,,,,,
,,,,1037,"Fat, pigs",,,,,,
,,,,846,"Feed and meal, gluten",,,,,,
,,,,103,"Grain, mixed",,,,,,
,,,,499,"Juice, lemon, concentrated",,,,,,
,,,,755,"Pyrethrum, extraction",,,,,,
,,,,57,"Germ, maize",,,,,,
,,,,1181,Beehives,,,,,,
,,,,662,"Cocoa, paste",,,,,,
,,,,821,Fibre crops nes,,,,,,
,,,,603,"Fruit, tropical fresh nes",,,,,,
,,,,1026,"Skins, goat, wet salted",,,,,,
,,,,1296,Waxes vegetable,,,,,,
,,,,61,"Cake, maize",,,,,,
,,,,101,Canary seed,,,,,,
,,,,549,Gooseberries,,,,,,
,,,,224,Kola nuts,,,,,,
,,,,281,"Oil, safflower",,,,,,
,,,,402,"Onions, shallots, green",,,,,,
,,,,996,"Skins, sheep, wet salted",,,,,,
,,,,97,Triticale,,,,,,
,,,,1107,Asses,,,,,,
,,,,46,"Barley, pearled",,,,,,
,,,,770,Cotton linter,,,,,,
,,,,628,"Feed, pulp of fruit",,,,,,
,,,,126,"Flour, cassava",,,,,,
,,,,1110,Mules,,,,,,
,,,,862,Alfalfa meal and pellets,,,,,,
,,,,554,Cranberries,,,,,,
,,,,550,Currants,,,,,,
,,,,654,"Dregs from brewing, distillation",,,,,,
,,,,771,Flax fibre raw,,,,,,
,,,,774,Flax tow waste,,,,,,
,,,,1140,Rabbits and hares,,,,,,
,,,,129,"Starch, cassava",,,,,,
,,,,890,"Whey, condensed",,,,,,
,,,,259,"Cake, palm kernel",,,,,,
,,,,1097,"Meat, horse",,,,,,
,,,,1075,"Offals, liver duck",,,,,,
,,,,1074,"Offals, liver geese",,,,,,
,,,,263,Karite nuts (sheanuts),,,,,,
,,,,855,Feed minerals,,,,,,
,,,,850,Feed supplements,,,,,,
,,,,161,Sugar crops nes,,,,,,
,,,,1157,"Camelids, other",,,,,,
,,,,1018,"Offals, edible, goats",,,,,,
,,,,1150,"Rodents, other",,,,,,
,,,,748,Peppermint,,,,,,
,,,,1104,"Hides, horse, dry salted",,,,,,
,,,,809,Manila fibre (abaca),,,,,,
,,,,859,Hay (unspecified),,,,,,
,,,,984,"Cheese, sheep milk",,,,,,
,,,,982,"Milk, whole fresh sheep",,,,,,
,,,,1129,"Fat, camels",,,,,,
,,,,94,Fonio,,,,,,
,,,,858,"Hay (clover, lucerne,etc)",,,,,,
,,,,21,Bulgur,,,,,,
,,,,465,"Vegetables, canned nes",,,,,,
,,,,203,Bambara beans,,,,,,
,,,,81,"Bran, millet",,,,,,
,,,,291,"Cake, sesame seed",,,,,,
,,,,205,Vetches,,,,,,
,,,,1213,"Hides and skins nes, fresh",,,,,,
,,,,294,"Cake, mustard",,,,,,
,,,,338,"Cake, hempseed",,,,,,
,,,,36,"Oil, rice bran",,,,,,
,,,,264,Butter of karite nuts,,,,,,
,,,,464,"Vegetables, dried nes",,,,,,
,,,,37,"Cake, rice bran",,,,,,
,,,,1108,"Meat, ass",,,,,,
,,,,778,Kapok fibre,,,,,,
,,,,282,"Cake, safflower",,,,,,
,,,,1159,"Offals, other camelids",,,,,,
,,,,240,Soya paste,,,,,,
,,,,1031,"Hair, goat, coarse",,,,,,
,,,,958,"Hides, buffalo, wet salted",,,,,,
,,,,959,"Hides, buffalo, dry salted",,,,,,
,,,,163,Sugar non-centrifugal,,,,,,
,,,,125,Cassava,,,,,,
,,,,853,Vitamins,,,,,,
,,,,120,Potato offals,,,,,,
,,,,591,Cashewapple,,,,,,
,,,,646,Turnips for fodder,,,,,,
,,,,313,"Oil, kapok",,,,,,
,,,,311,Kapokseed in shell,,,,,,
,,,,953,"Ghee, buffalo milk",,,,,,
,,,,297,"Oil, poppy",,,,,,
,,,,630,Cane tops,,,,,,
,,,,171,Sugar flavoured,,,,,,
,,,,314,"Cake, kapok",,,,,,
,,,,1134,"Hides, camel, wet salted",,,,,,
,,,,91,"Bran, buckwheat",,,,,,
,,,,306,Vegetable tallow,,,,,,
,,,,539,"Juice, plum, concentrated",,,,,,
